genomic_feature(s)	population1_pct	population2_pct	pvalue	padj	Log2_fold_change	SiteLocation	NumSites	FC_direction
CHL1:chr3:319571-341964:1	UTR3	0.702519379844961	0.731995700465783	3.98965712923786e-32	3.90454444381412e-29	0.463370352919302	3	11	Up
CHL1:chr3:328202-349663:1	UTR3	0.682170542635659	0.72339663203153	4.92192936667608e-25	2.40846410342683e-22	0.46065263131041	5	10	Up
CHL1:chr3:340236-341256:1	UTR3	0.171511627906977	0.183805087782157	2.723994737008e-06	5.40381658638884e-05	0.583766609893385	4	4	Up
PTPRZ1:chr7:122034136-122039668:1	UTR3	0.603682170542636	0.746327481189538	7.65044277250201e-26	4.08394545092107e-23	0.521010584723426	1	5	Up
PTPRZ1:chr7:122039538-122040036:1	UTR3	0.209302325581395	0.307416696524543	2.92886269869745e-12	2.29310423556686e-10	0.711057514333576	2	2	Up
TRIO:chr5:14509793-14510255:1	UTR3	0.218992248062016	0.329630956646363	3.87192983773997e-20	9.88520522052571e-18	0.789329763712522	4	4	Up
MSI2:chr17:57681307-57681931:1	UTR3	0.208333333333333	0.163382300250806	1.50165569544547e-17	2.59344771872229e-15	0.97971236382206	3	4	Up
MSI2:chr17:57680882-57682109:1	UTR3	0.232558139534884	0.200644930132569	1.63498851727866e-15	2.23270990080472e-13	0.830659426715547	1	4	Up
MSI2:chr17:57681234-57681416:1	UTR3	0.111434108527132	0.0713006091006808	6.82462295921224e-12	5.07268177423978e-10	1.18394252617188	2	4	Up
MSI2:chr17:57681614-57682292:1	UTR3	0.131782945736434	0.112504478681476	7.56371481562799e-08	2.28938831945194e-06	0.794565194713721	4	4	Up
MYT1:chr20:64241826-64242253:1	UTR3	0.271317829457364	0.308133285560731	2.67174665740239e-17	4.357915658963e-15	0.615480969025038	2	2	Up
VSTM2B:chr19:29563930-29564479:1	UTR3	0.369186046511628	0.309566463633106	2.09937372987253e-16	2.93512441471702e-14	0.514897391437091	2	2	Up
MARCH6:chr5:10381907-10401207:1	UTR3	0.338178294573643	0.360085990684343	1.85196508201999e-15	2.47153158218668e-13	0.706826291260781	1	2	Up
MARCH6:chr5:10385932-10402347:1	UTR3	0.24031007751938	0.28771049802938	1.41382710960378e-07	3.93459373819592e-06	0.516170137647454	2	2	Up
HSPB1:chr7:76302939-76303423:1	UTR3	0.15406976744186	0.0229308491580079	2.03582111282311e-15	2.65652034988829e-13	1.37151022618101	2	3	Up
GRIA2:chr4:157363927-157364347:1	UTR3	0.38468992248062	0.350053744177714	2.18069253735811e-15	2.78370143029713e-13	0.597436691928602	2	6	Up
EMC10:chr19:50487794-50490464:1	UTR3	0.118217054263566	0.117878896452884	3.01436239054689e-15	3.76602892708326e-13	0.969492267379713	3	3	Up
