genomic_feature(s)	population1_pct	population2_pct	pvalue	padj	Log2_fold_change	SiteLocation	NumSites	FC_direction
LUC7L3:chr17:50752184-50752755:1	UTR3	0.618938961779806	0.301747311827957	4.18167133507797e-142	1.72807567922097e-138	1.6789557164833	3	4	Up
NKTR:chr3:42600674-42627647:1	UTR3	0.717056474614946	0.638440860215054	3.25942335206156e-59	2.9932371116432e-56	0.685398478849795	1	6	Up
NKTR:chr3:42618965-42620216:1	UTR3	0.236166571591557	0.136424731182796	1.83352954423176e-28	1.2221065873448e-26	1.39256399823378	3	4	Up
NKTR:chr3:42617573-42627432:1	UTR3	0.527096406160867	0.502016129032258	5.01774996805857e-28	3.23997683484407e-26	0.614531317980263	2	4	Up
NKTR:chr3:42619510-42620164:1	UTR3	0.18311466058186	0.0880376344086022	1.58315245004805e-23	7.30991899421627e-22	1.61817121455792	4	4	Up
STXBP1:chr9:127692164-127692814:1	UTR3	0.528807758128922	0.339381720430108	1.24467842926756e-57	1.02872672178964e-54	0.922728753695738	3	3	Up
RBM25:chr14:73096880-73099856:1	UTR3	0.356531660011409	0.308467741935484	1.01105819663651e-52	4.39810315536883e-50	1.19038836777775	5	8	Up
RBM25:chr14:73083532-73099910:1	UTR3	0.452937820878494	0.452956989247312	7.58763663933945e-43	1.45841434474745e-40	0.857745016150052	3	8	Up
RBM25:chr14:73071482-73097033:1	UTR3	0.46719908727895	0.479166666666667	5.38776758551447e-31	4.69023427280239e-29	0.713386727004839	2	7	Up
RBM25:chr14:73058532-73097044:1	UTR3	0.508271534512265	0.537634408602151	1.04454145715691e-28	7.19427928616825e-27	0.624990286152299	1	7	Up
RBM25:chr14:73096883-73097051:1	UTR3	0.225898459783229	0.206317204301075	4.10762147575633e-23	1.79626939138233e-21	1.01321118038087	6	7	Up
RBM25:chr14:73096932-73103247:1	UTR3	0.49343981745579	0.61491935483871	2.14099972000158e-12	2.82222690363845e-11	0.365553487951701	7	7	Up
TMEM178A:chr2:39717459-39717963:1	UTR3	0.280661722760981	0.191532258064516	4.47013637538046e-52	1.7593179591676e-49	1.17103390619443	3	3	Up
GAD1:chr2:170860661-170861151:1	UTR3	0.798060467769538	0.53494623655914	3.83959736926087e-44	8.81507562692809e-42	0.299812147547661	2	2	Up
MDM4:chr1:204551509-204552023:1	UTR3	0.198516828294353	0.112231182795699	1.42709212923293e-43	3.10392538108162e-41	1.66131677241322	6	6	Up
NCAM1:chr11:113277965-113278436:1	UTR3	0.404449515116942	0.268817204301075	5.82181478834562e-39	9.43476455405422e-37	0.985796254064025	9	9	Up
NCAM1:chr11:113276187-113276883:1	UTR3	0.266970907016543	0.289650537634409	0.00021863792982802	0.000815820537258955	0.316370606533423	6	9	Up
DNM3:chr1:172411055-172411588:1	UTR3	0.268682258984598	0.126344086021505	2.26691703319508e-38	3.60309024603026e-36	1.58344284903108	1	2	Up
DNM3:chr1:172412234-172412792:1	UTR3	0.224187107815174	0.141129032258065	2.882044657752e-22	1.16765191648629e-20	1.084080534292	2	2	Up
GLS:chr2:190965065-190965552:1	UTR3	0.264118653736452	0.137096774193548	1.55402035528874e-37	2.29356754222525e-35	1.20505382208422	2	2	Up
OGT:chrX:71575332-71575892:1	UTR3	0.329720479178551	0.133064516129032	2.76910606596014e-37	4.0152037956422e-35	1.7449707298443	4	4	Up
ZNF655:chr7:99575892-99576453:1	UTR3	0.126069594980034	0.0645161290322581	6.1115241452505e-37	8.56131306110091e-35	1.8012993762967	4	4	Up
ATP2A2:chr12:110350582-110351093:1	UTR3	0.443810610382202	0.219086021505376	5.66566624472342e-36	7.55269863107082e-34	0.896315159013628	3	3	Up
SNAP25:chr20:10306827-10307418:1	UTR3	0.773531089560753	0.708333333333333	4.59197838245014e-34	5.66458228820156e-32	0.287397842419796	2	2	Up
CAMTA1:chr1:7766555-7768919:1	UTR3	0.590416428978893	0.542338709677419	1.69262844436849e-33	1.97036254826839e-31	0.564160280631605	2	6	Up
