genomic_feature(s)	population1_pct	population2_pct	pvalue	padj	Log2_fold_change	SiteLocation	NumSites	FC_direction
WSB1:chr17:27312703-27313926:1	UTR3	0.550724637681159	0.493796526054591	1.02164930480318e-16	1.84550730419647e-13	0.79348440532486	1	3	Up
SNAP25:chr20:10306827-10307418:1	UTR3	0.732919254658385	0.851116625310174	1.04622345977917e-13	9.6282375308187e-11	0.268308970979757	2	2	Up
GRIA2:chr4:157363495-157364003:1	UTR3	0.807453416149068	0.796526054590571	5.85720439632943e-12	2.93901500598041e-09	0.394332432122581	1	6	Up
GRIA2:chr4:157365541-157366075:1	UTR3	0.412008281573499	0.421836228287841	0.00011722940979062	0.00420127736445901	0.443392858049203	6	6	Up
TCF25:chr16:89910987-89911443:1	UTR3	0.360248447204969	0.317617866004963	4.06399318565353e-11	1.66845392967376e-08	0.912474464791543	2	2	Up
TCF25:chr16:89910530-89911424:1	UTR3	0.36231884057971	0.332506203473945	1.23498468239969e-09	3.25957383185454e-07	0.814191629870042	1	2	Up
KPNA5:chr6:116734236-116734785:1	UTR3	0.175983436853002	0.0744416873449131	3.911152247446e-10	1.3586741191897e-07	1.06371602219732	2	2	Up
PRNP:chr20:4701159-4701590:1	UTR3	0.532091097308489	0.521091811414392	4.8745354827774e-10	1.63062238816465e-07	0.365276968156021	3	3	Up
CCDC144A:chr17:16711653-16731905:1	UTR3	0.559006211180124	0.692307692307692	1.15571594180751e-09	3.16315951103196e-07	0.58233437560679	1	4	Up
CCDC144A:chr17:16720457-16735063:1	UTR3	0.650103519668737	0.761786600496278	1.18082300150141e-07	1.67081400638787e-05	0.478700250759393	2	4	Up
CCDC144A:chr17:16727534-16734947:1	UTR3	0.579710144927536	0.669975186104218	5.86758925467454e-07	5.83797704378263e-05	0.541419768296397	3	4	Up
CCDC144A:chr17:16731748-16734833:1	UTR3	0.432712215320911	0.538461538461538	0.0007029217108342	0.0159117516096604	0.479502762939618	4	4	Up
TARDBP:chr1:11024960-11025649:1	UTR3	0.13871635610766	0.138957816377171	1.2631209490136e-09	3.25957383185454e-07	1.58862750134231	5	5	Up
SIRPA:chr20:1939431-1939941:1	UTR3	0.426501035196687	0.429280397022333	4.78683472769601e-09	1.05450466489147e-06	0.461076425659448	3	3	Up
GDAP1:chr8:74366113-74367547:1	UTR3	0.277432712215321	0.230769230769231	4.1047461738533e-08	7.2694249886751e-06	0.851062915735287	4	6	Up
GDAP1:chr8:74366090-74366846:1	UTR3	0.20703933747412	0.193548387096774	0.000646255040963393	0.0152401449868965	0.634733874440613	3	6	Up
OGT:chrX:71575332-71575892:1	UTR3	0.269151138716356	0.238213399503722	5.95210882182881e-08	9.431481908554e-06	0.675474258438845	4	4	Up
NCAN:chr19:19251809-19252233:1	UTR3	0.132505175983437	0.146401985111663	1.2024237202747e-07	1.67081400638787e-05	0.564321555444352	2	2	Up
ITPR1:chr3:4846954-4847549:1	UTR3	0.279503105590062	0.300248138957816	1.32553623639568e-07	1.81397625562513e-05	0.717575279558078	2	2	Up
GAP43:chr3:115676382-115721112:1	UTR3	0.530020703933747	0.451612903225806	1.994890396092e-07	2.4681986380141e-05	0.294564413789603	1	2	Up
SRSF11:chr1:70250003-70251395:1	UTR3	0.550724637681159	0.580645161290323	1.97638825140837e-07	2.4681986380141e-05	0.536443445850759	1	4	Up
SRSF11:chr1:70251096-70251690:1	UTR3	0.399585921325052	0.406947890818859	0.00145494644517142	0.0268185230465066	0.488493838288704	2	4	Up
SRSF11:chr1:70251592-70252055:1	UTR3	0.262939958592132	0.205955334987593	0.00152054386665874	0.0275726255530181	0.573011326731809	3	4	Up
KMT2A:chr11:118526057-118526832:1	UTR3	0.401656314699793	0.292803970223325	2.68557854316435e-07	3.07039815213423e-05	0.485658693577116	3	6	Up
KMT2A:chr11:118525777-118526832:1	UTR3	0.403726708074534	0.307692307692308	1.16228359427877e-06	9.45742830948278e-05	0.432719498080242	2	6	Up
KMT2A:chr11:118526435-118526832:1	UTR3	0.302277432712215	0.208436724565757	9.14170584035479e-06	0.000512844019565742	0.527536112715035	4	6	Up
UBN2:chr7:139307010-139307530:1	UTR3	0.128364389233954	0.0818858560794045	6.79892672474258e-07	6.39856062215527e-05	1.51238380341214	3	3	Up
SMARCAD1:chr4:94236964-94252807:1	UTR3	0.337474120082816	0.364764267990074	7.42499353311572e-07	6.84311648888787e-05	0.642123784800691	2	3	Up
OLFM1:chr9:135120453-135121179:1	UTR3	0.401656314699793	0.354838709677419	1.03931126655775e-06	8.69172162921258e-05	0.615442176540937	2	3	Up
OLFM1:chr9:135120725-135121179:1	UTR3	0.372670807453416	0.327543424317618	3.14949968288891e-06	0.000215502129817065	0.623817763717031	3	3	Up
OLFM1:chr9:135119928-135121179:1	UTR3	0.420289855072464	0.406947890818859	7.82905414200071e-05	0.00294737718882007	0.473397381445142	1	3	Up
HNRNPA3:chr2:177223323-177223958:1	UTR3	0.140786749482402	0.141439205955335	1.02851142221661e-06	8.69172162921258e-05	1.15331082894492	9	9	Up
SCN2A:chr2:165391355-165392310:1	UTR3	0.438923395445135	0.359801488833747	1.28452248465389e-06	0.000100885278968643	0.556392323347105	5	6	Up
SCN2A:chr2:165391600-165392212:1	UTR3	0.306418219461698	0.267990074441687	0.00144763147844548	0.026800309565083	0.463421787265856	6	6	Up
SCN2A:chr2:165391000-165391948:1	UTR3	0.389233954451346	0.364764267990074	0.00242953720151193	0.0375111292821786	0.363297584290334	2	6	Up
SCN2A:chr2:165391254-165391702:1	UTR3	0.29399585921325	0.250620347394541	0.00344849272324012	0.0467851726258781	0.467229135088629	4	6	Up
STXBP1:chr9:127692164-127692814:1	UTR3	0.505175983436853	0.563275434243176	2.36388656688242e-06	0.000170804987776656	0.651581348898232	3	3	Up
SRSF3:chr6:36602269-36602981:1	UTR3	0.115942028985507	0.158808933002481	3.55948414108646e-06	0.000239544188576269	1.15558989724585	4	4	Up
FAM217B:chr20:59947573-59948113:1	UTR3	0.113871635610766	0.121588089330025	8.43016629012335e-06	0.000482929775461552	1.01616362374329	3	3	Up
ZNF365:chr10:62401930-62402532:1	UTR3	0.142857142857143	0.138957816377171	8.51930917450846e-06	0.000483939625560758	0.662924356029034	2	2	Up
STX16:chr20:58678139-58678695:1	UTR3	0.211180124223602	0.176178660049628	1.10797158297906e-05	0.000585216335524379	0.940385335642573	5	6	Up
STX16:chr20:58678952-58679526:1	UTR3	0.217391304347826	0.168734491315136	4.04479501921056e-05	0.00172323531195801	1.00870578862134	6	6	Up
TMEM178A:chr2:39717459-39717963:1	UTR3	0.333333333333333	0.315136476426799	1.22555536543829e-05	0.000639839078649633	0.54686019869509	3	3	Up
TNRC6A:chr16:24824182-24824998:1	UTR3	0.397515527950311	0.307692307692308	1.29326088853331e-05	0.000667470419727593	0.489815546616051	2	6	Up
TNRC6A:chr16:24823957-24825169:1	UTR3	0.416149068322981	0.325062034739454	5.3868173026792e-05	0.00219759625867918	0.425975872659594	1	6	Up
HOOK3:chr8:42966480-42998165:1	UTR3	0.285714285714286	0.357320099255583	1.39110480468448e-05	0.000713889692949443	0.568564805210313	1	3	Up
CAMTA1:chr1:7767706-7768270:1	UTR3	0.225672877846791	0.198511166253102	1.75253988710272e-05	0.000874527086205068	0.784761801879033	5	6	Up
CAMTA1:chr1:7766555-7768919:1	UTR3	0.397515527950311	0.409429280397022	0.0024892277687831	0.0381485922914712	0.444359354192186	2	6	Up
