genomic_feature(s)	population1_pct	population2_pct	pvalue	padj	Log2_fold_change	SiteLocation	NumSites	FC_direction
GRAMD2B:chr5:126480286-126484512:1	UTR3	0.555456965394854	0.3510747185261	2.42928844106263e-80	2.7927099918456e-77	0.702931164778461	3	3	Up
GRAMD2B:chr5:126472257-126483793:1	UTR3	0.749778172138421	0.562180143295803	1.2705435094405e-53	3.84372846961263e-51	0.336497912161803	2	3	Up
FAM171B:chr2:186694060-186747260:1	UTR3	0.724933451641526	0.703172978505629	3.99909218541024e-58	1.43667386760863e-55	0.589626846185476	1	2	Up
FAM171B:chr2:186740445-186747440:1	UTR3	0.271960958296362	0.275844421699079	9.65867879280838e-14	2.10295779170692e-12	0.651769432366152	2	2	Up
ATP1A2:chr1:160142797-160143282:1	UTR3	0.476486246672582	0.64431934493347	1.65980195699758e-56	5.61208332283653e-54	0.553838157189695	4	5	Up
HSPE1:chr2:197503129-197503207:1	UTR3	0.374001774622893	0.0299385875127943	2.08235971291112e-46	4.78776145192524e-44	1.48321192752767	2	2	Up
CAMTA1:chr1:6871658-6872063:1	UTR3	0.18544809228039	0.0985158648925281	1.04554186669359e-45	2.31145178836722e-43	1.35637369047048	4	4	Up
KIF1B:chr1:10308001-10308675:1	UTR3	0.193433895297249	0.145087001023541	1.2705021545282e-40	2.28213949507128e-38	1.09334971224594	2	2	Up
KIF1B:chr1:10307571-10308073:1	UTR3	0.111357586512866	0.0933981576253838	9.20255686446682e-18	3.04001706074456e-16	0.9678431682286	1	2	Up
DTNA:chr18:34890448-34891464:1	UTR3	0.738243123336291	0.715711361310133	1.01922427285892e-32	1.17170022407861e-30	0.353343452366373	5	7	Up
DTNA:chr18:34890746-34891022:1	UTR3	0.5301685891748	0.544524053224156	7.25922174788456e-18	2.41190789634916e-16	0.357997250242995	6	7	Up
DTNA:chr18:34891008-34891458:1	UTR3	0.547471162377995	0.526356192425793	2.72525093966367e-17	8.46742832496584e-16	0.390255405413113	7	7	Up
TPCN1:chr12:113298099-113298585:1	UTR3	0.289263531499556	0.268679631525077	3.50426086822526e-26	2.397915651257e-24	0.528642137724961	3	3	Up
SOX2:chr3:181712939-181713515:1	UTR3	0.43566992014197	0.432446264073695	5.46723156650022e-24	3.17430778224679e-22	0.397181372590586	1	5	Up
SOX2:chr3:181713833-181714436:1	UTR3	0.32209405501331	0.334186284544524	6.71856278911173e-07	5.64756156092041e-06	0.259572693155413	5	5	Up
WSB1:chr17:27312703-27313926:1	UTR3	0.642857142857143	0.615404298874104	1.35986944435698e-23	7.66326428055287e-22	0.312029334708534	1	3	Up
WSB1:chr17:27313084-27313249:1	UTR3	0.233806566104703	0.226714431934493	6.71284021567228e-08	6.5510026417121e-07	0.391146417354164	3	3	Up
ID4:chr6:19839352-19839904:1	UTR3	0.261756876663709	0.297594677584442	3.28524811264513e-23	1.79843868109373e-21	0.653846364444647	2	8	Up
INTU:chr4:127716284-127716836:1	UTR3	0.263531499556344	0.182190378710338	4.04424843969396e-23	2.17255514311784e-21	0.554973765658154	1	4	Up
PTPRZ1:chr7:122039538-122040036:1	UTR3	0.102928127772848	0.0867451381780962	1.94696905210871e-22	9.90369744382376e-21	1.22068453258039	2	2	Up
PTPRZ1:chr7:122034136-122039668:1	UTR3	0.241792369121562	0.30885363357216	7.25475194937858e-07	6.06991473144514e-06	0.349258572225177	1	2	Up
MACF1:chr1:39486496-39487054:1	UTR3	0.646406388642414	0.552456499488229	1.02302335888733e-20	4.29221771305427e-19	0.416497839894015	5	5	Up
MACF1:chr1:39485933-39486659:1	UTR3	0.598047914818101	0.52661207778915	7.9511990734691e-16	2.14570386264321e-14	0.320399014616612	4	5	Up
SRSF5:chr14:69770298-69772005:1	UTR3	0.659272404614019	0.680910951893552	2.18122939541498e-20	8.8293708203136e-19	0.305135572320703	8	11	Up
SRSF5:chr14:69771357-69772005:1	UTR3	0.505767524401065	0.521750255885363	1.1462050018576e-15	3.0501788660544e-14	0.343622860295611	7	7	Up
DAAM1:chr14:59369238-59369850:1	UTR3	0.216947648624667	0.149948822927329	2.80375190707116e-20	1.11916430290591e-18	0.752446490100398	1	5	Up
DAAM1:chr14:59370417-59371405:1	UTR3	0.283496007098492	0.212128966223132	5.22590842125951e-17	1.56450633361457e-15	0.622099438094767	2	5	Up
DAAM1:chr14:59370681-59371152:1	UTR3	0.239574090505768	0.176560900716479	7.08886911060351e-15	1.77933710252179e-13	0.624625842584223	3	5	Up
DAAM1:chr14:59371017-59371405:1	UTR3	0.151286601597161	0.116939611054248	1.65086311426095e-08	1.77699647579999e-07	0.579716612148005	4	5	Up
DAAM1:chr14:59371117-59371405:1	UTR3	0.11756876663709	0.0834186284544524	1.63233836834298e-06	1.27482078005916e-05	0.696380646407641	5	5	Up
MRPL33:chr2:27779342-27779781:1	UTR3	0.123336291038154	0.0562947799385875	4.01992405340705e-20	1.57187234414855e-18	1.06033566598926	2	2	Up
MRPL33:chr2:27771717-27779758:1	UTR3	0.182342502218279	0.131269191402252	4.52623926111893e-07	3.91230425156565e-06	0.367202094577372	1	2	Up
SPTBN1:chr2:54669216-54669736:1	UTR3	0.36734693877551	0.270726714431934	1.56870768768457e-19	5.93219196632298e-18	0.535567148090243	2	2	Up
MERTK:chr2:112028957-112029408:1	UTR3	0.278615794143744	0.212640736949846	7.95342963833628e-19	2.83276010660012e-17	0.534264929785454	2	2	Up
MRPS6:chr21:34142538-34143034:1	UTR3	0.200088731144632	0.0475946775844422	1.25320346515224e-18	4.36570516223942e-17	0.862530959927106	2	2	Up
EHMT1:chr9:137835593-137836182:1	UTR3	0.199645075421473	0.167604912998976	9.50415673096806e-18	3.12170816512025e-16	0.645669799713024	2	2	Up
MXI1:chr10:110285991-110286711:1	UTR3	0.362466725820763	0.275076765609007	3.43461643459059e-17	1.05573129764849e-15	0.617288533162649	4	4	Up
PNN:chr14:39181757-39182063:1	UTR3	0.114906832298137	0.100818833162743	5.95906620423412e-15	1.50231195359376e-13	0.893487081403381	3	3	Up
PNN:chr14:39181414-39182332:1	UTR3	0.133540372670807	0.154298874104401	2.07033974665503e-06	1.58038683449842e-05	0.518329284003129	2	3	Up
PNN:chr14:39180856-39182560:1	UTR3	0.17435669920142	0.217502558853634	4.07860486296483e-06	2.90505833362105e-05	0.404376608598909	1	3	Up
SLC14A1:chr18:45749860-45750395:1	UTR3	0.142413487133984	0.150204708290686	4.38087193637744e-14	9.99256027392759e-13	0.637263327019409	2	6	Up
SLC14A1:chr18:45752026-45752520:1	UTR3	0.25377107364685	0.332650972364381	1.53557450787311e-09	1.95709141269505e-08	0.252433128404524	6	6	Up
PDIA3:chr15:43756561-43765651:1	UTR3	0.0993788819875776	0.100562947799386	6.6301510111167e-14	1.46577338507303e-12	0.819711574954622	1	2	Up
TTC14:chr3:180608263-180608875:1	UTR3	0.187222715173026	0.157625383828045	1.55098829252473e-13	3.32652265128066e-12	0.665307000049912	4	12	Up
TTC14:chr3:180610473-180611091:1	UTR3	0.182786157941437	0.159160696008188	2.47140545616415e-07	2.23008454662975e-06	0.569049425694496	12	12	Up
MAT2A:chr2:85544856-85545281:1	UTR3	0.436113575865129	0.48899692937564	2.05011206637453e-13	4.31649969139955e-12	0.389275476320742	5	5	Up
CLDN10:chr13:95577844-95578270:1	UTR3	0.209849157054126	0.172466734902764	8.5776125951481e-13	1.67701078901059e-11	0.488088404352368	2	2	Up
CLDN10:chr13:95577174-95578303:1	UTR3	0.217834960070985	0.190122824974411	3.5712955593106e-10	4.97041328690492e-09	0.406118396089435	1	2	Up
POU2F1:chr1:167426915-167427345:1	UTR3	0.131322094055013	0.113613101330604	1.24430336616963e-12	2.38408524958101e-11	0.635381263999401	3	3	Up
HSP90B1:chr12:103932342-103938618:1	UTR3	0.123336291038154	0.134339815762538	3.07215242164644e-12	5.46709972743769e-11	0.702082092333787	2	2	Up
HIF3A:chr19:46339445-46340117:1	UTR3	0.168589174800355	0.131525076765609	3.65177985365161e-12	6.43878239226670e-11	0.601516934455318	1	3	Up
CALM1:chr14:90405114-90405534:1	UTR3	0.137533274179237	0.0870010235414534	3.69291551506496e-12	6.49140011638942e-11	0.846956064464917	6	8	Up
CALM1:chr14:90405141-90406143:1	UTR3	0.161047027506655	0.121033776867963	1.09807844755008e-08	1.22084234362048e-07	0.558903266199373	7	8	Up
CALM1:chr14:90404922-90405900:1	UTR3	0.187666370896185	0.150972364380757	3.24096566738154e-07	2.86601087017063e-06	0.465900603675443	5	8	Up
CALM1:chr14:90404741-90406272:1	UTR3	0.243123336291038	0.21596724667349	0.000126285670752704	0.000664734464731266	0.277527764197275	4	8	Up
