genomic_feature(s)	population1_pct	population2_pct	pvalue	padj	Log2_fold_change	SiteLocation	NumSites	FC_direction
PLP1:chrX:103791625-103792255:1	UTR3	0.839837398373984	0.937185929648241	1.24398344359586e-225	2.29183216425144e-222	0.269495671956703	3	4	Up
PLP1:chrX:103791286-103791785:1	UTR3	0.661788617886179	0.807127743983073	5.89524143825445e-73	1.81016663495735e-70	0.284295163471473	2	4	Up
GNAO1:chr16:56191836-56276419:1	UTR3	0.711788617886179	0.756281407035176	2.71810120697964e-82	1.07306752649832e-79	0.271756077364905	1	2	Up
MOG:chr6:29657150-29668376:1	UTR3	0.712195121951219	0.79853213435599	1.26745032480912e-70	3.50259897261001e-68	0.294371615622383	2	11	Up
VSTM2B:chr19:29529981-29564127:1	UTR3	0.34390243902439	0.279225072732081	2.8057946290727e-62	5.53843818388744e-60	0.352515611748649	1	2	Up
RHOU:chr1:228737379-228744501:1	UTR3	0.448983739837398	0.496297275852949	4.70607031339396e-56	7.43155732060812e-54	0.378495828735737	1	9	Up
TF:chr3:133782098-133783028:1	UTR3	0.160365853658537	0.129330864850569	9.49457726903932e-55	1.38096127805211e-52	1.13701550584771	4	5	Up
TF:chr3:133780007-133780715:1	UTR3	0.105081300813008	0.0831790531605395	1.51453456192583e-48	1.78102819654555e-46	1.14957859539848	3	5	Up
TF:chr3:133782375-133782883:1	UTR3	0.122967479674797	0.0971965088600899	1.93440372254633e-44	2.05604795663722e-42	1.13301333015298	5	5	Up
PLEKHG3:chr14:64746407-64746935:1	UTR3	0.270528455284553	0.256281407035176	8.20356169441175e-49	9.85675771413343e-47	0.462603531352384	2	3	Up
SCD:chr10:100362727-100363339:1	UTR3	0.276016260162602	0.377810103147316	3.10042915824381e-38	2.44801027965908e-36	0.466061993096337	5	8	Up
SCD:chr10:100360754-100362626:1	UTR3	0.235162601626016	0.37152869611214	1.36245646831485e-11	1.79720689746447e-10	0.256339776815823	1	8	Up
SCD:chr10:100361274-100361724:1	UTR3	0.114227642276423	0.195583179053161	3.07723230086418e-05	0.000146367150833703	0.255922056056257	3	8	Up
ITM2B:chr13:48233209-48256359:1	UTR3	0.230284552845528	0.318169796350172	1.49359636404171e-34	9.48862885523966e-33	0.425437859940688	1	2	Up
SLC48A1:chr12:47782286-47782751:1	UTR3	0.202235772357724	0.215617561491669	1.5829463927446e-33	8.9343051216165e-32	0.506144987820656	2	2	Up
AIF1L:chr9:131096845-131120716:1	UTR3	0.196138211382114	0.232279820153399	9.3737081614548e-29	4.01616162855509e-27	0.313945215275664	1	2	Up
CADM2:chr3:85912454-86066827:1	UTR3	0.574186991869919	0.490148108965882	1.94566601913136e-25	7.21724569646914e-24	0.516424705027289	1	12	Up
NFASC:chr1:204981833-204984330:1	UTR3	0.167073170731707	0.202724147051045	5.71598006662975e-20	1.6201139399109e-18	0.406462449054363	1	2	Up
NFASC:chr1:204983898-204984343:1	UTR3	0.111178861788618	0.142356519439302	5.1202801415894e-09	4.72450556637139e-08	0.337617329759102	2	2	Up
MYO6:chr6:75885967-75890302:1	UTR3	0.332723577235772	0.380587146257604	2.26433824585396e-18	5.95952261182611e-17	0.348311424436634	3	3	Up
MYO6:chr6:75881724-75890314:1	UTR3	0.390040650406504	0.461121396455964	6.70410888370178e-16	1.4035458257659e-14	0.28317735421631	2	3	Up
KCNJ2:chr17:70178132-70178822:1	UTR3	0.191666666666667	0.22447765141497	3.13794505213992e-18	8.10440294540998e-17	0.477034141333565	1	4	Up
NTM:chr11:132314530-132335287:1	UTR3	0.225	0.289936524728908	7.357394515163e-17	1.66657047070926e-15	0.331323602492484	1	5	Up
MARCH6:chr5:10434906-10435441:1	UTR3	0.158739837398374	0.174424755355726	4.73791036038765e-14	8.15776653017525e-13	0.409996012447489	2	5	Up
PCBP2:chr12:53471160-53480277:1	UTR3	0.198780487804878	0.327558846865908	1.48184494148839e-13	2.41597551374818e-12	0.264867155248854	1	4	Up
ARFGEF3:chr6:138338299-138338876:1	UTR3	0.111178861788618	0.130124305739222	1.85403379115734e-13	2.97885022201355e-12	0.470071057612198	1	5	Up
TTYH2:chr17:74260238-74261614:1	UTR3	0.138821138211382	0.151282729436657	3.23410340985039e-13	4.99298590677181e-12	0.412554728542413	1	2	Up
TCF12:chr15:57282477-57286744:1	UTR3	0.136585365853659	0.17065591113462	1.28778678426771e-12	1.88296231657345e-11	0.408550755120287	3	4	Up
TCF12:chr15:57273168-57286852:1	UTR3	0.253658536585366	0.334699814863793	9.41954502629712e-11	1.12202209828328e-09	0.25243188403253	2	4	Up
STX16:chr20:58678139-58678695:1	UTR3	0.220325203252033	0.247289076963766	1.34853192410489e-12	1.96140419592834e-11	0.267858384201299	3	4	Up
NKTR:chr3:42637703-42638303:1	UTR3	0.161178861788618	0.165498545358371	1.99732431445281e-12	2.84515759947956e-11	0.441304218804084	5	7	Up
DNAJC6:chr1:65405564-65413087:1	UTR3	0.178252032520325	0.264877016662259	1.40479527353942e-11	1.84425260732835e-10	0.307010049202889	1	8	Up
DNAJC6:chr1:65408754-65413235:1	UTR3	0.117682926829268	0.180573922242793	5.96304540451644e-06	3.24068357431291e-05	0.303573721863228	2	8	Up
RBM25:chr14:73106021-73110988:1	UTR3	0.119105691056911	0.109560962708278	2.48450246744095e-11	3.15674600863129e-10	0.459710806296989	4	7	Up
MAPT:chr17:46025606-46026126:1	UTR3	0.14390243902439	0.135413911663581	3.11375384842042e-11	3.92020900232794e-10	0.390751915543453	4	5	Up
SPTBN1:chr2:54657704-54660238:1	UTR3	0.119308943089431	0.129925945517059	1.24485733351699e-10	1.45769628863314e-09	0.412270951402569	2	7	Up
