genomic_feature(s)	population1_pct	population2_pct	pvalue	padj	Log2_fold_change	SiteLocation	NumSites	FC_direction
CCDC144A:chr17:16720457-16735063:1	UTR3	0.762096774193548	0.761786600496278	1.02187313141165e-13	1.21296340698563e-10	0.719343674278072	2	7	Up
CCDC144A:chr17:16711653-16731905:1	UTR3	0.67741935483871	0.692307692307692	1.29888803035505e-10	4.5682373097228e-08	0.77631942184581	1	4	Up
CCDC144A:chr17:16731748-16734833:1	UTR3	0.588709677419355	0.538461538461538	2.05493578096769e-10	6.50455672535639e-08	0.728412632842697	4	4	Up
CCDC144A:chr17:16727534-16734947:1	UTR3	0.69758064516129	0.669975186104218	2.99140741164952e-09	6.04391591085614e-07	0.64568610756112	3	4	Up
ATP1B1:chr1:169132215-169132722:1	UTR3	0.455645161290323	0.511166253101737	2.52064768085565e-12	1.99467253145044e-09	0.827323525780181	6	6	Up
LUC7L3:chr17:50743694-50745869:1	UTR3	0.891129032258065	0.774193548387097	3.14723698454589e-12	2.29893556963444e-09	0.480723093770018	3	6	Up
LUC7L3:chr17:50741127-50745988:1	UTR3	0.923387096774194	0.853598014888337	5.89340263897866e-09	1.0198821182661e-06	0.293872426872881	2	6	Up
ZNF483:chr9:111553060-111553912:1	UTR3	0.399193548387097	0.364764267990074	3.47059239873991e-12	2.35405324417387e-09	1.18617282329833	6	6	Up
SNAP25:chr20:10306827-10307418:1	UTR3	0.806451612903226	0.851116625310174	1.02360781055153e-11	5.86754739360126e-09	0.262442571662501	2	2	Up
PRNP:chr20:4701159-4701590:1	UTR3	0.608870967741935	0.521091811414392	1.2026603617071e-11	6.34470155265036e-09	0.534148041397847	3	3	Up
TCF25:chr16:89910987-89911443:1	UTR3	0.411290322580645	0.317617866004963	1.61645877971769e-11	7.6749462860996e-09	0.931106318068431	2	2	Up
TCF25:chr16:89910530-89911424:1	UTR3	0.423387096774194	0.332506203473945	4.05377615208429e-11	1.67368079739967e-08	0.876664021166423	1	2	Up
PLEKHA1:chr10:122431752-122432545:1	UTR3	0.282258064516129	0.203473945409429	3.2822454550366e-10	9.7400633878211e-08	1.14783942207577	3	3	Up
CELF2:chr10:11330821-11331394:1	UTR3	0.729838709677419	0.466501240694789	8.83662514761425e-10	2.20822611583539e-07	0.689803605010709	3	8	Up
CELF2:chr10:11333528-11333906:1	UTR3	0.483870967741935	0.225806451612903	4.67302429817812e-07	3.5009603343601e-05	0.86449728940751	7	8	Up
CELF2:chr10:11329903-11331079:1	UTR3	0.55241935483871	0.342431761786601	0.00180776968260285	0.0232609497371228	0.569874704221652	2	8	Up
STXBP1:chr9:127612391-127658478:1	UTR3	0.842741935483871	0.838709677419355	4.10711567437914e-09	7.95942253957232e-07	0.451217828633564	1	4	Up
STXBP1:chr9:127651513-127660165:1	UTR3	0.479838709677419	0.531017369727047	0.0026794541629204	0.0304711569169166	0.441433375708435	2	4	Up
KLHL24:chr3:183684118-183684519:1	UTR3	0.137096774193548	0.0694789081885856	7.41473382881861e-09	1.21397090411141e-06	1.87602789978008	3	3	Up
MTURN:chr7:30162208-30162762:1	UTR3	0.30241935483871	0.295285359801489	1.59922177812901e-08	2.26659850822583e-06	1.0375367345477	8	8	Up
GTF2I:chr7:74759481-74760061:1	UTR3	0.544354838709677	0.47394540942928	1.70918293843331e-08	2.3868237034357e-06	0.518234328881477	1	2	Up
GCC2:chr2:108471418-108472204:1	UTR3	0.455645161290323	0.287841191066998	1.85196121481866e-08	2.51231767084543e-06	0.849891740835593	10	11	Up
GCC2:chr2:108471068-108471782:1	UTR3	0.407258064516129	0.26302729528536	7.0833885318895e-08	7.7314778734279e-06	0.872237087211144	8	11	Up
GCC2:chr2:108470382-108472008:1	UTR3	0.588709677419355	0.449131513647643	3.11323468648367e-07	2.6395782663258e-05	0.534483682465844	5	11	Up
GCC2:chr2:108471507-108472902:1	UTR3	0.443548387096774	0.30272952853598	3.73515968373263e-07	2.95575636306042e-05	0.761536089136286	11	11	Up
RBM25:chr14:73102733-73103393:1	UTR3	0.608870967741935	0.548387096774194	2.3084373856419e-08	3.08745372028951e-06	0.623026506348825	3	6	Up
RBM25:chr14:73102971-73107882:1	UTR3	0.685483870967742	0.655086848635236	7.03495006825672e-07	4.62982493274116e-05	0.461705648406761	4	6	Up
RBM25:chr14:73103062-73106284:1	UTR3	0.653225806451613	0.617866004962779	8.456152417734e-07	5.3178558515763e-05	0.479965355539161	5	6	Up
CAMTA1:chr1:7766555-7768919:1	UTR3	0.44758064516129	0.409429280397022	3.36425791829358e-08	4.09658928200618e-06	0.794280048293223	2	6	Up
CAMTA1:chr1:7766852-7768622:1	UTR3	0.443548387096774	0.372208436724566	6.36438773485378e-08	7.110144227079e-06	0.862778462069739	3	6	Up
CAMTA1:chr1:7767706-7768270:1	UTR3	0.270161290322581	0.198511166253102	0.000370546380479362	0.00703375504903551	0.953644350715561	5	6	Up
CAMTA1:chr1:7769231-7769706:1	UTR3	0.173387096774194	0.148883374689826	0.00131398848003154	0.0183610009807761	0.854347130252491	6	6	Up
NFIX:chr19:13097047-13097455:1	UTR3	0.237903225806452	0.173697270471464	4.03667230277966e-08	4.67466343746288e-06	1.31108419730085	4	5	Up
GRIA4:chr11:105903733-105918994:1	UTR3	0.383064516129032	0.518610421836228	5.86305101406815e-08	6.62803957495132e-06	0.689913962977408	1	5	Up
SYT1:chr12:79451526-79452008:1	UTR3	0.661290322580645	0.496277915632754	9.51595332680121e-08	9.93005415289058e-06	0.480951408267126	6	6	Up
MAP1B:chr5:72194834-72195626:1	UTR3	0.786290322580645	0.62531017369727	3.59976103979982e-07	2.89887053578292e-05	0.467255455939509	3	3	Up
RHPN1:chr8:143383811-143384221:1	UTR3	0.185483870967742	0.0744416873449131	5.27225953678925e-07	3.79283155767808e-05	1.51847571234857	3	3	Up
GRIA2:chr4:157364959-157365446:1	UTR3	0.342741935483871	0.292803970223325	6.1597192795466e-07	4.2677587974049e-05	0.969118666181734	5	6	Up
PLEKHB2:chr2:131149404-131149909:1	UTR3	0.237903225806452	0.141439205955335	6.2281074551433e-07	4.2677587974049e-05	0.632425663303332	2	2	Up
ANK2:chr4:113383217-113383803:1	UTR3	0.419354838709677	0.290322580645161	9.74954881301981e-07	5.89692455595135e-05	0.833280458200647	2	2	Up
SRSF5:chr14:69770151-69770465:1	UTR3	0.354838709677419	0.320099255583127	1.16306298500264e-06	6.85990441340686e-05	0.864724859892611	7	8	Up
SRSF5:chr14:69770298-69772005:1	UTR3	0.633064516129032	0.665012406947891	3.95803113633283e-05	0.00124480248136632	0.434067788429481	8	8	Up
SRSF5:chr14:69770146-69771210:1	UTR3	0.431451612903226	0.436724565756824	4.45281154302233e-05	0.00135961088143216	0.61226442430812	6	8	Up
ITPR1:chr3:4846954-4847549:1	UTR3	0.32258064516129	0.300248138957816	1.17560814146504e-06	6.89109562429137e-05	1.07650776761789	2	2	Up
RBM6:chr3:50061476-50065065:1	UTR3	0.290322580645161	0.196029776674938	1.91640281298284e-06	0.000104587132828075	0.99616693230264	1	4	Up
RBM6:chr3:50061586-50062097:1	UTR3	0.254032258064516	0.176178660049628	3.19729384707724e-06	0.000163233883719599	1.06454803954143	2	4	Up
PPP1CB:chr2:28800611-28801087:1	UTR3	0.209677419354839	0.136476426799007	3.36788099783096e-06	0.000170113818911717	1.10946579900189	2	2	Up
FUT9:chr6:96208239-96208870:1	UTR3	0.157258064516129	0.0496277915632754	3.43969558172028e-06	0.000172236513244115	1.70056093408298	6	13	Up
CALM1:chr14:90404780-90405068:1	UTR3	0.423387096774194	0.397022332506204	4.24823006392311e-06	0.00020603508294661	0.696740535175722	5	10	Up
ZBTB16:chr11:114254886-114256692:1	UTR3	0.42741935483871	0.287841191066998	4.39408077736274e-06	0.000210738338696144	0.590590231488807	4	6	Up
ZBTB16:chr11:114255770-114255991:1	UTR3	0.112903225806452	0.0595533498759305	0.00362251643586607	0.0373095619034536	1.03103557118229	6	6	Up
TMEM178A:chr2:39717459-39717963:1	UTR3	0.350806451612903	0.315136476426799	4.55030534829125e-06	0.000213909403897889	0.5727126582036	3	3	Up
PGRMC1:chrX:119244019-119244466:1	UTR3	0.237903225806452	0.210918114143921	6.4258999967284e-06	0.000283815564506665	1.17295425655532	3	3	Up
GNAO1:chr16:56356626-56356860:1	UTR3	0.205645161290323	0.0967741935483871	6.88543030343911e-06	0.000299926817254394	1.3279710296424	4	6	Up
GNAO1:chr16:56356780-56356846:1	UTR3	0.17741935483871	0.0521091811414392	5.55542587514256e-05	0.00158509896611998	1.87070379962839	5	6	Up
FLRT2:chr14:85635915-85636479:1	UTR3	0.100806451612903	0.0223325062034739	7.84459940260264e-06	0.000331076959676065	1.91693193038479	2	2	Up
NKTR:chr3:42635333-42637975:1	UTR3	0.612903225806452	0.602977667493797	8.58150196151264e-06	0.000356293636429939	0.49400548737271	4	11	Up
NKTR:chr3:42636959-42637883:1	UTR3	0.467741935483871	0.468982630272953	0.000408719704024301	0.00759530784621284	0.485724076153637	4	10	Up
NKTR:chr3:42637703-42638303:1	UTR3	0.391129032258065	0.334987593052109	0.00364646732867951	0.0374749499492864	0.602078435364614	8	10	Up
KMT2A:chr11:118526057-118526832:1	UTR3	0.419354838709677	0.292803970223325	8.70871401275928e-06	0.000359556296805053	0.654110306168559	3	5	Up
KMT2A:chr11:118525777-118526832:1	UTR3	0.419354838709677	0.307692307692308	3.04454187418531e-05	0.00100037957222366	0.605593615539277	2	5	Up
KMT2A:chr11:118526435-118526832:1	UTR3	0.330645161290323	0.208436724565757	0.000118213824400029	0.0028491331890931	0.695362274141217	4	5	Up
SEPTIN7:chr7:35904875-35905357:1	UTR3	0.314516129032258	0.205955334987593	9.39652649272611e-06	0.000384609549891927	0.885444975454705	2	2	Up
PDPK1:chr16:2602755-2603188:1	UTR3	0.217741935483871	0.109181141439206	1.02382623580307e-05	0.000408498064503611	1.38676732512656	3	3	Up
TARDBP:chr1:11024960-11025649:1	UTR3	0.137096774193548	0.138957816377171	1.10578837346422e-05	0.0004357081491459	1.69302581827661	5	5	Up
TRIO:chr5:14509793-14510255:1	UTR3	0.161290322580645	0.104218362282878	1.33309709804496e-05	0.000501601976532921	1.2625670153483	3	3	Up
OLFM1:chr9:135120453-135121179:1	UTR3	0.439516129032258	0.354838709677419	1.45062047845011e-05	0.000535995800130828	0.627425601749489	2	3	Up
OLFM1:chr9:135120725-135121179:1	UTR3	0.403225806451613	0.327543424317618	2.69175774267041e-05	0.000896874790329761	0.645293118753938	3	3	Up
OLFM1:chr9:135119928-135121179:1	UTR3	0.459677419354839	0.406947890818859	0.000586174947555633	0.00999338833391076	0.468331046846032	1	3	Up
NTRK2:chr9:84815376-84816150:1	UTR3	0.145161290322581	0.0397022332506203	1.60907712501046e-05	0.000589953528150552	1.69066170675576	3	3	Up
TTC14:chr3:180609455-180610278:1	UTR3	0.57258064516129	0.387096774193548	1.63446192410051e-05	0.000596955785817632	0.546145701601657	8	12	Up
