genomic_feature(s)	population1_pct	population2_pct	pvalue	padj	Log2_fold_change	SiteLocation	NumSites	FC_direction
SOX2:chr3:181712939-181713515:1	UTR3	0.40125173852573	0.432446264073695	4.5441874643693e-32	2.0570021922045e-29	0.454105734894997	1	5	Up
HSPE1:chr2:197503129-197503207:1	UTR3	0.12586926286509	0.0299385875127943	1.24085333311911e-27	3.74461961416834e-25	1.31544083637573	2	2	Up
GPR37L1:chr1:202129045-202129545:1	UTR3	0.202712100139082	0.32906857727738	5.93022018058e-27	1.69541873794266e-24	0.472800193612212	1	3	Up
SLC1A3:chr5:36680218-36686526:1	UTR3	0.543810848400556	0.67553735926305	2.77039856277058e-22	5.788001920373e-20	0.370266611124412	1	9	Up
PITPNC1:chr17:67692434-67693028:1	UTR3	0.135952712100139	0.140992835209826	1.95961602596209e-18	2.72939339821182e-16	0.736122577318889	1	6	Up
FAM171B:chr2:186694060-186747260:1	UTR3	0.536161335187761	0.703172978505629	2.20817990028259e-17	2.49892358715313e-15	0.26453386913067	1	2	Up
ZNRF3:chr22:29050340-29054165:1	UTR3	0.393949930458971	0.570368474923234	5.44411421596565e-17	5.57970347568404e-15	0.273853743329699	1	4	Up
GRAMD2B:chr5:126480286-126484512:1	UTR3	0.319888734353268	0.3510747185261	1.82589473709372e-13	1.27157182203757e-11	0.355001830312572	3	3	Up
DTNA:chr18:34827542-34829351:1	UTR3	0.448539638386648	0.480040941658137	1.91358205214181e-13	1.31576933002966e-11	0.321651384498889	1	4	Up
DTNA:chr18:34828896-34829373:1	UTR3	0.135952712100139	0.152763561924258	0.00177803192886648	0.0133956580271883	0.338533576600654	4	4	Up
DTNA:chr18:34828792-34829434:1	UTR3	0.152990264255911	0.180399181166837	0.00409924171589872	0.0272213704165793	0.261280646531196	3	4	Up
DDX3X:chrX:41333851-41337832:1	UTR3	0.203059805285118	0.192425793244626	3.98184777519449e-13	2.45788603577915e-11	0.438874525718407	1	2	Up
MACF1:chr1:39319637-39322624:1	UTR3	0.249652294853964	0.268167860798362	1.13532869268508e-12	6.63129619211327e-11	0.450239800577185	3	5	Up
MACF1:chr1:39317096-39322610:1	UTR3	0.304937413073713	0.340583418628454	5.89544715102675e-12	3.13961460042915e-10	0.37221267875494	1	5	Up
MACF1:chr1:39319646-39327326:1	UTR3	0.469749652294854	0.55603889457523	1.14227097213378e-10	4.92445707986561e-09	0.274445027050835	4	5	Up
CIRBP:chr19:1274441-1274647:1	UTR3	0.0848400556328234	0.104912998976459	2.01222554449159e-11	9.9367355978894e-10	0.788846117412357	7	7	Up
CIRBP:chr19:1272715-1273213:1	UTR3	0.115438108484006	0.197799385875128	0.00409694492262077	0.0272213704165793	0.276186139724609	5	6	Up
MSMO1:chr4:165338374-165342321:1	UTR3	0.195062586926287	0.0849539406345957	4.76048251892388e-11	2.19143568159276e-09	0.464609142166688	1	3	Up
MSMO1:chr4:165340181-165341917:1	UTR3	0.143949930458971	0.0626919140225179	0.000134198424500529	0.0015379026200145	0.340294605809422	2	2	Up
HILPDA:chr7:128458003-128458418:1	UTR3	0.108136300417246	0.0371033776867963	6.67977082410942e-11	2.94996057858231e-09	0.708027350878358	2	2	Up
RBM25:chr14:73096880-73099856:1	UTR3	0.216968011126565	0.221084953940635	1.54530976835743e-10	6.55790832946685e-09	0.475378389382238	5	8	Up
RBM25:chr14:73096883-73097051:1	UTR3	0.141168289290682	0.1489252814739	1.01903432759953e-06	2.04258098432496e-05	0.444646900473548	6	7	Up
RBM25:chr14:73083532-73099910:1	UTR3	0.282336578581363	0.32164790174002	1.19008270466336e-06	2.33050224616139e-05	0.280268861853439	3	7	Up
SIRPA:chr20:1937923-1938517:1	UTR3	0.0984005563282337	0.122569089048106	2.63975047581149e-10	1.04665142953343e-08	0.59771546031273	1	2	Up
EIF1:chr17:41691178-41691718:1	UTR3	0.277468706536857	0.266888433981576	4.34045165268093e-10	1.62602299154226e-08	0.270908904602543	2	2	Up
TMBIM6:chr12:49758134-49763260:1	UTR3	0.171766342141864	0.235414534288639	9.71221737383050e-10	3.33903574523084e-08	0.464888983073145	1	7	Up
TMBIM6:chr12:49758607-49759408:1	UTR3	0.0869262865090403	0.118219037871034	4.17910480756821e-06	7.27592862650978e-05	0.518385565111665	2	2	Up
NFIA:chr1:61088678-61089305:1	UTR3	0.119958275382476	0.114124872057318	1.00347998125197e-09	3.42824104286838e-08	0.635673171365727	2	2	Up
