Gene	Chr	Strand	MaxPosition	Fit.max.pos	Fit.start	Fit.end	mu	sigma	k	exon.intron	exon.pos	LogLik	polyA_ID
Sash1	10	-1	8722534	8722509	8722219	8722800	275.368079146724	97.1820047290037	477.061464832312	no-junctions	NA	-2815.6743962436	Sash1:10:8722219-8722800:-1
Sash1	10	-1	8813942	8813920	8813689	8814151	24319.4447846206	77.4789060284352	226.621558080581	no-junctions	NA	-79228.5237244978	Sash1:10:8813689-8814151:-1
Lamp2	X	-1	38419683	38419697	38419493	38419901	314.088844713574	68.1865214520017	1052.49128708877	no-junctions	NA	-2714.52840048577	Lamp2:X:38419493-38419901:-1
Lamp2	X	-1	38405263	38405262	38405055	38405469	299.627536953543	69.7476038255978	914.463495683531	no-junctions	NA	-2396.6982242783	Lamp2:X:38405055-38405469:-1
Lamp2	X	-1	38456050	38456058	38455821	38456295	308.833908610837	79.6169739661896	291.363095135222	no-junctions	NA	-2052.98322136238	Lamp2:X:38455821-38456295:-1
Pecam1	11	-1	106654435	106654346	106654217	106654574	211.211094280285	76.4714797710879	1709.13103798705	no-junctions	NA	-2404.61910526899	Pecam1:11:106654217-106654574:-1
Ly6e	15	1	74959145	74959139	74958941	74959337	294.375033915747	66.9416414999715	10545.4048993166	no-junctions	NA	-3878.57379988547	Ly6e:15:74958941-74959337:1
Ly6e	15	1	74956297	74956289	74956076	74956502	292.573993096356	71.679350808874	1105.75118076079	no-junctions	NA	-2611.88352940164	Ly6e:15:74956076-74956502:1
Pnkd	1	1	74287249	74287246	74285966	74287444	297.574394157097	66.6230749952514	1606.5107521862	across-junctions	(74285966,74286009)(74287092,74287444)	-2461.79702342982	Pnkd:1:74285966-74287444:1
Pdgfra	5	1	75198008	75197991	75197715	75198215	283.814270492264	92.7661000803057	402.519765937172	no-junctions	NA	-2417.97857824892	Pdgfra:5:75197715-75198215:1
Dlc1	8	-1	36567943	36567838	36567751	36568039	195.615370505082	67.9311416920226	439.854476029129	no-junctions	NA	-1822.84255726554	Dlc1:8:36567751-36568039:-1
