genomic_feature(s)	population1_pct	population2_pct	pvalue	padj	Log2_fold_change	SiteLocation	NumSites	FC_direction
SLC11A1:chr2:218396478-218396894:1	UTR3	0.466981132075472	0.0980248719824433	1.20033952474946e-37	1.1383219826374e-34	1.35248270499228	4	4	Up
FOS:chr14:75281567-75281836:1	UTR3	0.15	0.0409656181419166	1.7126317408555e-24	6.96062471819127e-22	1.66178714284795	2	4	Up
FOS:chr14:75281617-75282230:1	UTR3	0.25	0.155815654718361	2.41486603188254e-05	0.000440403452609347	0.274111554524745	3	4	Up
SPP1:chr4:87982895-87983426:1	UTR3	0.731132075471698	0.491587417702999	1.48848422514278e-23	5.29342202566403e-21	0.500341904934979	3	3	Up
ATM:chr11:108368541-108369102:1	UTR3	0.164150943396226	0.147037307973665	2.81576348250711e-21	8.01084710773273e-19	1.39674970920813	3	3	Up
ATM:chr11:108367798-108368350:1	UTR3	0.102830188679245	0.099487929773226	1.00195337270231e-07	3.06511542509471e-06	1.15962132617306	2	3	Up
HSPA1A:chr6:31817474-31817946:1	UTR3	0.721698113207547	0.280907095830285	2.31618849529088e-19	4.39303751273504e-17	0.321486536142421	2	2	Up
DENND3:chr8:141195396-141195808:1	UTR3	0.30377358490566	0.196049743964887	1.23620179300677e-16	1.59863368232011e-14	0.869462299727352	3	3	Up
DENND3:chr8:141192486-141194277:1	UTR3	0.264150943396226	0.180687637161668	1.66865417844279e-05	0.0003143921283225	0.683397358165586	1	3	Up
HIST1H2AC:chr6:26138358-26139116:1	UTR3	0.124528301886792	0.0226773957571324	3.04801900314989e-15	2.89053802132048e-13	2.20509657804377	2	2	Up
PTPRC:chr1:198692560-198693016:1	UTR3	0.385849056603774	0.265544989027067	3.83423510720546e-13	3.04723555985892e-11	0.568796375283063	2	2	Up
PTPRC:chr1:198692275-198693589:1	UTR3	0.420754716981132	0.329188002926116	7.06204660260478e-07	1.80016435381041e-05	0.33054311734392	1	2	Up
ITM2B:chr13:48258024-48261505:1	UTR3	0.276415094339623	0.413313825896123	8.02675565936724e-10	4.15202179107269e-08	0.575050808665402	1	2	Up
ITM2B:chr13:48261377-48261980:1	UTR3	0.29811320754717	0.477688368690563	0.00398901465015182	0.0338768557602445	0.299323994351993	2	2	Up
OGT:chrX:71575332-71575892:1	UTR3	0.139622641509434	0.110460863204097	1.48690910514342e-09	7.42150246339126e-08	0.574612948730138	2	2	Up
YWHAH:chr22:31957066-31957603:1	UTR3	0.14622641509434	0.11777615215801	1.49003458033507e-08	5.97063152261025e-07	0.77060837747338	2	2	Up
HAMP:chr19:35284720-35285143:1	UTR3	0.300943396226415	0.120702267739576	3.06377382298837e-08	1.16219153685359e-06	0.439386357830747	2	2	Up
LUC7L3:chr17:50752184-50752755:1	UTR3	0.240566037735849	0.258229700073153	3.46368258152632e-08	1.24750197778602e-06	0.572409347446238	2	2	Up
MCF2L:chr13:113098068-113098607:1	UTR3	0.15377358490566	0.207754206291148	7.63211921169028e-08	2.43970552328751e-06	0.64215857572039	2	2	Up
VMP1:chr17:59841344-59841992:1	UTR3	0.209433962264151	0.131675201170446	7.92644553446647e-08	2.4781030269843e-06	0.51667209079138	2	2	Up
VMP1:chr17:59840084-59840691:1	UTR3	0.115094339622642	0.0885149963423555	0.0038019020845261	0.032777004334778	0.445119434888105	1	2	Up
MAT2A:chr2:85544856-85545281:1	UTR3	0.160377358490566	0.15508412582297	1.07840563105141e-07	3.26389789398007e-06	0.394799180181307	2	2	Up
RBM6:chr3:50075094-50077306:1	UTR3	0.104716981132075	0.0804681784930505	1.4639903098365e-07	4.33593778253367e-06	0.919965905660088	3	3	Up
RBM6:chr3:50068723-50077323:1	UTR3	0.135849056603774	0.115581565471836	5.83191907870877e-05	0.000914234223450709	0.646615721291352	2	3	Up
RBM6:chr3:50061846-50075286:1	UTR3	0.159433962264151	0.17117776152158	8.40064424643942e-05	0.0012383333099026	0.34947421522594	1	3	Up
MEF2A:chr15:99715933-99716466:1	UTR3	0.138679245283019	0.179956108266277	3.89124648597589e-07	1.04439587288693e-05	0.781089771354313	7	7	Up
MBNL1:chr3:152465327-152465780:1	UTR3	0.0990566037735849	0.102414045354792	2.30524644169051e-06	5.45807233816508e-05	0.599038573208975	2	2	Up
OGFRL1:chr6:71308417-71309059:1	UTR3	0.143396226415094	0.125091441111924	3.72581072030917e-06	8.21700116223224e-05	0.555607276124708	3	3	Up
MDM4:chr1:204551509-204552023:1	UTR3	0.173584905660377	0.17629846378932	4.28607171141012e-06	9.30830077783343e-05	0.865934714740074	6	6	Up
SRSF3:chr6:36602269-36602981:1	UTR3	0.117924528301887	0.0972933430870519	7.82372646772889e-06	0.000155653858746075	0.804234247469083	4	4	Up
QKI:chr6:163569681-163570193:1	UTR3	0.105660377358491	0.100950987564009	8.82311197811109e-06	0.000173115541915352	0.798097010776983	3	3	Up
RASSF4:chr10:44989712-44991389:1	UTR3	0.134905660377358	0.0673006583760059	1.59345238851961e-05	0.000302224803022553	0.719062327019782	3	3	Up
CAPZA2:chr7:116904263-116910400:1	UTR3	0.135849056603774	0.135332845647403	4.34559614760197e-05	0.000731551540824119	0.574387311855332	3	3	Up
IL17RA:chr22:17115189-17115694:1	UTR3	0.109433962264151	0.126554498902707	4.60387408530454e-05	0.000765966185537509	0.457819563604797	2	2	Up
P2RX7:chr12:121187561-121188032:1	UTR3	0.119811320754717	0.108266276517922	5.69613886743106e-05	0.000904653687573767	0.650233687420177	2	2	Up
PLP1:chrX:103791625-103792255:1	UTR3	0.135849056603774	0.160936356986101	5.72364371751417e-05	0.000904653687573767	0.472687849992956	1	2	Up
PNN:chr14:39181414-39182332:1	UTR3	0.120754716981132	0.131675201170446	9.66820344783597e-05	0.00140336932699456	0.647715165935021	2	2	Up
PNN:chr14:39180856-39182560:1	UTR3	0.160377358490566	0.199707388441843	0.00397350285576982	0.0338461545648657	0.463211854244014	1	2	Up
HNRNPM:chr19:8488674-8489114:1	UTR3	0.104716981132075	0.0921726408193124	0.000107638508125075	0.00150852983061989	0.611289957495219	2	2	Up
HNRNPM:chr19:8487034-8489114:1	UTR3	0.108490566037736	0.1016825164594	0.000556713719248788	0.0066199990783208	0.52171937177883	1	2	Up
CHCHD7:chr8:56218176-56218685:1	UTR3	0.104716981132075	0.0658376005852231	0.000149028483780411	0.00202864132227401	0.596537503140041	2	2	Up
CBWD5:chr9:65681692-65682036:1	UTR3	0.138679245283019	0.145574250182882	0.00016610494486425	0.00225032651494663	0.496309894411696	2	2	Up
RBM25:chr14:73096880-73099856:1	UTR3	0.124528301886792	0.171909290416971	0.000179971381371829	0.00242662834124576	0.571028773047213	5	7	Up
RBM25:chr14:73096932-73103247:1	UTR3	0.242452830188679	0.388441843452816	0.00328734250414102	0.0289550756169696	0.276644784496312	6	7	Up
CBWD3:chr9:68247771-68248611:1	UTR3	0.180188679245283	0.130943672275055	0.000235870734128848	0.00307822127796593	0.493093128031314	3	3	Up
ALDH2:chr12:111803921-111810050:1	UTR3	0.110377358490566	0.137527432333577	0.000304059502842522	0.00387914477841693	0.373236954432403	2	2	Up
SRRM1:chr1:24646017-24647273:1	UTR3	0.134905660377358	0.156547183613753	0.000996195963083126	0.0109817424174115	0.492598956410371	5	5	Up
CYB5R4:chr6:83908925-83921260:1	UTR3	0.161320754716981	0.158010241404535	0.00100874522085704	0.0110380005897627	0.372430580512201	2	2	Up
LPCAT2:chr16:55584740-55585322:1	UTR3	0.102830188679245	0.175566934893928	0.00102614050011659	0.0111853246085505	0.424048075405184	2	3	Up
NDUFS4:chr5:53646189-53683338:1	UTR3	0.108490566037736	0.125091441111924	0.00137597693293875	0.014463581943384	0.474030172829065	3	3	Up
SLC1A3:chr5:36687872-36688334:1	UTR3	0.20377358490566	0.285296269202634	0.00199415072205581	0.0191667527170567	0.324613313915696	7	7	Up
MICOS10:chr1:19622099-19626644:1	UTR3	0.113207547169811	0.099487929773226	0.00288022210871455	0.026063461299179	0.448419670298215	2	3	Up
MICOS10:chr1:19623434-19626668:1	UTR3	0.111320754716981	0.0972933430870519	0.00338795774741033	0.0296820416488243	0.446223929444796	3	3	Up
RHOB:chr2:20448131-20448691:1	UTR3	0.164150943396226	0.0343818580833943	0.00289492223920582	0.026063461299179	0.574191678707734	1	4	Up
SRSF5:chr14:69771357-69772005:1	UTR3	0.195283018867925	0.307973664959766	0.00320621829615682	0.02877505063901	0.332203819357782	7	7	Up
CDC42:chr1:22086480-22091941:1	UTR3	0.121698113207547	0.151426481346013	0.0033907428948569	0.0296820416488243	0.421879576763658	3	3	Up
CIRBP:chr19:1272709-1274868:1	UTR3	0.191509433962264	0.249451353328456	0.00363882188592357	0.0314664081016795	0.325223438520617	5	6	Up
CHD2:chr15:92998425-93002273:1	UTR3	0.138679245283019	0.144111192392099	0.00440910616481606	0.0367856511404742	0.448442348824868	2	3	Up
SPATA13:chr13:24306618-24307074:1	UTR3	0.131132075471698	0.142648134601317	0.0047593189266836	0.039247137235985	0.318062579643486	2	2	Up
MRPS21:chr1:150308034-150308400:1	UTR3	0.10188679245283	0.0490124359912217	0.00562242839731218	0.0439951172595877	0.484917759472073	2	2	Up
HIST1H2AC:chr6:26124145-26124998:1	UTR3	0.444339622641509	0.450621799561083	2.05372131599239e-20	5.3116701309076e-18	-0.496378357867732	2	3	Down
SLC11A1:chr2:218394847-218395513:1	UTR3	0.300943396226415	0.207022677395757	1.0696689836969e-17	1.90200516163605e-15	-0.904027797023506	1	4	Down
SLC11A1:chr2:218394889-218395385:1	UTR3	0.272641509433962	0.190929041697147	2.60847561714254e-16	2.96844525230821e-14	-0.95103581123914	2	4	Down
RGS1:chr1:192577820-192578504:1	UTR3	0.100943396226415	0.227505486466715	4.44928255929825e-17	6.32910444060176e-15	-1.03330814399918	1	3	Down
RGS1:chr1:192578744-192579314:1	UTR3	0.0754716981132075	0.179956108266277	1.93643593431466e-16	2.29548343046884e-14	-1.246361043309	3	3	Down
RGS1:chr1:192578374-192578860:1	UTR3	0.117924528301887	0.21945866861741	5.53719027724732e-12	3.84226983872406e-10	-0.840441723044284	2	3	Down
PTPRC:chr1:198756035-198756695:1	UTR3	0.111320754716981	0.212143379663497	1.49320466054652e-16	1.84702924315429e-14	-1.13067090765851	1	3	Down
PTPRC:chr1:198756282-198756678:1	UTR3	0.0877358490566038	0.170446232626189	2.31612126530539e-12	1.78090945940374e-10	-1.1075713590453	2	3	Down
SLC25A37:chr8:23572230-23572578:1	UTR3	0.116037735849057	0.194586686174104	1.40314757451131e-11	9.50465440353496e-10	-0.881521882165314	2	3	Down
SLC25A37:chr8:23571726-23572267:1	UTR3	0.341509433962264	0.381858083394294	1.49357435039824e-07	4.33593778253367e-06	-0.335533594545468	1	3	Down
FOS:chr14:75278826-75281289:1	UTR3	0.234905660377358	0.234089246525238	5.93707884995409e-11	3.66427849859983e-09	-0.7019599118671	1	2	Down
FOS:chr14:75280165-75280605:1	UTR3	0.108490566037736	0.143379663496708	1.85372090788326e-10	1.07629305774038e-08	-1.22242913950381	2	2	Down
OGT:chrX:71567360-71573933:1	UTR3	0.0481132075471698	0.1016825164594	2.51490445996407e-09	1.1924838647663e-07	-1.08525880314079	1	2	Down
YWHAH:chr22:31944522-31956434:1	UTR3	0.173584905660377	0.302121433796635	8.29400928470738e-09	3.630224063845e-07	-0.384308603999863	1	2	Down
ADAM28:chr8:24336077-24336923:1	UTR3	0.25	0.510607168983175	1.0930120205021e-07	3.27328336666155e-06	-0.450329059781898	2	2	Down
ADAM28:chr8:24335628-24336321:1	UTR3	0.256603773584906	0.512070226773958	9.52262390790471e-07	2.39751017858309e-05	-0.409834933428427	1	2	Down
MAT2A:chr2:85542339-85543836:1	UTR3	0.0443396226415094	0.100219458668617	1.48189084754506e-07	4.33593778253367e-06	-1.02912704773449	1	2	Down
ATM:chr11:108227404-108229422:1	UTR3	0.0688679245283019	0.262618873445501	1.86821904173901e-07	5.36877088257323e-06	-0.867304430349733	3	5	Down
SORL1:chr11:121631610-121632018:1	UTR3	0.0443396226415094	0.144111192392099	5.4058385910884e-07	1.39814643560423e-05	-1.12580228984112	1	3	Down
MICOS10:chr1:19597059-19626650:1	UTR3	0.224528301886792	0.278712509144111	1.36952554481276e-06	3.33017108973701e-05	-0.328260847863215	1	3	Down
MBNL1:chr3:152463144-152463796:1	UTR3	0.0537735849056604	0.138258961228969	2.46194079623397e-06	5.74116521744725e-05	-0.7042601975966	1	2	Down
LPCAT2:chr16:55578964-55583390:1	UTR3	0.0688679245283019	0.230431602048281	2.79229842321325e-06	6.35527121123335e-05	-0.649992271751425	1	3	Down
DENND3:chr8:141194572-141195016:1	UTR3	0.0509433962264151	0.100950987564009	3.57151663904331e-06	8.00075971502223e-05	-0.931341260836251	2	3	Down
NASP:chr1:45591133-45605103:1	UTR3	0.0726415094339623	0.119970738844184	2.84008765723656e-05	0.00051139553068595	-0.697736410716653	2	2	Down
IL17RA:chr22:17109992-17110604:1	UTR3	0.0650943396226415	0.136064374542794	5.00460648418508e-05	0.000823011875578413	-0.57962271891259	1	2	Down
HSP90B1:chr12:103930145-103932986:1	UTR3	0.0811320754716981	0.143379663496708	5.28013939282065e-05	0.000858399804147128	-0.640179406853894	2	3	Down
HSP90B1:chr12:103930119-103934085:1	UTR3	0.0943396226415094	0.156547183613753	0.000343871649601713	0.00434806596940833	-0.554951400527679	1	3	Down
SRSF5:chr14:69766907-69769668:1	UTR3	0.116981132075472	0.31016825164594	8.03354065394901e-05	0.00119661901363795	-0.519371484649495	2	10	Down
SLC1A3:chr5:36686796-36687674:1	UTR3	0.0632075471698113	0.177761521580102	0.000102570419890918	0.00145906422294831	-0.708291986968905	3	7	Down
NKTR:chr3:42638909-42639713:1	UTR3	0.0283018867924528	0.107534747622531	0.000103988296355871	0.00147187414493758	-1.0513981422238	7	7	Down
NKTR:chr3:42636959-42637883:1	UTR3	0.0632075471698113	0.183613752743233	0.000127880314037542	0.00175758209389762	-0.757531760052631	4	7	Down
NKTR:chr3:42638176-42638855:1	UTR3	0.10377358490566	0.248719824433065	0.00154733302270749	0.0156660585395118	-0.502277555448955	6	7	Down
ITM2B:chr13:48253741-48253999:1	UTR3	0.137735849056604	0.346013167520117	0.000117189490575907	0.00162113025557907	-0.452769561924557	2	2	Down
CHCHD7:chr8:56211720-56217539:1	UTR3	0.0981132075471698	0.125822970007315	0.000129535205121996	0.00177176758928884	-0.460527709556834	1	2	Down
RBM25:chr14:73103442-73112182:1	UTR3	0.102830188679245	0.288222384784199	0.000216663174234492	0.00285373486433856	-0.650211953387131	6	10	Down
ALDH2:chr12:111799947-111809558:1	UTR3	0.0509433962264151	0.124359912216533	0.000319802902569855	0.00406178240094302	-0.568943374220766	1	2	Down
DIP2A:chr21:46567897-46568647:1	UTR3	0.0367924528301887	0.125091441111924	0.000357053844377305	0.00449477074005944	-0.809596859533911	1	4	Down
P2RX7:chr12:121132819-121167489:1	UTR3	0.169811320754717	0.302852962692026	0.000488923272520948	0.00584448197614327	-0.302926244480264	1	3	Down
EIF4A2:chr3:186783560-186786641:1	UTR3	0.156603773584906	0.278712509144111	0.000639490577285467	0.00751797806767419	-0.325716666748857	1	3	Down
TAX1BP1:chr7:27785407-27794406:1	UTR3	0.039622641509434	0.108266276517922	0.000691466163296719	0.00796445843959177	-0.784115222196326	3	3	Down
SRGAP2C:chr1:121391316-121391664:1	UTR3	0.133018867924528	0.22970007315289	0.00131606785845027	0.0139709442436232	-0.413002298913561	7	9	Down
MFSD1:chr3:158823517-158827293:1	UTR3	0.131132075471698	0.163130943672275	0.00235932354860196	0.0221527244084903	-0.404582485999935	2	4	Down
CHD2:chr15:92985303-92997271:1	UTR3	0.110377358490566	0.18727139722019	0.0040607110911195	0.03428107731227	-0.418955858240013	1	3	Down
CFLAR:chr2:201168015-201169911:1	UTR3	0.0773584905660377	0.198975859546452	0.00448097972335383	0.037275986295151	-0.42681796736165	2	4	Down
CELF2:chr10:11332789-11333137:1	UTR3	0.0509433962264151	0.100950987564009	0.00449707877514765	0.0373008429017349	-0.635502681559929	4	7	Down
CELF2:chr10:11332795-11333989:1	UTR3	0.232075471698113	0.330651060716898	0.00556309831912582	0.0438421460329999	-0.274757865130344	5	7	Down
DDX3X:chrX:41342249-41344306:1	UTR3	0.0575471698113208	0.111923920994879	0.00470663503915479	0.0389255136232424	-0.545039176510973	2	2	Down
SPATA13:chr13:24303444-24303958:1	UTR3	0.0915094339622641	0.147768836869056	0.00495411548780676	0.0403852680882815	-0.356518179253966	1	2	Down
MRPS21:chr1:150293835-150308404:1	UTR3	0.14622641509434	0.112655449890271	0.00532148990175694	0.042407951738091	-0.254803982137717	1	2	Down
DDX5:chr17:64499590-64500022:-1	UTR3	0.774528301886792	0.594732991953182	1.8102348254668e-81	5.15011807845305e-78	1.15083184150289	2	2	Up
HSP90AA1:chr14:102082611-102083163:-1	UTR3	0.312264150943396	0.0621799561082663	5.30392306871824e-36	3.77241528262585e-33	1.55623716952064	2	2	Up
DDX17:chr22:38483438-38483821:-1	UTR3	0.437735849056604	0.402340892465252	5.24273383989934e-23	1.6572864193904e-20	0.686995087861264	10	10	Up
DDX17:chr22:38483438-38485317:-1	UTR3	0.471698113207547	0.485735186539868	6.3752820037917e-10	3.4222032642995e-08	0.355538191237757	9	10	Up
