genomic_feature(s)	population1_pct	population2_pct	pvalue	padj	Log2_fold_change	SiteLocation	NumSites	FC_direction
LRRK2:chr12:40367878-40368366:1	UTR3	0.272438443208896	0.278036546040846	1.93562489925179e-37	3.75511230454847e-34	1.16323823554325	3	4	Up
PTPRZ1:chr7:122039538-122040036:1	UTR3	0.283558379666402	0.307416696524543	1.36206485496074e-36	1.98180436396788e-33	1.10812946327101	2	2	Up
LUC7L3:chr17:50752184-50752755:1	UTR3	0.58856235107228	0.573629523468291	7.10554664709582e-32	6.89238024768295e-29	0.561062312080957	3	3	Up
CHL1:chr3:319571-341964:1	UTR3	0.612390786338364	0.731995700465783	1.10710533314938e-29	9.20479005561339e-27	0.426815052636208	3	11	Up
CHL1:chr3:328202-349663:1	UTR3	0.594916600476569	0.72339663203153	5.76131994937317e-19	9.86202414863289e-17	0.336309119111146	5	10	Up
CHL1:chr3:325824-328494:1	UTR3	0.308975377283558	0.408455750627015	5.74596946535369e-12	4.02910148052512e-10	0.507357832499325	4	5	Up
CHL1:chr3:319644-328427:1	UTR3	0.378872120730739	0.523468290935149	5.74893433439657e-09	1.87970774304427e-07	0.336614677517755	3	5	Up
SOX2:chr3:181712939-181713515:1	UTR3	0.385226370135028	0.314582586886421	1.0281197706456e-25	3.73978566572336e-23	0.569055005351838	1	4	Up
VSTM2B:chr19:29563930-29564479:1	UTR3	0.258935663224782	0.309566463633106	6.85691077792705e-22	1.59628882910142e-19	0.610539856546692	2	2	Up
PDZD2:chr5:32110458-32110932:1	UTR3	0.413026211278793	0.49767108563239	2.90301399194112e-20	5.82604877003356e-18	0.304717236723397	2	2	Up
OGT:chrX:71575332-71575892:1	UTR3	0.282764098490866	0.237549265496238	2.51628015686013e-18	4.06798625359054e-16	0.409672912148444	2	2	Up
MYT1:chr20:64241826-64242253:1	UTR3	0.254169976171565	0.308133285560731	9.53131261200282e-18	1.45979577373306e-15	0.594836231718971	2	2	Up
EPN2:chr17:19336234-19336715:1	UTR3	0.352660841938046	0.603367968470082	5.56187770204839e-16	7.19336182798259e-14	0.524095771347596	9	9	Up
RBM6:chr3:50075094-50077306:1	UTR3	0.13582208101668	0.135793622357578	6.67557768630827e-15	7.47151194890656e-13	0.969914761492236	3	3	Up
RBM6:chr3:50068723-50077323:1	UTR3	0.1604447974583	0.180222142601218	2.36377285895609e-11	1.43303729574213e-09	0.730652658404108	2	3	Up
VAPA:chr18:9936061-9936885:1	UTR3	0.183478951548848	0.134002149767109	5.65902801911039e-14	5.39926935593811e-12	0.863630227340257	6	6	Up
VAPA:chr18:9936023-9937162:1	UTR3	0.194598888006354	0.148692225008957	9.90221577635597e-12	6.33306547454855e-10	0.750909852277433	5	6	Up
VAPA:chr18:9931912-9936858:1	UTR3	0.230341540905481	0.209602293084916	2.09521062504463e-08	6.06672927251727e-07	0.531326432035476	4	6	Up
KAT2B:chr3:20153867-20154404:1	UTR3	0.272438443208896	0.363668935865281	8.48938172598026e-14	7.96906478148469e-12	0.669675807351401	4	4	Up
BMERB1:chr16:15581234-15583677:1	UTR3	0.198570293884035	0.132210677176639	8.89747931862376e-14	8.2195761324429e-12	0.876493569448266	2	3	Up
BMERB1:chr16:15582903-15583743:1	UTR3	0.105639396346307	0.0655678968111788	1.34400814963933e-07	3.1927050738371e-06	0.96839242719108	3	3	Up
KHDRBS3:chr8:135646859-135647309:1	UTR3	0.165210484511517	0.193120745252598	1.5180658095539e-13	1.38049109556307e-11	0.840914277205672	4	4	Up
KHDRBS3:chr8:135644970-135647310:1	UTR3	0.186656076250993	0.237907560014332	1.48563798140607e-10	7.02960410714092e-09	0.648987490720915	3	4	Up
MDM4:chr1:204551509-204552023:1	UTR3	0.225575853852264	0.247581512002866	3.7434792761839e-13	3.06859850526624e-11	0.590081169441147	4	5	Up
GPR37L1:chr1:202129045-202129545:1	UTR3	0.193804606830818	0.299892511644572	4.14508105818359e-12	3.01554646982856e-10	0.591712228029715	1	3	Up
WSB1:chr17:27312703-27313926:1	UTR3	0.56791104050834	0.737011823719097	6.8322493210744e-12	4.62368500565733e-10	0.285279945142598	2	4	Up
