genomic_feature(s)	population1_pct	population2_pct	pvalue	padj	Log2_fold_change	SiteLocation	NumSites	FC_direction
PLEKHH1:chr14:67588996-67589612:1	UTR3	0.305210325047801	0.463890437136715	1.0249569565606e-65	3.9556017402121e-63	0.521558353350436	7	7	Up
PLEKHH1:chr14:67588575-67589308:1	UTR3	0.221080305927342	0.395493271757306	1.67570168672989e-17	5.20334265138023e-16	0.334576193602711	6	7	Up
PXK:chr3:58425575-58426087:1	UTR3	0.216539196940727	0.337845369854288	1.15024274074156e-45	2.39029289547178e-43	0.636037218516206	6	6	Up
PXK:chr3:58424026-58426048:1	UTR3	0.257409177820268	0.442949279401226	8.34765960879181e-15	1.91111885026704e-13	0.301392428298508	2	6	Up
MAT2A:chr2:85544856-85545281:1	UTR3	0.286567877629063	0.368062743849033	1.85955604523629e-40	2.87062323211763e-38	0.840486388581157	5	5	Up
TMEM144:chr4:158240272-158244653:1	UTR3	0.354923518164436	0.445696313400748	1.23283129778368e-36	1.70794551331416e-34	0.366186369719735	3	5	Up
TMEM144:chr4:158241316-158244732:1	UTR3	0.324330783938815	0.424396846882714	2.16865240674931e-30	1.69814912371978e-28	0.356952259153189	4	5	Up
SPTBN1:chr2:54669216-54669736:1	UTR3	0.114005736137667	0.188629667967195	3.50674182503006e-36	4.6212014830823e-34	0.837523724617527	2	2	Up
GNAO1:chr16:56356141-56357444:1	UTR3	0.172323135755258	0.271359184648459	7.04526870842513e-36	8.85246205386534e-34	0.644271129030672	2	3	Up
GNAO1:chr16:56357036-56357444:1	UTR3	0.0922562141491396	0.161756509276216	3.19496102264454e-14	6.90494976213938e-13	0.569831350804249	3	3	Up
GNAO1:chr16:56354812-56356398:1	UTR3	0.0595124282982792	0.113145951110757	1.72498680007099e-08	1.84556508530367e-07	0.56404924508757	1	3	Up
CADM2:chr3:85912454-86066827:1	UTR3	0.487332695984704	0.536945616689227	3.81022132510804e-34	4.38013315309761e-32	0.681511371520264	1	12	Up
WSB1:chr17:27312703-27313926:1	UTR3	0.508604206500956	0.697308702922207	7.95979283056655e-34	8.95974180490648e-32	0.270889043744919	1	3	Up
TCF25:chr16:89910987-89911443:1	UTR3	0.117351816443595	0.130981766064177	2.50082456969943e-32	2.45671911819746e-30	0.744338022392598	2	2	Up
TCF25:chr16:89910530-89911424:1	UTR3	0.118785850860421	0.139302492236643	2.38409995479192e-26	1.31441755670824e-24	0.65111678697974	1	2	Up
QKI:chr6:163571129-163571849:1	UTR3	0.296606118546845	0.459749980093957	1.08792738166192e-28	7.53598928605046e-27	0.44190855903652	3	18	Up
CCDC144A:chr17:16761131-16762001:1	UTR3	0.118785850860421	0.168405127796799	2.12942263010692e-28	1.43815880880846e-26	0.622935458335025	2	4	Up
CCDC144A:chr17:16761331-16761661:1	UTR3	0.11376673040153	0.157934548929055	1.78559587848129e-27	1.13500876840405e-25	0.633689550060772	3	4	Up
CCDC144A:chr17:16761562-16764339:1	UTR3	0.0977533460803059	0.15248029301696	4.97848760535014e-17	1.48611980838159e-15	0.523933902351073	4	4	Up
CCDC144A:chr17:16734893-16763967:1	UTR3	0.222036328871893	0.397404251930886	3.99099978336784e-16	1.06694083368827e-14	0.278776789100911	1	4	Up
MOBP:chr3:39528000-39528580:1	UTR3	0.124521988527725	0.27426546699578	8.85970444421735e-28	5.76734736290438e-26	0.67873639942939	10	10	Up
MTURN:chr7:30157974-30158588:1	UTR3	0.0869980879541109	0.11286726650211	4.90272770930119e-27	2.97634132734319e-25	0.838091124987057	3	4	Up
NAV1:chr1:201826514-201826969:1	UTR3	0.0690726577437858	0.103192929373358	8.84304876202908e-26	4.63873713215953e-24	0.922443318468974	2	2	Up
TARDBP:chr1:11024960-11025649:1	UTR3	0.0673996175908222	0.10100326459113	1.57686858480422e-24	8.03756694688414e-23	1.04327240341116	2	2	Up
NKTR:chr3:42635167-42635437:1	UTR3	0.104923518164436	0.128831913368899	3.33416143927952e-22	1.41846253987616e-20	0.709401429788822	3	4	Up
NKTR:chr3:42634570-42637045:1	UTR3	0.201481835564054	0.292778087427343	1.1011891840311e-14	2.49988452156304e-13	0.370418244730928	2	4	Up
NKTR:chr3:42633635-42637045:1	UTR3	0.206500956022945	0.30300979377339	9.10093123586743e-14	1.87680654455694e-12	0.350744794576672	1	4	Up
EMC10:chr19:50482729-50483522:1	UTR3	0.0434990439770555	0.148578708495899	7.95893567638791e-21	3.1388415663886e-19	1.0310369043648	1	7	Up
EMC10:chr19:50487815-50488381:1	UTR3	0.0270076481835564	0.102595748069114	1.79962129058191e-07	1.62055897216901e-06	0.742164223511613	3	7	Up
KCNH8:chr3:19535170-19535642:1	UTR3	0.0595124282982792	0.101839318417071	1.43524200572385e-20	5.46099475839857e-19	0.963914132689936	3	3	Up
KCNH8:chr3:19534487-19535093:1	UTR3	0.0587954110898662	0.136197149454574	2.52182098014959e-06	1.82646095921558e-05	0.450469809563166	2	3	Up
KCNH8:chr3:19534191-19535211:1	UTR3	0.0633365200764818	0.151564615017119	1.3684473296755e-05	8.3639376948379e-05	0.392180137004679	1	3	Up
SRSF5:chr14:69770151-69770465:1	UTR3	0.197418738049713	0.295803806035512	1.61454755171302e-20	6.10028001531849e-19	0.455804829395868	7	8	Up
MOG:chr6:29659603-29660577:1	UTR3	0.141252390057361	0.272513735169998	7.75470255855047e-20	2.77474555787074e-18	0.522548696679742	5	5	Up
ANKRD12:chr18:9254592-9255701:1	UTR3	0.224665391969407	0.351540727764949	1.41970298523088e-19	5.01350014980552e-18	0.400983244736858	4	8	Up
ANKRD12:chr18:9255013-9256087:1	UTR3	0.234703632887189	0.375189107413011	1.11934156448741e-14	2.53046128574288e-13	0.328696647443344	6	8	Up
ANKRD12:chr18:9254214-9254802:1	UTR3	0.111854684512428	0.181781989011864	3.67353981416326e-09	4.28685434469203e-08	0.408466578148098	2	8	Up
SLC48A1:chr12:47782286-47782751:1	UTR3	0.112332695984704	0.164702603710487	2.23163641161748e-19	7.72918687946747e-18	0.453248206393668	2	2	Up
ATP2A2:chr12:110350582-110351093:1	UTR3	0.0972753346080306	0.140417230671232	3.49851310368458e-19	1.18140414370049e-17	0.641292095543765	2	2	Up
CAMTA1:chr1:7766555-7768919:1	UTR3	0.130497131931166	0.189585158053985	6.65858154742776e-19	2.19367781102148e-17	0.493306348006808	1	3	Up
CAMTA1:chr1:7766852-7768622:1	UTR3	0.116634799235182	0.173461262839398	2.26277412058673e-15	5.48240743207627e-14	0.469461270387541	2	3	Up
CAMTA1:chr1:7767706-7768270:1	UTR3	0.0760038240917782	0.103471613982005	1.18846518412407e-14	2.64250098346599e-13	0.613565844090331	3	3	Up
SLC44A1:chr9:105393048-105393426:1	UTR3	0.124282982791587	0.189863842662632	1.27219704357876e-18	4.14077146172051e-17	0.573801247907005	4	6	Up
KMT2A:chr11:118526057-118526832:1	UTR3	0.117112810707457	0.144279003105343	1.52139119150533e-17	4.75148936861463e-16	0.462616241374665	2	3	Up
KMT2A:chr11:118525777-118526832:1	UTR3	0.117590822179732	0.146787164583167	1.4465010561437e-16	4.09185612897612e-15	0.443679055993599	1	3	Up
KMT2A:chr11:118526435-118526832:1	UTR3	0.0913001912045889	0.109164742415797	1.5269219111102e-13	3.07834294243597e-12	0.482353544070589	3	3	Up
HNRNPA3:chr2:177223323-177223958:1	UTR3	0.0838910133843212	0.129827215542639	3.45408451480026e-17	1.04845048502617e-15	0.639803200425838	6	6	Up
SRSF3:chr6:36602269-36602981:1	UTR3	0.0626195028680688	0.123218409109006	4.83313503189534e-17	1.45074603207392e-15	0.713755674893433	4	4	Up
KLC1:chr14:103685751-103686340:1	UTR3	0.0944072657743786	0.123656342065451	1.37993413783507e-16	3.92409691932783e-15	0.49233352290813	1	2	Up
