genomic_feature(s)	population1_pct	population2_pct	pvalue	padj	Log2_fold_change	SiteLocation	NumSites	FC_direction
PLEKHH1:chr14:67588996-67589612:1	UTR3	0.435412026726058	0.700409944459138	1.47552805359588e-61	1.35723988796595e-58	0.538469166441093	7	7	Up
PLEKHH1:chr14:67588575-67589308:1	UTR3	0.323682256867112	0.609627082782333	1.66080318450674e-18	1.0535600891141e-16	0.361475317029898	6	7	Up
MAT2A:chr2:85544856-85545281:1	UTR3	0.272457312546399	0.389711716477122	2.69136521325999e-60	2.12194923028312e-57	0.679185104363347	5	5	Up
PXK:chr3:58425575-58426087:1	UTR3	0.306978470675575	0.5	2.74733904219735e-48	1.16635109029901e-45	0.681752581272228	7	7	Up
PXK:chr3:58424026-58426048:1	UTR3	0.360430586488493	0.650092568103676	3.2681517868347e-16	1.68569436556455e-14	0.327828934623579	2	7	Up
TMEM144:chr4:158240272-158244653:1	UTR3	0.521529324424647	0.707088071938641	3.77028772720205e-34	8.32328718657124e-32	0.375207119102086	3	6	Up
TMEM144:chr4:158241316-158244732:1	UTR3	0.476243504083148	0.675350436392489	3.56031263441522e-28	4.9123413573344e-26	0.363387564714479	4	5	Up
SCD:chr10:100364383-100364826:1	UTR3	0.412769116555308	0.762628934144406	1.26545750155246e-31	2.49430712538144e-29	0.279019870574764	8	8	Up
NFASC:chr1:205022360-205022822:1	UTR3	0.241648106904232	0.418275588468659	2.69081684545938e-31	5.12090281727253e-29	0.413190990327523	2	2	Up
MOBP:chr3:39528000-39528580:1	UTR3	0.188567186340015	0.446574980163978	5.11977609403519e-29	7.84890118416117e-27	0.675464339921259	11	12	Up
SPTBN1:chr2:54669216-54669736:1	UTR3	0.0894580549368968	0.193996297275853	4.5807229493599e-25	5.15938978724842e-23	0.991995416810214	2	2	Up
WSB1:chr17:27312703-27313926:1	UTR3	0.50890868596882	0.765273737106586	4.65387341030415e-24	5.03622104930757e-22	0.277176163411307	2	4	Up
QKI:chr6:163571129-163571849:1	UTR3	0.375649591685226	0.567045755091246	3.50697342747289e-23	3.33706661141774e-21	0.439170953328231	3	18	Up
QKI:chr6:163578026-163578592:1	UTR3	0.102821083890126	0.199153663052103	0.00461405366276864	0.0206027201980746	0.274372852913248	18	18	Up
