genomic_feature(s)	population1_pct	population2_pct	pvalue	padj	Log2_fold_change	SiteLocation	NumSites	FC_direction
SLC1A3:chr5:36680218-36686526:1	UTR3	0.763171355498721	0.67553735926305	1.0660973436849e-124	1.99466813003444e-121	0.842297425949655	1	9	Up
SLC1A3:chr5:36683583-36686598:1	UTR3	0.540153452685422	0.486438075742068	2.22939460093425e-33	3.29305049869577e-31	0.552497987542013	2	9	Up
SLC1A3:chr5:36686796-36687674:1	UTR3	0.591815856777494	0.564738996929376	8.80479329813439e-21	4.70679093165984e-19	0.411094378716385	5	9	Up
SLC1A3:chr5:36687000-36687408:1	UTR3	0.432736572890026	0.406345957011259	3.3913441739861e-18	1.39967756239588e-16	0.476717629100737	6	9	Up
SLC1A3:chr5:36686066-36686660:1	UTR3	0.382097186700767	0.359774820880246	1.99864128659879e-14	5.75301207265591e-13	0.460236570037883	3	9	Up
SLC1A3:chr5:36686320-36686578:1	UTR3	0.2	0.182958034800409	9.13780314144911e-08	1.13978864517675e-06	0.510401281985706	4	9	Up
ITM2B:chr13:48233209-48256359:1	UTR3	0.513554987212276	0.427328556806551	8.74220337569391e-38	2.13347771946826e-35	0.419910091107447	1	2	Up
SCARA3:chr8:27659356-27676776:1	UTR3	0.676726342710997	0.491555783009212	5.05387166218648e-34	7.87982823329242e-32	0.288315998365919	1	2	Up
SLC6A11:chr3:10824682-10825306:1	UTR3	0.132992327365729	0.0424769703172979	1.08290419703129e-29	1.14685684112012e-27	1.30573177066455	1	2	Up
SLC6A11:chr3:10824822-10825242:1	UTR3	0.11457800511509	0.0363357215967247	3.85485777701459e-23	2.37772711015197e-21	1.26949252778094	2	2	Up
MACF1:chr1:39319646-39327326:1	UTR3	0.631202046035806	0.55603889457523	2.56155230272223e-28	2.21199893464306e-26	0.417839205457	4	5	Up
MACF1:chr1:39318480-39324855:1	UTR3	0.625575447570332	0.544524053224156	3.54327528020903e-26	2.68762218213693e-24	0.400866416646826	2	5	Up
MACF1:chr1:39317096-39322610:1	UTR3	0.425575447570332	0.340583418628454	2.30883299736454e-20	1.17813451038247e-18	0.497474990552274	1	5	Up
MACF1:chr1:39322490-39324813:1	UTR3	0.484398976982097	0.408393039918117	2.16465870429396e-13	5.7584025152616e-12	0.36274637141501	5	5	Up
MACF1:chr1:39319637-39322624:1	UTR3	0.323785166240409	0.268167860798362	4.31975990681713e-12	1.02307225134872e-10	0.443244263799111	3	5	Up
BAALC:chr8:103212949-103228405:1	UTR3	0.354987212276215	0.265864892528147	1.12373993082388e-23	7.16767299058457e-22	0.328193855481124	1	3	Up
ATP1B2:chr17:7655486-7656205:1	UTR3	0.178005115089514	0.197287615148414	8.44080994141402e-23	5.09443722593085e-21	0.71826211606016	1	3	Up
ATP1B2:chr17:7655634-7656034:1	UTR3	0.121227621483376	0.145087001023541	5.18373499232632e-13	1.32859837954008e-11	0.620477975226928	2	3	Up
MICOS10:chr1:19597059-19626650:1	UTR3	0.218414322250639	0.31525076765609	8.63163813942355e-20	4.36480944834094e-18	0.455048688911301	1	3	Up
EIF1:chr17:41691178-41691718:1	UTR3	0.153964194373402	0.266888433981576	1.07117474531074e-18	4.78536686114471e-17	0.586199726818912	2	2	Up
ZNRF3:chr22:29050340-29054165:1	UTR3	0.508951406649616	0.570368474923234	1.38675651766222e-18	6.03400335940934e-17	0.282310422565594	1	4	Up
HSPB1:chr7:76302939-76303423:1	UTR3	0.142710997442455	0.1489252814739	3.28408816410757e-18	1.37564081083103e-16	0.737343750119914	2	3	Up
CIRBP:chr19:1271555-1272748:1	UTR3	0.430690537084399	0.32164790174002	3.32647515000541e-17	1.27134540202274e-15	0.456772125160962	3	8	Up
CIRBP:chr19:1271270-1272315:1	UTR3	0.279795396419437	0.192425793244626	7.94613012777403e-15	2.34745412669451e-13	0.581987666049354	1	7	Up
CIRBP:chr19:1272166-1272814:1	UTR3	0.339130434782609	0.25639713408393	3.30003475053787e-09	5.3227284640141e-08	0.4143617601032	4	7	Up
DTNA:chr18:34882119-34887978:1	UTR3	0.606649616368286	0.592886386898669	2.33134479464486e-16	7.93081111051005e-15	0.332557216265521	1	7	Up
DTNA:chr18:34884654-34888012:1	UTR3	0.49309462915601	0.502047082906858	1.1781560722237e-08	1.72866980135251e-07	0.26509269803946	2	7	Up
DTNA:chr18:34887420-34888194:1	UTR3	0.29002557544757	0.285056294779939	3.10926817280233e-07	3.44907554425682e-06	0.354096563378161	3	7	Up
DTNA:chr18:34887628-34888019:1	UTR3	0.231202046035806	0.220061412487206	4.41272727588387e-07	4.75405723599543e-06	0.40605344987014	4	7	Up
GRAMD2B:chr5:126469606-126469846:1	UTR3	0.174424552429668	0.132036847492323	5.07040379155289e-15	1.52193457122922e-13	0.760100271623898	2	2	Up
PLP1:chrX:103791625-103792255:1	UTR3	0.0966751918158568	0.196264073694985	1.54987098591047e-13	4.20262118063548e-12	0.444078263748591	1	2	Up
SASH1:chr6:148548607-148549111:1	UTR3	0.267007672634271	0.185772773797339	9.26972950762192e-13	2.32281213063758e-11	0.596688640013867	1	3	Up
NTRK2:chr9:84810552-84810947:1	UTR3	0.448081841432225	0.465199590583419	5.47537257476236e-11	1.13406886576167e-09	0.315255259917326	1	10	Up
NTRK2:chr9:84812291-84812808:1	UTR3	0.440920716112532	0.452149437052201	1.59895635449325e-09	2.67111369576507e-08	0.355963113770063	3	10	Up
NTRK2:chr9:84814890-84815298:1	UTR3	0.251662404092072	0.297338792221085	9.39706904071061e-05	0.000646393977028292	0.285935888608895	6	10	Up
ID4:chr6:19837824-19839401:1	UTR3	0.302813299232737	0.356192425793245	9.89011293598336e-11	1.98972057023923e-09	0.393347959966826	1	8	Up
OLFM1:chr9:135090207-135098211:1	UTR3	0.149360613810742	0.06985670419652	1.70193887738652e-10	3.32856547692353e-09	0.653635714128877	1	2	Up
OLFM1:chr9:135095850-135098205:1	UTR3	0.101278772378517	0.0532241555783009	0.00201679466536867	0.00912924875541478	0.401562120734802	2	2	Up
KLC1:chr14:103686082-103687150:1	UTR3	0.135549872122762	0.117195496417605	1.22894349704853e-09	2.09032116634346e-08	0.584467802905063	2	2	Up
KLC1:chr14:103685751-103686340:1	UTR3	0.10230179028133	0.0954452405322416	0.00290598636435299	0.0125664880301336	0.344331050048251	1	2	Up
DPYSL2:chr8:26656402-26657420:1	UTR3	0.28849104859335	0.220317297850563	1.38724856228985e-09	2.33832618022011e-08	0.493229943318165	1	6	Up
SLC6A1:chr3:11029183-11029645:1	UTR3	0.172378516624041	0.125127942681679	4.53926281183726e-09	7.21781364386474e-08	0.581064304349907	2	2	Up
SRP9:chr1:225783165-225789907:1	UTR3	0.146291560102302	0.148157625383828	8.95270517081881e-09	1.33647697137782e-07	0.421440463951606	1	2	Up
STX16:chr20:58678139-58678695:1	UTR3	0.30997442455243	0.259467758444217	1.49769815955014e-08	2.16107449088815e-07	0.331450487219326	3	4	Up
NFIA:chr1:61111075-61112407:1	UTR3	0.18925831202046	0.137154554759468	3.92146045492963e-08	5.17909589024e-07	0.475693152010749	1	2	Up
NFIA:chr1:61111412-61112390:1	UTR3	0.148337595907928	0.108751279426817	2.3339748342591e-06	2.21067363231865e-05	0.47506378121991	2	2	Up
GPR37L1:chr1:202129045-202129545:1	UTR3	0.376982097186701	0.32906857727738	4.0660607409101e-08	5.3324296585814e-07	0.266750771277295	1	3	Up
PCBP2:chr12:53471160-53480277:1	UTR3	0.283375959079284	0.310133060388946	9.81246740989248e-08	1.2131581403464e-06	0.278999751618522	1	4	Up
FXYD1:chr19:35142772-35142915:1	UTR3	0.157033248081841	0.192681678607984	1.18714315541088e-07	1.43299667340242e-06	0.433388284449002	2	2	Up
FAM189A2:chr9:69377311-69377913:1	UTR3	0.225063938618926	0.157881269191402	1.42690762064844e-07	1.69328382128958e-06	0.329419514460727	1	2	Up
FAM189A2:chr9:69377505-69377877:1	UTR3	0.20153452685422	0.138178096212897	6.605751339145e-07	6.99586457860771e-06	0.34511036906076	2	2	Up
RBM5:chr3:50100887-50101915:1	UTR3	0.120716112531969	0.0747185261003071	2.17176367599934e-07	2.48777745171108e-06	0.600715403421828	1	5	Up
RBM5:chr3:50101693-50102114:1	UTR3	0.124296675191816	0.0895598771750256	0.00357877023701174	0.0150469193560651	0.306465214427416	3	5	Up
ADD3:chr10:110126397-110133623:1	UTR3	0.574424552429668	0.514841351074719	3.21908326684311e-07	3.563848989505e-06	0.267346066876529	1	5	Up
NASP:chr1:45606558-45606808:1	UTR3	0.101278772378517	0.0670419651995906	3.35762764866013e-07	3.70262553868945e-06	0.680533915534338	4	4	Up
NASP:chr1:45606325-45606985:1	UTR3	0.126854219948849	0.0946775844421699	2.27940523070132e-05	0.000179947982558741	0.481029429126362	2	4	Up
NASP:chr1:45606450-45606922:1	UTR3	0.119693094629156	0.0880245649948823	2.31072745820997e-05	0.000181213678674791	0.499718658637973	3	4	Up
HIF3A:chr19:46340298-46341246:1	UTR3	0.139130434782609	0.104401228249744	5.99727984355246e-07	6.3634653614102e-06	0.503516855225826	2	3	Up
ACOT11:chr1:54635019-54635591:1	UTR3	0.304347826086957	0.249744114636643	6.86982928727983e-07	7.26183649519805e-06	0.271751334905802	1	3	Up
ITGB8:chr7:20404659-20410108:1	UTR3	0.115601023017903	0.140736949846469	7.82596337312577e-07	8.22605475905524e-06	0.616296444326704	1	6	Up
SCG3:chr15:51701115-51719835:1	UTR3	0.269053708439898	0.206243602865916	7.81976083830757e-07	8.22605475905524e-06	0.267963822441144	1	4	Up
NDUFB2:chr7:140696730-140706670:1	UTR3	0.104859335038363	0.248976458546571	1.0212048904515e-06	1.04408434428129e-05	0.385759410534166	1	3	Up
HMGN2:chr1:26472440-26475436:1	UTR3	0.133503836317136	0.162231320368475	1.35305648623342e-06	1.34182085816752e-05	0.358422142318249	1	2	Up
PER3:chr1:7843426-7844098:1	UTR3	0.10843989769821	0.0872569089048107	1.57488107237835e-06	1.54542088448595e-05	0.525016186809838	1	2	Up
ANKDD1A:chr15:64957299-64958031:1	UTR3	0.320716112531969	0.276100307062436	1.58090626927143e-06	1.54782206697121e-05	0.281479715494802	1	4	Up
ANKDD1A:chr15:64958096-64958258:1	UTR3	0.147826086956522	0.128198567041965	0.00643724287250683	0.0249016156053624	0.276026837136695	3	4	Up
SOX2:chr3:181712939-181713515:1	UTR3	0.370332480818414	0.432446264073695	1.75835071354363e-06	1.71050650868638e-05	0.265931297427791	1	5	Up
MYO6:chr6:75914840-75915458:1	UTR3	0.110997442455243	0.0736949846468782	2.25555084835753e-06	2.14220083110505e-05	0.632723200173301	1	4	Up
IQCK:chr16:19718158-19735501:1	UTR3	0.235805626598465	0.25921187308086	3.0759994614003e-06	2.83973437119077e-05	0.258718249889183	1	2	Up
IQCK:chr16:19732929-19735125:1	UTR3	0.121739130434783	0.13971340839304	0.00569083354163599	0.0223375165518901	0.268448842453991	2	2	Up
NCAN:chr19:19250752-19251316:1	UTR3	0.137084398976982	0.155834186284545	5.75284134282308e-06	5.09317010366971e-05	0.449562569849383	2	4	Up
NCAN:chr19:19248611-19249969:1	UTR3	0.165728900255754	0.188843398157625	0.000475822551440422	0.00260526789228875	0.351390037212068	1	4	Up
NCAN:chr19:19251464-19251866:1	UTR3	0.136572890025575	0.164022517911975	0.0102348314942489	0.0368021199085324	0.262314619673558	3	4	Up
MAST4:chr5:67166800-67167309:1	UTR3	0.229156010230179	0.16171954964176	5.81381021278588e-06	5.13904200383735e-05	0.320326086282976	1	3	Up
HSP90B1:chr12:103932342-103938618:1	UTR3	0.0721227621483376	0.134339815762538	6.4535862914337e-06	5.63358940183785e-05	0.627591949474908	2	2	Up
HSP90B1:chr12:103930119-103934085:1	UTR3	0.0506393861892583	0.107727737973388	0.0075831505160295	0.0286627770009923	0.52829062133334	1	2	Up
ITSN1:chr21:33771975-33774886:1	UTR3	0.242966751918159	0.154298874104401	6.97334678265088e-06	6.06843340946037e-05	0.350525668077172	2	3	Up
ITSN1:chr21:33767668-33775023:1	UTR3	0.31150895140665	0.21596724667349	3.54691948737523e-05	0.000266874786630525	0.254842129916474	1	3	Up
ZNF138:chr7:64794388-64832097:1	UTR3	0.339641943734015	0.380245649948823	9.83512761655438e-06	8.27654742304644e-05	0.262414557915039	1	3	Up
SLC48A1:chr12:47782286-47782751:1	UTR3	0.164705882352941	0.141248720573183	1.10077315306152e-05	9.19440432758084e-05	0.280893197997669	2	2	Up
TCF12:chr15:57273168-57286852:1	UTR3	0.160102301790281	0.123080859774821	1.15827269641042e-05	9.60322694970708e-05	0.436467041371946	2	2	Up
TCF12:chr15:57253006-57286720:1	UTR3	0.254731457800511	0.210337768679632	0.000186613396449654	0.00116126496039014	0.314314208668785	1	2	Up
QKI:chr6:163534202-163535264:1	UTR3	0.104347826086957	0.0839303991811668	1.4878775552823e-05	0.000121919076172256	0.573107199018368	4	4	Up
RBM6:chr3:50061835-50068926:1	UTR3	0.202046035805627	0.16171954964176	1.62832450569347e-05	0.000133039089526309	0.367428765030276	3	5	Up
LUC7L3:chr17:50745851-50750561:1	UTR3	0.264450127877238	0.201125895598772	1.84062459685475e-05	0.000149563084051517	0.317531351325255	4	6	Up
LUC7L3:chr17:50745902-50746040:1	UTR3	0.125831202046036	0.0939099283520983	0.0010669680074401	0.00529521788307804	0.374638865245853	5	5	Up
ABHD2:chr15:89200242-89200794:1	UTR3	0.138107416879795	0.150972364380757	1.85414019442643e-05	0.000150394348429416	0.34020118794921	1	2	Up
METTL7A:chr12:50930948-50931914:1	UTR3	0.239386189258312	0.221084953940635	2.03711350593905e-05	0.000163347401554799	0.268822407597321	2	3	Up
ACACB:chr12:109265395-109267066:1	UTR3	0.123273657289003	0.127430910951894	2.31480861588856e-05	0.000181213678674791	0.387020001371241	1	2	Up
HLA-E:chr6:30492735-30493412:1	UTR3	0.121227621483376	0.133828045035824	2.48006696015944e-05	0.000192806313675553	0.312375527362397	1	2	Up
