genomic_feature(s)	population1_pct	population2_pct	pvalue	padj	Log2_fold_change	SiteLocation	NumSites	FC_direction
CADM2:chr3:85912454-86066827:1	UTR3	0.655373264731579	0.536945616689227	2.240119994056e-188	2.08928524778956e-185	0.430933859109924	1	12	Up
SLC1A3:chr5:36680218-36686526:1	UTR3	0.222211435782934	0.232104466916156	2.69885225550098e-161	1.67808635797594e-158	0.606192537625287	1	7	Up
SLC1A3:chr5:36683583-36686598:1	UTR3	0.13629744684982	0.1336491758898	1.63571296716237e-31	2.7161572000714e-30	0.426109269040214	2	7	Up
SLC1A3:chr5:36687000-36687408:1	UTR3	0.105135423745267	0.0986543514611036	4.60863468273043e-19	4.17988973817819e-18	0.422798499884133	4	7	Up
SLC1A3:chr5:36686796-36687674:1	UTR3	0.14911173672459	0.152161796321363	3.74180630020446e-18	3.20170459571012e-17	0.339433447464472	3	7	Up
ITM2B:chr13:48233209-48256359:1	UTR3	0.347441995922726	0.377657456803886	7.4677738611066e-140	2.32164791815292e-137	0.414339709825331	1	2	Up
VSTM2B:chr19:29529981-29564127:1	UTR3	0.278419570915445	0.247790429174297	3.88078841125215e-114	6.38732116157854e-112	0.332033142506486	1	2	Up
CCDC144A:chr17:16734893-16763967:1	UTR3	0.389088438015727	0.397404251930886	1.40408929898489e-87	1.4550525402073e-85	0.326431920757926	5	9	Up
CCDC144A:chr17:16761562-16764339:1	UTR3	0.202407533249199	0.15248029301696	7.87211622542095e-72	5.37223931676288e-70	0.653295303585983	4	4	Up
VSNL1:chr2:17591891-17655854:1	UTR3	0.24046209105912	0.10693526554662	3.66658774797301e-76	2.97365580255898e-74	0.393262446459994	1	4	Up
RHOU:chr1:228737379-228744501:1	UTR3	0.273662751189205	0.340910900549407	7.89612393575421e-76	6.05297391020281e-74	0.39767032989344	1	8	Up
NKTR:chr3:42637703-42638303:1	UTR3	0.228812736627512	0.186081694402421	1.04887924676014e-72	7.40566369824304e-71	0.60774592454832	5	7	Up
NKTR:chr3:42635333-42637975:1	UTR3	0.354528686535288	0.328648777768931	2.02170634221959e-55	8.50636743688783e-54	0.383811304774754	3	7	Up
NKTR:chr3:42636959-42637883:1	UTR3	0.251820211629939	0.235568118480771	3.35430394163859e-31	5.4885043442718e-30	0.360586920719005	4	7	Up
SRSF11:chr1:70235526-70244872:1	UTR3	0.382487137171148	0.35444701011227	1.93574439444252e-69	1.24510639440234e-67	0.370285102543765	4	4	Up
MOG:chr6:29657150-29668376:1	UTR3	0.353752062906514	0.500079624173899	1.63429068820271e-67	9.62683230650774e-66	0.285412847035706	2	9	Up
NTM:chr11:132314530-132335287:1	UTR3	0.404232598776818	0.384744008280914	3.55423228297098e-63	1.87636640146279e-61	0.282389653895887	1	7	Up
SLC48A1:chr12:47782286-47782751:1	UTR3	0.144743228812737	0.164702603710487	7.75065966290624e-58	3.44227710108122e-56	0.47939168748368	2	2	Up
PLEKHG3:chr14:64746407-64746935:1	UTR3	0.14969420444617	0.172545584839557	1.94998454518998e-50	7.13210033652493e-49	0.454740157326603	2	3	Up
RBM25:chr14:73106054-73109578:1	UTR3	0.148043879235026	0.0930408472012103	2.15920121770606e-44	6.60267213895253e-43	0.631880881691023	5	8	Up
RBM25:chr14:73107777-73109568:1	UTR3	0.115328608872925	0.0684767895533084	1.08295200670685e-43	3.20645472461987e-42	0.730177370025735	6	7	Up
RBM25:chr14:73106021-73110988:1	UTR3	0.183089020483448	0.126443188151923	1.42046911505984e-35	2.88005259705611e-34	0.491130021969983	3	7	Up
RBM25:chr14:73103442-73112182:1	UTR3	0.391806620716435	0.322597340552592	3.35543562583589e-35	6.70607777220629e-34	0.275252824086532	2	7	Up
LRMDA:chr10:76444529-76557364:1	UTR3	0.128628288515678	0.144796560235688	5.22019111646536e-44	1.57903726960758e-42	0.441808415491941	3	3	Up
SLC6A1:chr3:11037025-11037590:1	UTR3	0.117949713620037	0.117366032327415	2.76225099172172e-42	7.54677452067678e-41	0.568723591999539	1	4	Up
SLC6A1:chr3:11037908-11038503:1	UTR3	0.109892243471508	0.114260689545346	1.37122574960451e-34	2.63690010130131e-33	0.529783679921504	2	4	Up
MAPT:chr17:46025606-46026126:1	UTR3	0.171633821959033	0.122501791543913	2.77618718275283e-42	7.54677452067678e-41	0.523054655249659	4	5	Up
TTC14:chr3:180609455-180610278:1	UTR3	0.277934181147461	0.223863364917589	4.56300160824675e-42	1.22174913874396e-40	0.386489371066027	7	11	Up
TTC14:chr3:180609936-180610626:1	UTR3	0.273662751189205	0.229237996655785	1.45640818965276e-30	2.30227690093131e-29	0.329739601294941	10	11	Up
TTC14:chr3:180609828-180610152:1	UTR3	0.146878943791865	0.108249064415957	1.48264261224516e-26	2.01380292672911e-25	0.465785931196699	9	11	Up
TTC14:chr3:180609784-180610102:1	UTR3	0.124551014464615	0.0900549406799904	1.91990269452432e-24	2.33560336490394e-23	0.492245602155975	8	11	Up
TTC14:chr3:180609175-180610039:1	UTR3	0.153771478497233	0.122024046500518	1.41630269706822e-13	8.98597493514031e-13	0.309159669626878	6	11	Up
MICOS10:chr1:19597059-19626650:1	UTR3	0.164352975439278	0.204116569790588	1.97506993327929e-41	5.14069364959578e-40	0.32318491148615	1	3	Up
SCD:chr10:100362727-100363339:1	UTR3	0.145616930395107	0.244884146826977	1.81481155225648e-40	4.47387024071686e-39	0.419018094661668	4	7	Up
PDIA3:chr15:43756561-43765651:1	UTR3	0.0942626929424328	0.101162512938928	1.98291036088695e-39	4.76238900408728e-38	0.640120638364504	1	2	Up
MDH1:chr2:63588685-63604744:1	UTR3	0.203378312785166	0.174337128752289	2.06150776887388e-37	4.48879279168024e-36	0.416791007979668	1	2	Up
CALM1:chr14:90404780-90405068:1	UTR3	0.166391612464809	0.127119993630066	1.26268889332387e-35	2.56945710801469e-34	0.489323053650876	5	9	Up
MACF1:chr1:39319646-39327326:1	UTR3	0.299679642753131	0.293932637948881	1.74867648852227e-33	3.18748978168424e-32	0.294597516621279	4	5	Up
MACF1:chr1:39318480-39324855:1	UTR3	0.295408212794874	0.284935106298272	2.22206561841881e-33	4.02416802610734e-32	0.306897133847286	2	5	Up
MACF1:chr1:39317096-39322610:1	UTR3	0.179205902339579	0.165658093797277	1.89200421715762e-23	2.18753214859794e-22	0.352213433290995	1	5	Up
MACF1:chr1:39319637-39322624:1	UTR3	0.13629744684982	0.124572020065292	3.57839119701616e-18	3.06656617741232e-17	0.361986090493051	3	5	Up
MACF1:chr1:39322490-39324813:1	UTR3	0.212600718376857	0.202762958834302	5.40742608700043e-14	3.52680144322312e-13	0.297535008188849	5	5	Up
NFASC:chr1:204981833-204984330:1	UTR3	0.114260751383361	0.149295326060992	2.39943519543643e-33	4.33136753343945e-32	0.474160656161892	1	2	Up
NFASC:chr1:204983898-204984343:1	UTR3	0.0663042423065722	0.10100326459113	3.31464015578055e-06	1.09885819382393e-05	0.25841358841983	2	2	Up
KLC1:chr14:103685751-103686340:1	UTR3	0.148917580817396	0.123656342065451	1.47413577393629e-31	2.4698394583675e-30	0.591852025388118	1	2	Up
KLC1:chr14:103686082-103687150:1	UTR3	0.13154062712358	0.130464208933832	6.00958124744801e-11	3.14295482810459e-10	0.32758907226296	2	2	Up
CELF2:chr10:11330821-11331394:1	UTR3	0.174157848752548	0.0886615176367545	1.58294257442362e-31	2.64422287954464e-30	0.446049668900047	2	4	Up
CELF2:chr10:11329903-11331079:1	UTR3	0.132899718473935	0.0699896488573931	4.2026598536505e-13	2.58440489461848e-12	0.32514176389123	1	4	Up
CELF2:chr10:11333079-11333613:1	UTR3	0.14018056499369	0.0777131937256151	2.84183427682842e-10	1.38768801161709e-09	0.274092991890701	4	4	Up
ADD3:chr10:110126397-110133623:1	UTR3	0.285506261528007	0.30093956525201	2.26305076659435e-31	3.72471532054764e-30	0.315081838612816	1	3	Up
HSD17B4:chr5:119452473-119499325:1	UTR3	0.317639064168527	0.36332510550203	3.77970406776292e-31	6.13078955455109e-30	0.25865657686767	1	2	Up
PCMTD2:chr20:64264409-64273885:1	UTR3	0.108727308028347	0.131379886933673	7.77005539335065e-31	1.24588051522035e-29	0.534467925184996	1	6	Up
PPFIBP1:chr12:27634925-27654752:1	UTR3	0.228618580720318	0.192252567879608	2.76820473923944e-29	4.10898507182596e-28	0.31405835315226	3	4	Up
KCNJ2:chr17:70178132-70178822:1	UTR3	0.101737695369382	0.140815351540728	2.98684855381364e-27	4.14749491492335e-26	0.424758560649705	1	4	Up
AIF1L:chr9:131096845-131120716:1	UTR3	0.100766915833414	0.153634843538498	5.15460064965263e-27	7.08725927161084e-26	0.313405485117141	1	2	Up
PCBP2:chr12:53471160-53480277:1	UTR3	0.220658188525386	0.318974440640178	6.88080907057228e-27	9.43750185267708e-26	0.257346966535895	1	4	Up
NCAM1:chr11:113270151-113275753:1	UTR3	0.174254926706145	0.16828569153595	9.10548477007166e-26	1.19052085918974e-24	0.435692122894576	1	8	Up
NCAM1:chr11:113271663-113275654:1	UTR3	0.145034462673527	0.144358627279242	2.11132643987816e-14	1.42007004297574e-13	0.385171318111112	2	8	Up
