genomic_feature(s)	population1_pct	population2_pct	pvalue	padj	Log2_fold_change	SiteLocation	NumSites	FC_direction
TF:chr3:133782098-133783028:1	UTR3	0.107423500046224	0.0844016243331475	1.82016572603082e-212	7.85751542652691e-210	1.30568931109739	3	3	Up
LUC7L3:chr17:50752184-50752755:1	UTR3	0.456133863363225	0.435185922446055	2.21571513464293e-182	6.54452280821901e-180	0.552843075650454	3	3	Up
ADD1:chr4:2929555-2930076:1	UTR3	0.325090135897199	0.27223505056135	1.45238593419383e-179	3.88132850604561e-177	0.69540442130935	2	2	Up
STXBP1:chr9:127692164-127692814:1	UTR3	0.12568179717112	0.09109005494068	1.46676143952541e-161	3.42977716609024e-159	0.765145088591465	2	2	Up
P2RX7:chr12:121185529-121186135:1	UTR3	0.212258482019044	0.155386575364281	9.93921184697136e-119	1.23953015300452e-116	0.645928300397395	3	5	Up
P2RX7:chr12:121184511-121185237:1	UTR3	0.228529167051863	0.189664782227884	3.20165388144138e-54	1.03859431113578e-52	0.402824737475857	1	5	Up
P2RX7:chr12:121187561-121188032:1	UTR3	0.219977812702228	0.176049048491122	3.37584115216273e-52	1.01856024440523e-50	0.496206981913714	5	5	Up
P2RX7:chr12:121184980-121185742:1	UTR3	0.142322270500139	0.119714945457441	4.36176909926417e-27	5.28373300320638e-26	0.375147351820539	2	5	Up
SPTBN1:chr2:54669216-54669736:1	UTR3	0.197882962004253	0.188629667967195	4.20460727021847e-106	4.21361714294036e-104	0.562852991769173	2	2	Up
ZNF483:chr9:111553060-111553912:1	UTR3	0.203568457058334	0.135759216498129	3.917896155465e-100	3.49003701975707e-98	0.696215974871233	2	2	Up
MDM4:chr1:204551509-204552023:1	UTR3	0.218637330128501	0.237996655784696	2.04405640678725e-91	1.55016818309325e-89	0.508600031125923	5	6	Up
MOG:chr6:29659603-29660577:1	UTR3	0.262503466765277	0.272513735169998	5.7449365331969e-88	3.93177851515866e-86	0.421982557924009	5	5	Up
MOG:chr6:29659429-29659836:1	UTR3	0.172829804936674	0.186798311967513	1.91743197651256e-48	5.22360594766432e-47	0.399723505528135	4	5	Up
SCG5:chr15:32696382-32697098:1	UTR3	0.18697420726634	0.133927860498447	1.85139658723108e-87	1.22235737029892e-85	0.501976791078345	3	3	Up
RBM25:chr14:73096880-73099856:1	UTR3	0.209623740408616	0.233020144915996	7.44711754826886e-84	4.59266194295438e-82	0.555778348079569	5	8	Up
RBM25:chr14:73083532-73099910:1	UTR3	0.276647869094943	0.332550362289991	3.93042829046937e-69	1.75060028302493e-67	0.379051538401677	3	8	Up
