genomic_feature(s)	population1_pct	population2_pct	pvalue	padj	Log2_fold_change	SiteLocation	NumSites	FC_direction
PXK:chr3:58425575-58426087:1	UTR3	0.566773162939297	0.5	1.14575474593874e-234	1.59059402604946e-231	0.761467524968312	7	7	Up
PXK:chr3:58424026-58426048:1	UTR3	0.652875399361022	0.650092568103676	8.81906161224035e-141	3.49801779519791e-138	0.486901199442807	2	7	Up
PXK:chr3:58425246-58425639:1	UTR3	0.155591054313099	0.165167944988098	2.44444886799152e-10	1.540751936885e-09	0.333704250343132	6	7	Up
MOBP:chr3:39528000-39528580:1	UTR3	0.495686900958466	0.446574980163978	9.17077961454082e-152	7.27504845707788e-149	0.619789388263799	11	12	Up
MOBP:chr3:39527547-39528201:1	UTR3	0.369808306709265	0.373842898704047	1.35515277439485e-32	3.07149524743452e-31	0.335326373516521	10	12	Up
MOBP:chr3:39526833-39527336:1	UTR3	0.286741214057508	0.297870933615446	7.21681105290774e-22	1.00944462913846e-20	0.32722273589054	9	12	Up
PLEKHH1:chr14:67588996-67589612:1	UTR3	0.707987220447284	0.700409944459138	3.40218772884556e-142	1.57436237152328e-139	0.419560583116072	7	7	Up
PLEKHH1:chr14:67588575-67589308:1	UTR3	0.615814696485623	0.609627082782333	2.17732559362087e-92	3.45448257753619e-90	0.388903815396356	6	7	Up
CIRBP:chr19:1274131-1274854:1	UTR3	0.513099041533546	0.415035704839989	2.16357226064897e-114	6.00715838169186e-112	0.597044890572246	7	7	Up
CIRBP:chr19:1272709-1274868:1	UTR3	0.574920127795527	0.532663316582915	3.50018493678188e-44	1.34975881624651e-42	0.304696674800157	5	7	Up
CLIC4:chr1:24745382-24841214:1	UTR3	0.642492012779553	0.75323988362867	4.05897015867145e-93	6.83013978518259e-91	0.385777354708182	1	6	Up
WSB1:chr17:27313084-27313249:1	UTR3	0.412779552715655	0.358370801375298	7.69896603823696e-67	6.19599397251157e-65	0.491930983984458	4	4	Up
WSB1:chr17:27312904-27313232:1	UTR3	0.464536741214058	0.454443268976461	2.56799129554416e-33	6.06810879325818e-32	0.294008293316947	3	4	Up
TMEM165:chr4:55425535-55426436:1	UTR3	0.367731629392971	0.416159746098916	1.76541755183758e-62	1.25684149555822e-60	0.488208814772063	3	3	Up
SLC44A1:chr9:105393048-105393426:1	UTR3	0.329073482428115	0.298664374504099	2.29103908552352e-62	1.61039747365976e-60	0.573964855276321	4	6	Up
CADM2:chr3:85912454-86066827:1	UTR3	0.540575079872204	0.490148108965882	1.69069574605109e-58	1.05488016604738e-56	0.636436875545202	1	12	Up
SRSF5:chr14:69770151-69770465:1	UTR3	0.29776357827476	0.301375297540333	3.38657852215249e-55	1.95892401390758e-53	0.560136185275828	7	8	Up
SRSF5:chr14:69770298-69772005:1	UTR3	0.588019169329073	0.65029092832584	1.46484672855945e-38	4.34988977737468e-37	0.256123875639812	8	8	Up
SRSF5:chr14:69770146-69771210:1	UTR3	0.349201277955272	0.410870140174557	2.1030471770496e-19	2.52229394690204e-18	0.279483096039373	3	4	Up
MAT2A:chr2:85544856-85545281:1	UTR3	0.4	0.389711716477122	7.18364080072451e-54	3.94957993726963e-52	0.542070529368097	5	5	Up
TF:chr3:133782098-133783028:1	UTR3	0.146805111821086	0.129330864850569	6.8724872583635e-51	3.4381010581705e-49	0.897019809060659	3	4	Up
TF:chr3:133782375-133782883:1	UTR3	0.106549520766773	0.0971965088600899	1.80071601464521e-26	3.05791315881494e-25	0.831300184499267	4	4	Up
SCD:chr10:100364383-100364826:1	UTR3	0.670447284345048	0.762628934144406	1.72250242530118e-50	8.53970788991902e-49	0.444300295745899	8	8	Up
LUC7L3:chr17:50752184-50752755:1	UTR3	0.447124600638978	0.426871198095742	1.73777596175193e-50	8.53970788991902e-49	0.550842462357075	3	3	Up
MACF1:chr1:39486496-39487054:1	UTR3	0.206869009584665	0.19690558053425	2.41590354203895e-50	1.17679933060897e-48	0.735686061632222	5	5	Up
MACF1:chr1:39485933-39486659:1	UTR3	0.170287539936102	0.195186458608834	4.43276762104047e-18	4.88396003961066e-17	0.425356655679614	4	5	Up
SPTBN1:chr2:54669216-54669736:1	UTR3	0.189776357827476	0.193996297275853	2.64090382680255e-49	1.23234781094408e-47	0.812051692942358	2	2	Up
PLEKHG3:chr14:64743771-64744467:1	UTR3	0.269009584664537	0.273737106585559	2.05130268061662e-48	9.33678998808533e-47	0.420799489430403	1	3	Up
MOG:chr6:29659603-29660577:1	UTR3	0.371565495207668	0.441483734461783	1.14365130559021e-44	4.63554430652734e-43	0.405417004421004	5	5	Up
ADIPOR2:chr12:1788173-1788674:1	UTR3	0.184025559105431	0.267786299920656	3.09945649300926e-42	1.03682421118557e-40	0.473358825671733	3	3	Up
TARDBP:chr1:11024960-11025649:1	UTR3	0.086741214057508	0.100039672044433	7.66789502257997e-39	2.31412070980362e-37	0.977365520348615	2	2	Up
NFASC:chr1:205022360-205022822:1	UTR3	0.337060702875399	0.418275588468659	3.29604290419604e-36	8.84199335603894e-35	0.353889857866289	2	2	Up
NFASC:chr1:205018054-205019137:1	UTR3	0.0733226837060703	0.100634752710923	4.82423155943842e-06	1.89187555434757e-05	0.394403965245862	1	2	Up
SRSF3:chr6:36602269-36602981:1	UTR3	0.123961661341853	0.116305210261835	1.54236086700484e-33	3.72379560629472e-32	0.721582473456009	4	4	Up
HHIP:chr4:144660114-144660638:1	UTR3	0.112619808306709	0.104469717006083	1.69714917797361e-30	3.50344586813661e-29	0.871868228433367	2	2	Up
ADD1:chr4:2929555-2930076:1	UTR3	0.264217252396166	0.311557788944724	2.3168037420386e-29	4.54601101750542e-28	0.375422902644575	3	3	Up
BTBD3:chr20:11926075-11926609:1	UTR3	0.126357827476038	0.150753768844221	1.25082364745756e-28	2.3787067514835e-27	0.507378227279557	3	3	Up
NIPAL3:chr1:24472469-24472976:1	UTR3	0.115654952076677	0.207418672308913	2.59809656693857e-28	4.87406426898983e-27	0.480166235665431	3	3	Up
VSTM2B:chr19:29563930-29564479:1	UTR3	0.209904153354633	0.229370536895001	5.30655822272631e-26	8.79621427188036e-25	0.342257662768887	2	2	Up
CCP110:chr16:19552886-19553408:1	UTR3	0.282907348242811	0.318764877016662	1.64315392446629e-25	2.66796308262027e-24	0.312464652577679	3	3	Up
SLC48A1:chr12:47782286-47782751:1	UTR3	0.217252396166134	0.215617561491669	4.66593692102943e-25	7.38175148788502e-24	0.355413185497856	2	2	Up
ATM:chr11:108367798-108368350:1	UTR3	0.125079872204473	0.111015604337477	4.75659201991821e-25	7.5037941723312e-24	0.643445519482528	2	3	Up
ATM:chr11:108368541-108369102:1	UTR3	0.114696485623003	0.102155514414176	2.74224688055317e-13	2.19103552916716e-12	0.621392193690936	3	3	Up
EMC10:chr19:50487815-50488381:1	UTR3	0.177635782747604	0.155977254694525	1.45702399754844e-24	2.27271187033329e-23	0.474203049874202	3	8	Up
KIF1B:chr1:10381140-10381603:1	UTR3	0.220926517571885	0.29350700872785	2.06714181823928e-23	3.09402655436191e-22	0.334655186534826	6	6	Up
HSP90B1:chr12:103932342-103938618:1	UTR3	0.103035143769968	0.127479502777043	2.64851784486138e-22	3.81585009602639e-21	0.553758602966784	2	2	Up
ARL6IP5:chr3:69085098-69104560:1	UTR3	0.212619808306709	0.263356254959006	3.09108275479863e-21	4.14608273850164e-20	0.419001819173173	1	3	Up
STX16:chr20:58678952-58679526:1	UTR3	0.260702875399361	0.232941020893943	5.01241607003682e-21	6.67480729902026e-20	0.403955881574532	4	4	Up
CCDC144A:chr17:16711653-16731905:1	UTR3	0.268370607028754	0.379859825443005	2.38827766327981e-20	3.04176740004421e-19	0.309861408639607	1	4	Up
CCDC144A:chr17:16720457-16735063:1	UTR3	0.30926517571885	0.437252049722296	8.9778986699305e-17	9.14757271818791e-16	0.267097986475555	2	4	Up
CCDC144A:chr17:16727534-16734947:1	UTR3	0.25	0.358899761967733	6.35708261637711e-14	5.40595402277827e-13	0.288408589187764	3	4	Up
CCDC144A:chr17:16731748-16734833:1	UTR3	0.168051118210863	0.244115313409151	2.25391513771351e-13	1.8218327161169e-12	0.341096171146734	4	4	Up
SOX2:chr3:181713833-181714436:1	UTR3	0.184984025559105	0.192343295424491	2.06103468561755e-19	2.47725662537538e-18	0.48298061278339	5	5	Up
AKAP6:chr14:32734474-32734969:1	UTR3	0.140255591054313	0.120867495371595	2.28528971852871e-19	2.72907823806235e-18	0.611872603479248	4	4	Up
AKAP6:chr14:32734273-32735275:1	UTR3	0.151757188498403	0.145001322401481	1.47334679064433e-12	1.10860362174091e-11	0.434393291520739	3	4	Up
P2RX7:chr12:121187561-121188032:1	UTR3	0.229712460063898	0.238561227188574	4.76630443293937e-19	5.59562125076371e-18	0.37304281211026	6	6	Up
SRSF11:chr1:70251096-70251690:1	UTR3	0.307667731629393	0.321475800052896	7.85318520489055e-19	9.08515363390775e-18	0.316446105184273	2	3	Up
SRSF11:chr1:70251592-70252055:1	UTR3	0.202715654952077	0.202129066384554	4.16298541513079e-18	4.60499163550224e-17	0.42915938145905	3	3	Up
SH3GL3:chr15:83587073-83589273:1	UTR3	0.373482428115016	0.367495371594816	4.0599163127902e-18	4.49994317064351e-17	0.293616356246508	3	6	Up
SH3GL3:chr15:83587058-83587568:1	UTR3	0.290575079872204	0.276183549325575	1.34133665721244e-14	1.20136168669366e-13	0.320145546007673	2	3	Up
SLC6A8:chrX:153696111-153696588:1	UTR3	0.192172523961661	0.255091245702195	1.9388502119384e-17	2.07846239901427e-16	0.334609612386153	3	3	Up
RAB7A:chr3:128795174-128813449:1	UTR3	0.146325878594249	0.186194128537424	3.16030125627177e-17	3.32370319622673e-16	0.288204627705657	1	2	Up
SRRM1:chr1:24672829-24673281:1	UTR3	0.169808306709265	0.178193599576832	4.05774895180532e-17	4.24344254790489e-16	0.416477240373599	2	2	Up
SRRM1:chr1:24671728-24673210:1	UTR3	0.210543130990415	0.231684739486908	7.26670335501852e-14	6.13252336328539e-13	0.321315526870778	1	2	Up
ZKSCAN1:chr7:100041219-100041689:1	UTR3	0.169808306709265	0.168407828616768	4.73583944040995e-17	4.93398056521509e-16	0.413325064347736	14	14	Up
NT5DC1:chr6:116244376-116246118:1	UTR3	0.144728434504792	0.131314467072203	1.0001310510816e-16	1.00976867757384e-15	0.402977844285648	3	3	Up
MTURN:chr7:30162208-30162762:1	UTR3	0.0924920127795527	0.107643480560698	1.35403707128624e-16	1.35966869020841e-15	0.589919959357322	5	5	Up
MTURN:chr7:30157974-30158588:1	UTR3	0.111661341853035	0.14513356254959	7.87371988217734e-11	5.20509125068223e-10	0.389965263223555	3	5	Up
ASPA:chr17:3489151-3489667:1	UTR3	0.229073482428115	0.238957947632901	4.28175916720711e-16	4.20824931955772e-15	0.429636046574588	5	5	Up
SLF2:chr10:100964645-100965134:1	UTR3	0.135143769968051	0.126355461518117	1.89991475187128e-15	1.79731288196613e-14	0.4463463448726	2	2	Up
DOCK5:chr8:25415249-25415779:1	UTR3	0.299041533546326	0.305078021687384	1.55889788525184e-14	1.38283705380247e-13	0.362704377293952	4	4	Up
PRKACB:chr1:84196440-84235499:1	UTR3	0.242332268370607	0.31843427664639	2.6521873407534e-14	2.3120245373946e-13	0.282647469520356	1	6	Up
TTC14:chr3:180608263-180608875:1	UTR3	0.150479233226837	0.136008992330071	3.98857002990761e-14	3.45530879501981e-13	0.446778797215462	3	8	Up
HNRNPA3:chr2:177222562-177223157:1	UTR3	0.20814696485623	0.21356783919598	6.71619518285818e-14	5.67656496962123e-13	0.292653942839632	4	6	Up
HNRNPA3:chr2:177223323-177223958:1	UTR3	0.130191693290735	0.12595874107379	2.19559546049826e-11	1.5070632375954e-10	0.38025828410407	6	6	Up
MYO6:chr6:75915745-75916303:1	UTR3	0.169808306709265	0.173234594022745	7.46454450703616e-14	6.27089495424686e-13	0.376020012249548	2	2	Up
NCAM1:chr11:113277965-113278436:1	UTR3	0.139456869009585	0.153729172176673	8.34330957424162e-14	6.99854955676189e-13	0.400465435339414	7	7	Up
ZNF483:chr9:111553060-111553912:1	UTR3	0.125718849840256	0.130454906109495	2.58636002196994e-13	2.0754417921964e-12	0.546103353824479	2	2	Up
NFIX:chr19:13097047-13097455:1	UTR3	0.130990415335463	0.158159217138323	3.03412394106045e-13	2.41728697915476e-12	0.399321343881788	4	5	Up
CA2:chr8:85481290-85481470:1	UTR3	0.19073482428115	0.122586617297011	5.33486165504714e-13	4.14328486300374e-12	0.381393832280201	7	7	Up
KLF13:chr15:31377321-31377973:1	UTR3	0.127316293929712	0.198426342237503	1.16665359147904e-12	8.89893872731198e-12	0.3609653201207	3	3	Up
ARIH2:chr3:48985071-48985582:1	UTR3	0.153194888178914	0.140240677069558	1.4450239917168e-12	1.08876773758527e-11	0.268417410383518	2	2	Up
TPM4:chr19:16089087-16095663:1	UTR3	0.0873801916932907	0.11061888389315	2.55952575802293e-12	1.90013991100286e-11	0.466851410457181	5	5	Up
SEPTIN7:chr7:35863548-35863566:1	UTR3	0.147603833865815	0.134091510182491	5.15960854528966e-12	3.75017097539182e-11	0.40865042438548	4	5	Up
CNDP1:chr18:74585518-74586100:1	UTR3	0.237859424920128	0.209270034382439	1.06224626214703e-11	7.54303515818727e-11	0.271237407497143	8	9	Up
CNDP1:chr18:74585106-74585624:1	UTR3	0.181948881789137	0.155382174028035	2.71615072792555e-10	1.70426949064074e-09	0.300294867162915	7	9	Up
CD82:chr11:44619892-44620358:1	UTR3	0.0779552715654952	0.130124305739222	1.78263278941216e-11	1.23428427426505e-10	0.400083791899454	3	3	Up
MXI1:chr10:110285991-110286711:1	UTR3	0.239297124600639	0.300383496429516	1.84043752079779e-11	1.27113800410325e-10	0.285267253031174	5	5	Up
CAPN7:chr3:15212151-15223752:1	UTR3	0.0884984025559105	0.124570219518646	2.31067818323422e-11	1.58409826561724e-10	0.411663568049407	4	4	Up
ZNF451:chr6:57169709-57170305:1	UTR3	0.171725239616613	0.180375562020629	6.8728836281088e-11	4.58164739338394e-10	0.313354607694007	2	2	Up
PNN:chr14:39181414-39182332:1	UTR3	0.13482428115016	0.163184342766464	1.01370524640641e-10	6.63809579397969e-10	0.383548553895604	2	2	Up
PNN:chr14:39180856-39182560:1	UTR3	0.18482428115016	0.236445384818831	2.14810521480525e-10	1.36637207993282e-09	0.284607377560546	1	2	Up
PDCD6IP:chr3:33866345-33867205:1	UTR3	0.13258785942492	0.133760909812219	1.14191414802652e-10	7.42511623418182e-10	0.342287641477253	1	4	Up
GATAD1:chr7:92457184-92457438:1	UTR3	0.159105431309904	0.176276117429252	3.52916917669386e-10	2.18721835247556e-09	0.31596149479852	5	8	Up
GATAD1:chr7:92458341-92458925:1	UTR3	0.104952076677316	0.113263686855329	1.07923251351356e-06	4.61708640026254e-06	0.350614032714681	7	8	Up
PLEKHA1:chr10:122431752-122432545:1	UTR3	0.141693290734824	0.166688706691351	4.01390762221356e-10	2.46835315904229e-09	0.255345982883659	3	3	Up
NXPE3:chr3:101826552-101827106:1	UTR3	0.108306709265176	0.129330864850569	4.24824255152158e-10	2.60380694134651e-09	0.382753876467689	8	8	Up
DNM3:chr1:172411055-172411588:1	UTR3	0.273003194888179	0.278563871991537	5.63803277644079e-10	3.42163890793177e-09	0.284377833069337	2	3	Up
DNM3:chr1:172412234-172412792:1	UTR3	0.200638977635783	0.204046548532134	3.38794312069863e-09	1.90417491389064e-08	0.27051704635103	3	3	Up
DAZAP1:chr19:1435241-1435687:1	UTR3	0.145367412140575	0.124570219518646	6.49778130902801e-10	3.91771765570386e-09	0.31845301718064	4	4	Up
RHOU:chr1:228744465-228745035:1	UTR3	0.159904153354633	0.208741073790003	9.53130631059931e-10	5.66067849655165e-09	0.373560483663679	7	9	Up
TRMT13:chr1:100144064-100144622:1	UTR3	0.127316293929712	0.0978577096006348	3.31336404114905e-09	1.86414493622094e-08	0.323131010433456	4	4	Up
TRMT13:chr1:100143167-100144591:1	UTR3	0.134664536741214	0.109230362338006	7.29236477335486e-07	3.16858384870419e-06	0.253485501528219	3	4	Up
MDM4:chr1:204551509-204552023:1	UTR3	0.272843450479233	0.259785770960064	5.0527095167787e-09	2.77798969769031e-08	0.290954119820654	6	8	Up
MDM4:chr1:204556948-204557458:1	UTR3	0.106549520766773	0.10427135678392	0.000279267955778054	0.000831069109558165	0.257017893488234	7	8	Up
PPP1R21:chr2:48495732-48496272:1	UTR3	0.126517571884984	0.134818830997091	6.20823360012977e-09	3.379835409953e-08	0.334562786733783	2	2	Up
