genomic_feature(s)	population1_pct	population2_pct	pvalue	padj	Log2_fold_change	SiteLocation	NumSites	FC_direction
PXK:chr3:58425575-58426087:1	UTR3	0.361321776814735	0.337845369854288	5.80816629873848e-239	4.00473066298018e-236	0.743926855016873	6	6	Up
PXK:chr3:58424026-58426048:1	UTR3	0.41955579631636	0.442949279401226	2.04777686310857e-153	4.51821487076274e-151	0.47548087509659	2	6	Up
PXK:chr3:58425246-58425639:1	UTR3	0.0935355724088118	0.106656580937973	1.12665199390153e-07	4.14031472242561e-07	0.315291366574018	5	6	Up
HSPE1:chr2:197503129-197503207:1	UTR3	0.111592632719393	0.0156859622581416	3.73342030104912e-179	1.37290309203913e-176	1.77679391718179	2	2	Up
CIRBP:chr19:1274131-1274854:1	UTR3	0.453141928494041	0.424635719404411	4.447743457654e-154	1.02223970468414e-151	0.503276066658964	7	7	Up
CIRBP:chr19:1272709-1274868:1	UTR3	0.515619357168653	0.53368102555936	4.71041930541599e-63	1.60386869683176e-61	0.271447405862675	5	7	Up
MOBP:chr3:39528000-39528580:1	UTR3	0.286204405922716	0.27426546699578	2.54202169055454e-117	3.41994918173142e-115	0.627418918608756	10	10	Up
MOBP:chr3:39527547-39528201:1	UTR3	0.211448176236909	0.227884385699498	3.76249598964585e-29	4.69545879612817e-28	0.341226201213088	9	10	Up
MOBP:chr3:39526833-39527336:1	UTR3	0.163596966413868	0.180945935185922	1.68248494176673e-16	1.17475784035257e-15	0.334682624908538	8	10	Up
MAT2A:chr2:85544856-85545281:1	UTR3	0.377573131094258	0.368062743849033	9.12194507402708e-113	1.1435602051894e-110	0.399229106909837	5	5	Up
PLEKHH1:chr14:67588996-67589612:1	UTR3	0.435175153485013	0.463890437136715	1.97735537888423e-108	2.32065792977137e-106	0.448375146309543	7	7	Up
PLEKHH1:chr14:67588575-67589308:1	UTR3	0.369718309859155	0.395493271757306	2.18793840090254e-84	1.41984331992687e-82	0.41596849814789	6	7	Up
MACF1:chr1:39486496-39487054:1	UTR3	0.284037558685446	0.242694482044749	5.67245083778818e-88	4.11700510805784e-86	0.533802481858158	5	5	Up
MACF1:chr1:39485933-39486659:1	UTR3	0.249819429396894	0.237877219523847	1.05401904307566e-24	1.08267579918163e-23	0.347183981390172	4	5	Up
TARDBP:chr1:11024960-11025649:1	UTR3	0.0877573131094258	0.10100326459113	2.3210487553378e-87	1.64139806851837e-85	1.04159899769477	2	2	Up
