genomic_feature(s)	population1_pct	population2_pct	pvalue	padj	Log2_fold_change	SiteLocation	NumSites	FC_direction
DTNA:chr18:34890448-34891464:1	UTR3	0.592668024439919	0.715711361310133	1.21642836459102e-21	9.31610351796064e-19	0.619177290671969	5	7	Up
DTNA:chr18:34891008-34891458:1	UTR3	0.413441955193483	0.526356192425793	6.31488214189257e-15	2.25693887751241e-12	0.714495899530366	7	7	Up
DTNA:chr18:34890746-34891022:1	UTR3	0.382892057026477	0.544524053224156	6.34385585702491e-10	1.03058821968214e-07	0.574347569053192	6	7	Up
RYR3:chr15:33865532-33866121:1	UTR3	0.407331975560081	0.473899692937564	1.03324655803789e-19	5.03566799785555e-17	0.702838919057078	5	5	Up
FAM171B:chr2:186694060-186747260:1	UTR3	0.633401221995927	0.703172978505629	4.88228867612187e-18	2.01338073789918e-15	0.734733619722796	1	2	Up
LUC7L3:chr17:50752184-50752755:1	UTR3	0.513238289205703	0.486693961105425	1.87659385850648e-14	5.91789392673719e-12	0.553141913019729	3	3	Up
RASSF4:chr10:44994280-44994756:1	UTR3	0.443991853360489	0.392272262026612	1.18986472290601e-11	2.65786032479131e-09	0.458077214700848	2	2	Up
SLC14A1:chr18:45752026-45752520:1	UTR3	0.413441955193483	0.332650972364381	3.75109157605425e-10	6.70320064640894e-08	0.477252131830773	6	6	Up
QKI:chr6:163571129-163571849:1	UTR3	0.281059063136456	0.287615148413511	5.49567651792787e-10	9.50397477826171e-08	0.758027758896318	3	11	Up
OGFRL1:chr6:71308417-71309059:1	UTR3	0.291242362525458	0.221084953940635	1.6094455932807e-09	2.15705945639446e-07	0.530672214039699	4	4	Up
MYO6:chr6:75915745-75916303:1	UTR3	0.175152749490835	0.161463664278403	4.8092670931363e-09	5.60488714919645e-07	0.933333259293423	2	2	Up
SLC15A2:chr3:121942357-121942883:1	UTR3	0.146639511201629	0.120266120777892	1.94464552117314e-08	1.96548399825646e-06	0.647131640910542	2	2	Up
SLC1A3:chr5:36680218-36686526:1	UTR3	0.423625254582485	0.67553735926305	2.09244573524561e-08	2.03956392484577e-06	0.451083362042756	1	9	Up
TPCN1:chr12:113298099-113298585:1	UTR3	0.319755600814664	0.268679631525077	3.18613697083664e-08	2.80014431158282e-06	0.409894724648523	3	3	Up
MAT2A:chr2:85544856-85545281:1	UTR3	0.5010183299389	0.48899692937564	6.81193077445923e-08	5.53314558816302e-06	0.548401688668429	5	5	Up
TARDBP:chr1:11024960-11025649:1	UTR3	0.0957230142566191	0.112333674513818	2.80068546504195e-07	1.90056642760631e-05	1.07046621089791	2	2	Up
MSI2:chr17:57681234-57681416:1	UTR3	0.191446028513238	0.255885363357216	3.05765553402265e-06	0.000157616262672072	0.714835410310447	5	11	Up
MSI2:chr17:57681307-57681931:1	UTR3	0.327902240325866	0.460337768679631	3.16150744588246e-06	0.000160225912172699	0.482987993712344	6	11	Up
MSI2:chr17:57681217-57681349:1	UTR3	0.140529531568228	0.18474923234391	1.2650522489339e-05	0.000513783720192016	0.831949797211687	4	11	Up
SRSF5:chr14:69770151-69770465:1	UTR3	0.293279022403259	0.327277379733879	3.16805571540871e-06	0.000160225912172699	0.519844369641808	7	8	Up
POU2F1:chr1:167426915-167427345:1	UTR3	0.122199592668024	0.113613101330604	5.27670533923743e-06	0.000254850606519386	0.809170031767291	3	3	Up
SPTBN1:chr2:54669216-54669736:1	UTR3	0.221995926680244	0.270726714431934	8.33685057723767e-06	0.000372448799538093	0.518036112962583	2	2	Up
NTRK2:chr9:84810847-84811340:1	UTR3	0.411405295315682	0.610542476970317	1.06638273343794e-05	0.000439759833381601	0.342084978614521	2	10	Up
FUT9:chr6:96215096-96215612:1	UTR3	0.209775967413442	0.258188331627431	1.4234103219868e-05	0.000554366204962861	0.622239639232142	15	15	Up
SLCO1C1:chr12:20722022-20737579:1	UTR3	0.374745417515275	0.551944728761515	1.57464730782373e-05	0.000607315411312449	0.320144212282147	2	3	Up
GRAMD2B:chr5:126480286-126484512:1	UTR3	0.334012219959267	0.3510747185261	1.61264139990469e-05	0.000613146847155251	0.443337942629668	3	3	Up
SRRM1:chr1:24646790-24647376:1	UTR3	0.154786150712831	0.138178096212897	3.08592252039302e-05	0.00106733100850497	0.739224535445786	6	6	Up
TMEM144:chr4:158241316-158244732:1	UTR3	0.107942973523422	0.0765097236438076	3.58523123808002e-05	0.00120844559736954	0.861225835460996	4	4	Up
TMEM144:chr4:158240272-158244653:1	UTR3	0.114052953156823	0.0875127942681679	0.00010576070072807	0.00292022679608978	0.763449624805724	3	4	Up
MACF1:chr1:39486496-39487054:1	UTR3	0.441955193482688	0.552456499488229	3.65426996245484e-05	0.00121371178653187	0.348112574374554	5	5	Up
CAPN2:chr1:223775344-223775902:1	UTR3	0.252545824847251	0.318065506653019	8.32764093202167e-05	0.00246654602411979	0.361835349975411	3	3	Up
EIF1:chr17:41691178-41691718:1	UTR3	0.142566191446029	0.266888433981576	9.9856256491163e-05	0.00283330781280663	0.475553278623274	2	2	Up
SOX2:chr3:181712939-181713515:1	UTR3	0.323828920570265	0.432446264073695	0.000181383871450274	0.0047434094382679	0.326930037383754	1	5	Up
ILK:chr11:6604154-6605166:1	UTR3	0.136456211812627	0.132292732855681	0.000224681471566227	0.00564357480134302	0.582071831633182	2	2	Up
ILK:chr11:6603984-6605351:1	UTR3	0.144602851323829	0.140736949846469	0.000297701155494566	0.00696932705068282	0.546181825629118	1	2	Up
IQCK:chr16:19732929-19735125:1	UTR3	0.126272912423625	0.13971340839304	0.000231126050549387	0.00570998505527772	0.647951706449143	2	2	Up
BPTF:chr17:67982157-67982605:1	UTR3	0.0936863543788187	0.114124872057318	0.000234336032741037	0.00573429614067922	0.81958040555848	2	2	Up
SLC25A36:chr3:140979453-140980011:1	UTR3	0.109979633401222	0.114124872057318	0.000304136074737587	0.00705832682540348	0.710073389287117	3	3	Up
NKTR:chr3:42618965-42620216:1	UTR3	0.162932790224033	0.192169907881269	0.000308634566291231	0.007131853059859	0.607259689556401	3	4	Up
NKTR:chr3:42619510-42620164:1	UTR3	0.114052953156823	0.133572159672467	0.000695848494891282	0.013228524046497	0.692918457745265	4	4	Up
MERTK:chr2:112028957-112029408:1	UTR3	0.19959266802444	0.212640736949846	0.000377116513518337	0.00850280793146676	0.415889195056582	2	2	Up
HSP90B1:chr12:103932342-103938618:1	UTR3	0.0427698574338086	0.134339815762538	0.0004235170976429	0.00926724555291259	1.08962112912155	2	2	Up
APC:chr5:112766217-112767465:1	UTR3	0.260692464358452	0.410696008188332	0.000455063233909787	0.00975837598796148	0.414248885890598	5	5	Up
DMTF1:chr7:87195679-87196337:1	UTR3	0.175152749490835	0.213408393039918	0.00047714613784376	0.0101105946441913	0.503664384671557	2	2	Up
FARP1:chr13:98397067-98397517:1	UTR3	0.112016293279022	0.113613101330604	0.000481744333760966	0.0101443523108579	0.687588927995751	1	2	Up
WDR17:chr4:176182387-176182818:1	UTR3	0.0753564154786151	0.103633572159672	0.000558138549510184	0.0114205372668859	0.842839355701403	2	2	Up
CD46:chr1:207795065-207795513:1	UTR3	0.124236252545825	0.140481064483112	0.000573891947353836	0.0116099423764676	0.381940838642659	2	2	Up
FXYD1:chr19:35142772-35142915:1	UTR3	0.187372708757637	0.192681678607984	0.000617971912640083	0.0122701756431981	0.469529676757142	2	2	Up
ITGAV:chr2:186680464-186680901:1	UTR3	0.144602851323829	0.226714431934493	0.000635523475043032	0.0124955991930747	0.300286576275274	2	2	Up
