genomic_feature(s)	population1_pct	population2_pct	pvalue	padj	Log2_fold_change	SiteLocation	NumSites	FC_direction
TMEM178A:chr2:39717459-39717963:1	UTR3	0.419878296146045	0.191532258064516	6.06338954529335e-60	1.81942108955769e-56	1.20128508603612	3	3	Up
LUC7L3:chr17:50752184-50752755:1	UTR3	0.527383367139959	0.301747311827957	2.76335406241206e-51	4.97514265396667e-48	1.4424359779778	3	4	Up
LUC7L3:chr17:50751716-50752340:1	UTR3	0.237322515212982	0.229838709677419	0.000640322374687677	0.00296054546324523	0.515106318745417	2	4	Up
SNAP25:chr20:10306827-10307418:1	UTR3	0.855983772819473	0.708333333333333	1.50924636605926e-49	1.94089082675221e-46	0.347809240135351	2	2	Up
STXBP1:chr9:127692164-127692814:1	UTR3	0.582150101419878	0.339381720430108	4.03306221462127e-38	2.59325900400148e-35	1.30423925159595	3	3	Up
CAMTA1:chr1:7766555-7768919:1	UTR3	0.730223123732252	0.542338709677419	1.89187667106513e-36	1.00180434076049e-33	0.779980799475899	2	6	Up
CAMTA1:chr1:7766852-7768622:1	UTR3	0.701825557809331	0.497983870967742	5.1383651239755e-36	2.56975349144597e-33	0.822269975999276	3	6	Up
CAMTA1:chr1:7767706-7768270:1	UTR3	0.578093306288032	0.362903225806452	4.04169548351667e-12	1.11264045084456e-10	0.797274995303434	5	6	Up
CAMTA1:chr1:7767097-7767493:1	UTR3	0.255578093306288	0.131048387096774	6.7848277829892e-09	1.03345211002485e-07	0.933814837426057	4	6	Up
CAMTA1:chr1:7769231-7769706:1	UTR3	0.330628803245436	0.20497311827957	1.22145552474687e-06	1.12085042138341e-05	0.701742397138026	6	6	Up
EPB41L1:chr20:36232353-36232799:1	UTR3	0.286004056795132	0.162634408602151	1.00947427681479e-31	3.4951105538026e-29	1.64168956415484	8	8	Up
TTC3:chr21:37202619-37203112:1	UTR3	0.446247464503043	0.245967741935484	3.71603491867174e-28	9.55764181082372e-26	1.14556892265868	2	2	Up
OGT:chrX:71575332-71575892:1	UTR3	0.318458417849899	0.133064516129032	1.19646698040776e-25	2.67890325382623e-23	1.17810192610441	4	4	Up
ZNF483:chr9:111553060-111553912:1	UTR3	0.553752535496957	0.344758064516129	1.11745611044644e-24	2.18681302309541e-22	1.12022888029309	8	8	Up
ZNF483:chr9:111552395-111552911:1	UTR3	0.144016227180527	0.10752688172043	0.000827648181716061	0.0036920163190327	0.736900079463728	7	8	Up
ZNF483:chr9:111550602-111551347:1	UTR3	0.117647058823529	0.0860215053763441	0.00488964299132689	0.0172546319905624	0.686063940368455	5	8	Up
NKTR:chr3:42600674-42627647:1	UTR3	0.705882352941177	0.638440860215054	5.59040136721708e-24	9.49524398258266e-22	0.605957099605648	1	6	Up
STXBP5L:chr3:121114993-121157657:1	UTR3	0.744421906693712	0.635752688172043	8.82271049869453e-24	1.4049691730293e-21	0.529527259291039	3	3	Up
SLC6A1:chr3:11038666-11039247:1	UTR3	0.616632860040568	0.436155913978495	1.20385659995384e-22	1.7201773194896e-20	0.542663394719635	4	4	Up
DYNLL2:chr17:58090783-58091277:1	UTR3	0.474645030425964	0.223790322580645	1.99639807775462e-22	2.64287874940399e-20	0.483493443964997	2	2	Up
MAT2A:chr2:85544856-85545281:1	UTR3	0.44421906693712	0.19758064516129	2.09276552488318e-22	2.73030076159397e-20	0.689054998753816	3	3	Up
APLP2:chr11:130144324-130144811:1	UTR3	0.505070993914807	0.286290322580645	2.97409755368882e-22	3.71844808032039e-20	0.610342481850784	3	3	Up
