genomic_feature(s)	population1_pct	population2_pct	pvalue	padj	Log2_fold_change	SiteLocation	NumSites	FC_direction
SPP1:chr4:87982895-87983426:1	UTR3	0.526248399487836	0.491587417702999	1.5775720038626e-30	8.82178264559968e-28	0.695044286978696	3	3	Up
HIST1H2AC:chr6:26124145-26138458:1	UTR3	0.445582586427657	0.577176298463789	1.47634797757162e-18	3.17528380406942e-16	0.304388311222709	1	3	Up
ATM:chr11:108367798-108368350:1	UTR3	0.158770806658131	0.099487929773226	1.46291224037041e-11	1.41044918071574e-09	1.25616797988126	2	3	Up
ATM:chr11:108368541-108369102:1	UTR3	0.186939820742638	0.147037307973665	7.26482598840269e-11	6.34764170736685e-09	0.983021929352079	3	3	Up
ITM2B:chr13:48261377-48261980:1	UTR3	0.440460947503201	0.477688368690563	7.58568753237705e-11	6.42714616379583e-09	0.449572608205829	2	2	Up
ITM2B:chr13:48258024-48261505:1	UTR3	0.375160051216389	0.413313825896123	8.04342244837388e-05	0.00130752378870078	0.323687258812355	1	2	Up
PTPRC:chr1:198692560-198693016:1	UTR3	0.361075544174136	0.265544989027067	2.04664310463266e-10	1.50589845277709e-08	0.542003400596954	2	2	Up
PTPRC:chr1:198692275-198693589:1	UTR3	0.41101152368758	0.329188002926116	2.81383070757366e-07	8.74163406486216e-06	0.367808189428684	1	2	Up
PLP1:chrX:103791625-103792255:1	UTR3	0.1651728553137	0.160936356986101	2.02787522101952e-10	1.50589845277709e-08	0.730908459640076	1	2	Up
SRSF3:chr6:36602269-36602981:1	UTR3	0.111395646606914	0.0972933430870519	3.25038709101929e-10	2.14074931129744e-08	1.16988004158254	4	4	Up
HSPA1A:chr6:31817474-31817946:1	UTR3	0.492957746478873	0.280907095830285	3.46814203185056e-10	2.2038466184214e-08	0.300602805110246	2	2	Up
CIRBP:chr19:1274131-1274854:1	UTR3	0.231754161331626	0.168251645940015	3.86468321278192e-10	2.40125650287516e-08	0.809705346029148	6	6	Up
CIRBP:chr19:1272709-1274868:1	UTR3	0.28809218950064	0.249451353328456	3.40036019892201e-06	8.72239184971188e-05	0.481861664252435	5	6	Up
MCF2L:chr13:113098068-113098607:1	UTR3	0.179257362355954	0.207754206291148	6.53429687934581e-10	3.88721150524487e-08	0.796192355801715	2	2	Up
