genomic_feature(s)	population1_pct	population2_pct	pvalue	padj	Log2_fold_change	SiteLocation	NumSites	FC_direction
TTC14:chr3:180609936-180610626:1	UTR3	0.427013422818792	0.324596774193548	1.15833097709265e-16	6.14784166091925e-14	0.638560882543357	11	11	Up
TTC14:chr3:180609455-180610278:1	UTR3	0.444630872483221	0.358870967741935	6.2386877166616e-12	1.52823854105453e-09	0.496584003254095	8	11	Up
TTC14:chr3:180609828-180610152:1	UTR3	0.241610738255034	0.1875	1.34628087619462e-07	8.01351672942388e-06	0.603363383885845	10	11	Up
TTC14:chr3:180609784-180610102:1	UTR3	0.221476510067114	0.184139784946237	1.99488329996709e-05	0.000608148980031436	0.507701864345634	9	11	Up
SLC6A1:chr3:11037025-11037590:1	UTR3	0.360738255033557	0.325940860215054	1.28290813683845e-14	5.44722794901604e-12	0.5313709290607	1	4	Up
SLC6A1:chr3:11037908-11038503:1	UTR3	0.325503355704698	0.318548387096774	1.36157762667667e-09	1.54050159518928e-07	0.429142109178019	2	4	Up
MICOS10:chr1:19597059-19626650:1	UTR3	0.195469798657718	0.351478494623656	8.84010855044477e-12	1.94147073647527e-09	0.456661381001703	1	3	Up
NKTR:chr3:42637703-42638303:1	UTR3	0.363255033557047	0.32997311827957	1.06617165333328e-11	2.19046685809021e-09	0.55858357720629	8	10	Up
NKTR:chr3:42636959-42637883:1	UTR3	0.390939597315436	0.431451612903226	0.00316774524217799	0.0323842206218806	0.277701504026479	4	10	Up
PLP1:chrX:103791625-103792255:1	UTR3	0.0956375838926175	0.169354838709677	8.69546474513125e-11	1.45740565688792e-08	0.715395273428792	1	2	Up
UCHL1:chr4:41257663-41268107:1	UTR3	0.286912751677852	0.439516129032258	9.53040503300118e-11	1.55638845269704e-08	0.52828338538317	2	6	Up
UCHL1:chr4:41261653-41268125:1	UTR3	0.227348993288591	0.348118279569892	4.25768853534555e-08	3.04687845860851e-06	0.523163752605124	2	5	Up
WSB1:chr17:27312703-27313926:1	UTR3	0.383389261744966	0.446908602150538	2.39251679945657e-10	3.38620877683086e-08	0.470622974847743	1	3	Up
