genomic_feature(s)	population1_pct	population2_pct	pvalue	padj	Log2_fold_change	SiteLocation	NumSites	FC_direction
P2RX7:chr12:121184511-121185237:1	UTR3	0.0883977900552486	0.125822970007315	7.45778790679886e-06	0.00248996893738247	1.16984561703931	1	2	Up
PTPRC:chr1:198756035-198756695:1	UTR3	0.129834254143646	0.212143379663497	1.28745521241581e-05	0.00312617533851147	0.909775912671812	1	3	Up
SPP1:chr4:87982895-87983426:1	UTR3	0.441988950276243	0.491587417702999	1.87128206144637e-09	1.66606479537442e-06	-0.510053669144297	3	3	Down
MERTK:chr2:112028957-112029408:1	UTR3	0.0386740331491713	0.191660570592538	5.46962292906868e-08	3.65234071088561e-05	-1.6188566835834	2	2	Down
MERTK:chr2:112028515-112029067:1	UTR3	0.0386740331491713	0.166788588149232	0.000280906864828815	0.0394895913661982	-1.09536180246983	1	2	Down
RAC1:chr7:6403486-6403967:1	UTR3	0.0552486187845304	0.14996342355523	0.000178256156360236	0.0288035209655887	-1.05555730836203	3	3	Down
CTSB:chr8:11842900-11843506:-1	UTR3	0.185082872928177	0.211411850768105	3.18595331164285e-05	0.00709140107949839	0.722896843035985	3	4	Up
HNRNPA2B1:chr7:26192198-26192678:-1	UTR3	0.11878453038674	0.11777615215801	0.000119931678473701	0.0237940612955859	0.961141486012203	1	9	Up
ADAM10:chr15:58593119-58593215:-1	UTR3	0.0138121546961326	0.116313094367228	3.66118880384023e-06	0.00162983921584288	-2.30925363638824	4	5	Down
SF3B1:chr2:197420146-197423860:-1	UTR3	0.074585635359116	0.250182882223848	0.000133810618263113	0.0238272107587183	-0.941051548749009	1	6	Down
SLC4A7:chr3:27372721-27373013:-1	UTR3	0.0110497237569061	0.114850036576445	0.000183324543771998	0.0288035209655887	-2.05484309148584	2	2	Down
