genomic_feature(s)	population1_pct	population2_pct	pvalue	padj	Log2_fold_change	SiteLocation	NumSites	FC_direction
STXBP5L:chr3:121114993-121157657:1	UTR3	0.948905109489051	0.898263027295285	1.69521600904217e-21	3.06189915553196e-18	0.337669610699553	3	4	Up
PRNP:chr20:4701159-4701590:1	UTR3	0.644525547445255	0.521091811414392	1.96173976372872e-17	1.96849686735934e-14	0.42588777391255	3	3	Up
TTC14:chr3:180608778-180617828:1	UTR3	0.816058394160584	0.627791563275434	2.04410209576653e-14	9.23014301343377e-12	0.468438871978641	6	13	Up
TTC14:chr3:180609455-180610278:1	UTR3	0.570802919708029	0.387096774193548	1.63821453943504e-12	3.89334618569417e-10	0.677905348258943	8	12	Up
TTC14:chr3:180609936-180610626:1	UTR3	0.555474452554744	0.37468982630273	2.30702808920412e-12	4.81330060792893e-10	0.713683388814624	11	12	Up
TTC14:chr3:180609828-180610152:1	UTR3	0.355474452554745	0.220843672456576	8.83046994359644e-08	4.45519408159885e-06	0.770638791461526	10	12	Up
TTC14:chr3:180609784-180610102:1	UTR3	0.295620437956204	0.198511166253102	1.57284060331083e-05	0.000373797986539477	0.674026126502872	9	12	Up
TTC14:chr3:180609175-180610039:1	UTR3	0.344525547445255	0.272952853598015	0.00447743347308475	0.0326621176861296	0.390504085226729	7	12	Up
GTF2I:chr7:74759481-74760061:1	UTR3	0.478832116788321	0.47394540942928	2.96942434477826e-14	1.1659509242475e-11	0.484542534669825	1	2	Up
NKTR:chr3:42637703-42638303:1	UTR3	0.444525547445255	0.334987593052109	2.00870446785918e-13	6.47878930329867e-11	0.829002660626584	8	10	Up
NKTR:chr3:42635333-42637975:1	UTR3	0.614598540145985	0.602977667493797	3.32574549313743e-07	1.46228414763581e-05	0.390483032923011	3	10	Up
NKTR:chr3:42636959-42637883:1	UTR3	0.468613138686131	0.468982630272953	0.00309394644935288	0.0244243272588338	0.281516858747818	4	10	Up
MICOS10:chr1:19597059-19626650:1	UTR3	0.291970802919708	0.521091811414392	2.15390460373348e-13	6.70755602631621e-11	0.514226098208709	1	3	Up
MDH1:chr2:63588685-63604744:1	UTR3	0.504379562043796	0.528535980148883	2.41956333816804e-13	6.75926016842825e-11	0.508013351972225	1	3	Up
MDH1:chr2:63594458-63597853:1	UTR3	0.167153284671533	0.19106699751861	0.00050888510491659	0.00589410727055228	0.612643953784176	2	2	Up
WSB1:chr17:27312703-27313926:1	UTR3	0.473722627737226	0.493796526054591	1.80971512170446e-12	4.1906505805418e-10	0.772594214011197	1	3	Up
