Gene	Chr	Strand	MaxPosition	Fit.max.pos	Fit.start	Fit.end	mu	sigma	k	exon.intron	exon.pos	LogLik	polyA_ID
Sash1	10	-1	8722536	8722509	8722219	8722812	273.55925920101	101.115591727912	734.216579074717	no-junctions	NA	-3198.46847877699	Sash1:10:8722219-8722812:-1
Sash1	10	-1	8814449	8850469	8786214	8886070	414.513097965528	155.910610293755	248.353599280212	across-junctions	(8786214,8786433)(8789561,8789600)(8814241,8814289)(8814407,8814456)(8850363,8850490)(8885724,8886070)	-3166.47442890475	Sash1:10:8786214-8886070:-1
Sash1	10	-1	8813940	8813923	8813689	8814157	24322.9981146246	78.4585911538366	231.706345806408	no-junctions	NA	-79128.8089120787	Sash1:10:8813689-8814157:-1
Sash1	10	-1	8885204	8885219	8885000	8885438	34728.0220771298	73.6056645598122	222.624838008696	no-junctions	NA	-114808.713504446	Sash1:10:8885000-8885438:-1
Lamp2	X	-1	38419681	38419690	38419489	38419891	309.401839315733	67.2761618792355	1478.99992319304	no-junctions	NA	-3167.48730552905	Lamp2:X:38419489-38419891:-1
Lamp2	X	-1	38405273	38405261	38405042	38405480	288.890260155591	73.8692485245264	973.40846234135	no-junctions	NA	-2536.67735177918	Lamp2:X:38405042-38405480:-1
Lamp2	X	-1	38456066	38456058	38455818	38456298	292.701284029518	80.219866658363	387.800758650107	no-junctions	NA	-2383.48405750343	Lamp2:X:38455818-38456298:-1
Pecam1	11	-1	106654430	106654336	106654217	106654585	206.790741336833	83.4566180551291	1337.51687815146	no-junctions	NA	-2531.60598860138	Pecam1:11:106654217-106654585:-1
Ly6e	15	1	74959146	74959137	74958936	74959338	291.583343375404	67.2512358483506	13410.0053892636	no-junctions	NA	-4249.236678985	Ly6e:15:74958936-74959338:1
Ly6e	15	1	74956297	74956296	74956080	74956512	299.334802660518	72.7196955527541	1053.70354997362	no-junctions	NA	-2773.62353492331	Ly6e:15:74956080-74956512:1
Pnkd	1	1	74287246	74287249	74285960	74287456	303.341435158461	69.1770798384957	1891.17175492968	across-junctions	(74285960,74286009)(74287092,74287456)	-2902.51135224467	Pnkd:1:74285960-74287456:1
Pdgfra	5	1	75198033	75197999	75197723	75198215	266.29109885935	92.0001213509615	560.330983702414	no-junctions	NA	-2479.10625349051	Pdgfra:5:75197723-75198215:1
Dlc1	8	-1	36567944	36567842	36567751	36568049	198.511164915212	69.8267634063739	576.275710936145	no-junctions	NA	-2087.38454716614	Dlc1:8:36567751-36568049:-1
Dlc1	8	-1	36568597	36568622	36568379	36568865	325.266930658559	81.3641259524277	398.780309417949	no-junctions	NA	-2404.35020818193	Dlc1:8:36568379-36568865:-1
Dlc1	8	-1	36745983	36745994	36745793	36746195	311.015874582697	67.391353990178	236.023669070207	no-junctions	NA	-2315.69214271491	Dlc1:8:36745793-36746195:-1
Dlc1	8	-1	36593426	36593434	36593242	36613656	308.913212605591	64.4442864663989	190.550231048019	across-junctions	(36593242,36593457)(36599369,36599439)(36613559,36613656)	-2046.49089579242	Dlc1:8:36593242-36613656:-1
Thy1	9	1	44048382	44048378	44048153	44048579	296.920498786728	75.0330601341833	778.539608746608	no-junctions	NA	-2088.54116108767	Thy1:9:44048153-44048579:1
Lrrc58	16	1	37888665	37888654	37888441	37888858	289.964984397828	71.3124899401218	816.525112953917	no-junctions	NA	-2097.76702160643	Lrrc58:16:37888441-37888858:1
Lrrc58	16	1	37883484	37883462	37883339	37883585	278.518629503431	41.2012887371194	562.862171843022	no-junctions	NA	-2943.52831929789	Lrrc58:16:37883339-37883585:1
Lrrc58	16	1	37884053	37884041	37883906	37884176	288.038928545971	45.0075703955294	406.461335429108	no-junctions	NA	-2593.92515329442	Lrrc58:16:37883906-37884176:1
Lrrc58	16	1	37869455	37869460	37869220	37869700	305.435239335654	80.4132962409451	272.741268693587	no-junctions	NA	-2371.67418342743	Lrrc58:16:37869220-37869700:1
Mast4	13	-1	102906036	102905991	102905763	102906219	255.309118053421	76.0291961007247	326.811426336745	no-junctions	NA	-2986.33613417917	Mast4:13:102905763-102906219:-1
Mast4	13	-1	102732671	102732572	102732486	102732776	201.292309876875	68.2876625828785	289.423884050639	no-junctions	NA	-1667.10596815605	Mast4:13:102732486-102732776:-1
Mast4	13	-1	103018807	103018808	103018637	103018979	301.498743568193	57.907732859571	285.448922009342	no-junctions	NA	-1724.55958912061	Mast4:13:103018637-103018979:-1
Mast4	13	-1	103260956	103260950	103260770	103261130	294.012791788231	60.6611227154129	237.565489197727	no-junctions	NA	-2132.48921762707	Mast4:13:103260770-103261130:-1
Mast4	13	-1	103133098	103133088	103132896	103133280	290.25769004889	64.4071295555976	235.347408385193	no-junctions	NA	-2127.44995790575	Mast4:13:103132896-103133280:-1
Mast4	13	-1	102964547	102964559	102964298	102964820	312.948712342316	87.338840163051	238.253109007777	no-junctions	NA	-2171.96662826726	Mast4:13:102964298-102964820:-1
Mast4	13	-1	103104729	103104742	103104547	103104937	313.82600462491	65.0913135538464	234.08476524332	no-junctions	NA	-2037.38715721315	Mast4:13:103104547-103104937:-1
Mast4	13	-1	102982052	102982067	102981851	102982283	315.500470628858	72.5485963672281	219.932096105812	no-junctions	NA	-2618.53847041675	Mast4:13:102981851-102982283:-1
Mast4	13	-1	102852688	102852694	102852532	102852856	306.691354363435	54.0244726758257	220.934777848468	no-junctions	NA	-2200.66032426626	Mast4:13:102852532-102852856:-1
Mast4	13	-1	102978203	102978191	102977924	102978458	288.125793430924	89.4994613003902	203.423007792277	no-junctions	NA	-2349.43239218067	Mast4:13:102977924-102978458:-1
Arhgap10	8	-1	77250594	77250523	77250366	77250682	229.048606689212	53.7836996562845	451.705386168859	no-junctions	NA	-2580.273573665	Arhgap10:8:77250366-77250682:-1
Arhgap10	8	-1	77450901	77450909	77426428	77517832	308.811292398637	72.0480487465458	257.174102345607	across-junctions	(77426428,77426430)(77432740,77432810)(77450693,77450753)(77450828,77450922)(77517630,77517832)	-2245.1386596677	Arhgap10:8:77426428-77517832:-1
Cd47	16	1	49911474	49911483	49911288	49911678	309.094076708703	65.4418029944125	1832.20520196859	no-junctions	NA	-3143.22586864541	Cd47:16:49911288-49911678:1
Cd47	16	1	49910894	49910888	49896395	49911083	294.913711262554	65.9485950439774	1545.04677987976	across-junctions	(49896395,49896447)(49898040,49898131)(49906781,49906811)(49910869,49911083)	-3059.76078577785	Cd47:16:49896395-49911083:1
Cd47	16	1	49914822	49914816	49914621	49915010	294.135977735096	65.1436281954042	1038.75811735454	no-junctions	NA	-2314.2731031842	Cd47:16:49914621-49915010:1
Cd47	16	1	49912063	49912066	49911889	49912243	303.988686594364	59.0751671288017	437.220763830501	no-junctions	NA	-2643.68694246637	Cd47:16:49911889-49912243:1
Rgs3	4	1	62702808	62702820	62702619	62703021	312.974472854794	67.8268182074246	896.415725853732	no-junctions	NA	-2523.43384607829	Rgs3:4:62702619-62703021:1
Rgs3	4	1	62625948	62625952	62625745	62626159	304.674647503927	69.3330901109956	220.071740293092	no-junctions	NA	-1899.33904661749	Rgs3:4:62625745-62626159:1
Cxcl12	6	1	117171568	117171529	117168553	117176140	261.879767575601	70.7941704658933	6078.24853806489	across-junctions	(117168553,117168715)(117171482,117171598)(117173492,117173577)(117176086,117176140)	-4509.15252777062	Cxcl12:6:117168553-117176140:1
Cxcl12	6	1	117181173	117181176	117180978	117181367	303.551320746204	66.0507678784955	1072.11517505344	no-junctions	NA	-2401.04766866907	Cxcl12:6:117180978-117181367:1
Cxcl12	6	1	117174835	117174827	117174605	117175049	1249.30825172538	74.3955712406189	968.294902306912	no-junctions	NA	-12027.0955727316	Cxcl12:6:117174605-117175049:1
Kdr	5	-1	75933026	75932920	75932827	75933106	194.016574708512	62.4606125278292	1184.12369825375	no-junctions	NA	-2420.48750310167	Kdr:5:75932827-75933106:-1
Kdr	5	-1	75933478	75933485	75933278	75933692	307.991605920022	69.0913770552872	842.603089131475	no-junctions	NA	-2697.08356343525	Kdr:5:75933278-75933692:-1
Kdr	5	-1	75962823	75962816	75961750	75964726	293.382723736088	67.2874136256209	228.438899939873	across-junctions	(75961750,75961844)(75962710,75962865)(75964575,75964726)	-1917.26012191567	Kdr:5:75961750-75964726:-1
