genomic_feature(s)	population1_pct	population2_pct	pvalue	padj	Log2_fold_change	SiteLocation	NumSites	FC_direction
PRNP:chr20:4701159-4701590:1	UTR3	0.635026737967914	0.521091811414392	9.53191315879881e-25	2.8853101131684e-21	0.517010817794456	3	3	Up
NKTR:chr3:42637703-42638303:1	UTR3	0.481283422459893	0.334987593052109	3.42777808816871e-20	2.22340377276144e-17	1.03958300113938	8	10	Up
NKTR:chr3:42635333-42637975:1	UTR3	0.628342245989305	0.602977667493797	7.7711762166182e-09	3.98700854367852e-07	0.483221954266225	3	10	Up
NKTR:chr3:42636959-42637883:1	UTR3	0.47192513368984	0.468982630272953	0.00115467712085876	0.0104450496977205	0.324275995983312	4	10	Up
RBM25:chr14:73103062-73106284:1	UTR3	0.760695187165775	0.617866004962779	1.38949351248241e-17	4.85307330263569e-15	0.564428033892925	5	9	Up
RBM25:chr14:73102971-73107882:1	UTR3	0.78475935828877	0.655086848635236	5.48115022617565e-16	1.25419368855446e-13	0.52041215374981	4	9	Up
RBM25:chr14:73103442-73112182:1	UTR3	0.75	0.635235732009926	7.21954411429616e-10	4.82063824278849e-08	0.423486992763882	6	9	Up
RBM25:chr14:73102733-73103393:1	UTR3	0.624331550802139	0.548387096774194	0.00042276572955649	0.00474553224981766	0.276683894407885	3	6	Up
GAP43:chr3:115676382-115721112:1	UTR3	0.533422459893048	0.451612903225806	1.3528719277543e-17	4.85307330263569e-15	0.406191860103368	1	2	Up
SRSF11:chr1:70235526-70244872:1	UTR3	0.77807486631016	0.627791563275434	5.45874624067569e-17	1.59906047134116e-14	0.509226923360025	4	4	Up
SRSF11:chr1:70230882-70244766:1	UTR3	0.804812834224599	0.724565756823821	6.63383560527706e-07	2.021538964145e-05	0.270706134675772	1	4	Up
GTF2I:chr7:74759481-74760061:1	UTR3	0.512032085561497	0.47394540942928	2.20501501050103e-16	5.88933567951759e-14	0.559850699914637	1	2	Up
CCDC144A:chr17:16776453-16777791:1	UTR3	0.881016042780749	0.823821339950372	5.08767907444793e-15	9.62525284897117e-13	0.390675620139758	3	8	Up
CCDC144A:chr17:16777088-16777628:1	UTR3	0.771390374331551	0.699751861042184	8.96608450638191e-15	1.59649045887165e-12	0.522384083677616	7	8	Up
CCDC144A:chr17:16777353-16777881:1	UTR3	0.858288770053476	0.791563275434243	5.05523215496356e-13	6.46571312665128e-11	0.39987989918184	8	8	Up
CCDC144A:chr17:16776580-16777264:1	UTR3	0.450534759358289	0.377171215880893	0.00263553997595673	0.0201798807096653	0.449870696638808	5	8	Up
TTC14:chr3:180609455-180610278:1	UTR3	0.601604278074866	0.387096774193548	1.11332191498213e-14	1.90756156791561e-12	0.771317930756901	8	12	Up
TTC14:chr3:180609936-180610626:1	UTR3	0.586898395721925	0.37468982630273	5.61201760154404e-14	8.63775115925788e-12	0.771785478195784	11	12	Up
TTC14:chr3:180608778-180617828:1	UTR3	0.820855614973262	0.627791563275434	3.35586177769406e-13	4.41660591351301e-11	0.468871982761959	6	12	Up
TTC14:chr3:180609828-180610152:1	UTR3	0.397058823529412	0.220843672456576	1.74825867383061e-09	1.08739294637368e-07	0.900435547008158	10	12	Up
TTC14:chr3:180609784-180610102:1	UTR3	0.340909090909091	0.198511166253102	1.14653404608586e-07	4.43050028617265e-06	0.846832937936534	9	12	Up
TTC14:chr3:180609175-180610039:1	UTR3	0.393048128342246	0.272952853598015	7.88397060849371e-05	0.0011985776489833	0.553909197498886	7	12	Up
TTC14:chr3:180608747-180610055:1	UTR3	0.414438502673797	0.292803970223325	0.00021400657168036	0.00273501784837404	0.486634438784378	5	12	Up
MGRN1:chr16:4686909-4687737:1	UTR3	0.247326203208556	0.163771712158809	3.49028994102637e-14	5.56058297446674e-12	0.923466383938251	1	3	Up
LUC7L3:chr17:50743694-50745869:1	UTR3	0.852941176470588	0.774193548387097	3.84396421700419e-14	6.01845500941639e-12	0.374503358476836	3	6	Up
LUC7L3:chr17:50741127-50745988:1	UTR3	0.898395721925134	0.853598014888337	6.79721988084802e-11	5.61141397618008e-09	0.255953591950254	2	6	Up
LUC7L3:chr17:50745775-50746735:1	UTR3	0.451871657754011	0.382133995037221	0.00647461251452559	0.0408588994054252	0.311284508132641	3	5	Up
LUC7L3:chr17:50745851-50750561:1	UTR3	0.431818181818182	0.397022332506204	0.00677459871513835	0.0425156398978378	0.330855558553532	4	5	Up
MDH1:chr2:63588685-63604744:1	UTR3	0.470588235294118	0.528535980148883	1.89095665325031e-12	2.14647217102076e-10	0.575152945081093	1	3	Up
MDH1:chr2:63594458-63597853:1	UTR3	0.163101604278075	0.19106699751861	9.262287904358e-05	0.00135226425176005	0.775420565626427	2	2	Up
STXBP5L:chr3:121114993-121157657:1	UTR3	0.949197860962567	0.898263027295285	2.22658004797102e-12	2.40709207328867e-10	0.291699934515416	3	4	Up
FAHD2A:chr2:95414959-95415536:1	UTR3	0.144385026737968	0.109181141439206	3.14422112514248e-12	3.35913788675516e-10	1.42501676187834	3	5	Up
VSNL1:chr2:17591891-17655854:1	UTR3	0.88903743315508	0.918114143920596	7.14881133415208e-12	6.98046835757366e-10	0.297210297017545	1	10	Up
UPF3A:chr13:114281601-114291961:1	UTR3	0.5975935828877	0.672456575682382	1.37322001965987e-11	1.27247051005421e-09	0.311243895884896	1	3	Up
KIF1B:chr1:10376445-10376880:1	UTR3	0.27807486631016	0.173697270471464	2.8390167034244e-11	2.55258521621753e-09	1.03116694302382	2	6	Up
KIF1B:chr1:10375185-10376933:1	UTR3	0.300802139037433	0.203473945409429	4.87492211728818e-11	4.09899701361981e-09	0.936168326376303	1	6	Up
PIK3R1:chr5:68297992-68298892:1	UTR3	0.50668449197861	0.429280397022333	3.26685999340043e-11	2.90846623530091e-09	0.592411711454137	2	4	Up
CALM1:chr14:90404741-90406272:1	UTR3	0.655080213903743	0.672456575682382	3.80438665038740e-11	3.29025096877791e-09	0.488936049262662	4	10	Up
CALM1:chr14:90404780-90405068:1	UTR3	0.429144385026738	0.397022332506204	2.75769390064341e-08	1.22159113715819e-06	0.68673463705955	5	10	Up
CALM1:chr14:90404922-90405900:1	UTR3	0.49331550802139	0.518610421836228	0.000443195490354438	0.00491202515251105	0.33842109300229	6	10	Up
UCHL1:chr4:41257663-41268107:1	UTR3	0.391711229946524	0.535980148883375	1.02441998150291e-10	8.08935465393732e-09	0.665605763410658	2	6	Up
UCHL1:chr4:41256780-41260962:1	UTR3	0.229946524064171	0.32258064516129	5.2269946538308e-08	2.19751566904803e-06	0.835027194808608	1	2	Up
KCNT1:chr9:135794824-135795508:1	UTR3	0.149732620320856	0.0719602977667494	5.40970462786185e-10	3.80818044384601e-08	1.55122003003485	2	2	Up
ZNF483:chr9:111543830-111544652:1	UTR3	0.24331550802139	0.235732009925558	5.80998443442468e-10	4.05849758838543e-08	1.06950337175847	2	6	Up
ZNF483:chr9:111543936-111544524:1	UTR3	0.227272727272727	0.215880893300248	8.28652966979337e-10	5.45289680662272e-08	1.10580821804738	3	6	Up
DPP6:chr7:154892974-154893518:1	UTR3	0.264705882352941	0.203473945409429	5.96834986926375e-10	4.13729657731176e-08	0.717730547720166	1	2	Up
MICOS10:chr1:19597059-19626650:1	UTR3	0.259358288770053	0.521091811414392	6.7243762155528e-10	4.52326373432852e-08	0.522577132505714	1	3	Up
EIF1:chr17:41691178-41691718:1	UTR3	0.21524064171123	0.387096774193548	4.88969200626706e-09	2.82823522986695e-07	0.633373852997101	2	2	Up
TCF25:chr16:89873570-89885850:1	UTR3	0.727272727272727	0.821339950372208	5.30761016692602e-09	2.95695754146351e-07	0.402703831391102	1	5	Up
CPEB4:chr5:173959837-173960365:1	UTR3	0.235294117647059	0.114143920595533	6.45439809919073e-09	3.42762509583339e-07	1.20720831725632	5	5	Up
RAD50:chr5:132603573-132618304:1	UTR3	0.491978609625668	0.481389578163772	8.69458654526811e-09	4.41092404567484e-07	0.590234320982041	3	5	Up
RAD50:chr5:132603291-132609455:1	UTR3	0.442513368983957	0.41439205955335	2.37054591545665e-07	8.31155500318988e-06	0.584815167168722	2	5	Up
RAD50:chr5:132608618-132616255:1	UTR3	0.271390374331551	0.238213399503722	0.000117866897279683	0.00166203306552298	0.618714867357306	3	4	Up
NFIC:chr19:3464256-3465768:1	UTR3	0.280748663101604	0.166253101736973	9.33335149141279e-09	4.65693213700657e-07	0.890455878105801	3	5	Up
NRGN:chr11:124745878-124746792:1	UTR3	0.28475935828877	0.354838709677419	1.37452792615396e-08	6.46740315927674e-07	0.855961524024785	1	4	Up
NRGN:chr11:124746300-124746840:1	UTR3	0.299465240641711	0.431761786600496	5.12046960819257e-06	0.000123667511999991	0.578336540046918	2	4	Up
MAP1B:chr5:72194834-72195626:1	UTR3	0.763368983957219	0.62531017369727	1.48625604460629e-08	6.88606690870904e-07	0.450345434397771	3	3	Up
SYN2:chr3:12183360-12183864:1	UTR3	0.121657754010695	0.143920595533499	1.84509402287636e-08	8.41974815162825e-07	1.04320102062156	1	2	Up
CAMTA1:chr1:7767706-7768270:1	UTR3	0.31951871657754	0.198511166253102	3.73165306326882e-08	1.61367340321639e-06	0.842805033254523	5	6	Up
CAMTA1:chr1:7766555-7768919:1	UTR3	0.510695187165775	0.409429280397022	3.9528894217235e-08	1.68526708162775e-06	0.559647228442902	2	6	Up
CAMTA1:chr1:7769231-7769706:1	UTR3	0.248663101604278	0.148883374689826	1.66332324626444e-07	6.24158611542454e-06	0.984360517475857	6	6	Up
CAMTA1:chr1:7766852-7768622:1	UTR3	0.469251336898396	0.372208436724566	1.73588173654682e-07	6.43409879574761e-06	0.566112232611515	3	6	Up
P2RX7:chr12:121185529-121186135:1	UTR3	0.196524064171123	0.0992555831265509	4.1746802122555e-08	1.77150799100431e-06	1.21543362009346	3	6	Up
P2RX7:chr12:121184511-121185237:1	UTR3	0.296791443850267	0.210918114143921	2.35547931518903e-05	0.000445627242942324	0.831718033679683	1	6	Up
P2RX7:chr12:121184980-121185742:1	UTR3	0.169786096256685	0.129032258064516	0.00139749474151663	0.0121674494225432	0.699609789216869	2	6	Up
PRKCB:chr16:24215210-24215692:1	UTR3	0.478609625668449	0.521091811414392	8.07522220626929e-08	3.25915968245029e-06	0.435149711986893	1	5	Up
EVL:chr14:100139613-100140160:1	UTR3	0.445187165775401	0.372208436724566	1.24363071096048e-07	4.74513045640007e-06	0.520945822928811	1	2	Up
ZNF493:chr19:21423870-21425819:1	UTR3	0.217914438502674	0.13151364764268	1.41482927728743e-07	5.33114716474986e-06	1.08162036578389	1	2	Up
ZNF493:chr19:21424537-21426210:1	UTR3	0.140374331550802	0.0942928039702233	0.000758554616269532	0.00751049618327529	0.998565564110098	2	2	Up
CELF2:chr10:11330821-11331394:1	UTR3	0.613636363636364	0.466501240694789	1.71918096242462e-07	6.42464292994979e-06	0.52553335139554	3	8	Up
CELF2:chr10:11332795-11333989:1	UTR3	0.5975935828877	0.439205955334988	5.8436482310362e-07	1.8049717546272e-05	0.487326398858782	5	8	Up
CELF2:chr10:11333079-11333613:1	UTR3	0.489304812834225	0.32258064516129	7.03728281956335e-07	2.12310848121112e-05	0.579022887162739	6	8	Up
PSMD11:chr17:32480109-32481010:1	UTR3	0.248663101604278	0.186104218362283	1.72932720310775e-07	6.43409879574761e-06	0.437274337832353	1	2	Up
TRIO:chr5:14508239-14508737:1	UTR3	0.237967914438503	0.153846153846154	1.83239980974851e-07	6.7368512843426e-06	0.982232003834882	1	3	Up
GRIA2:chr4:157364959-157365446:1	UTR3	0.378342245989305	0.292803970223325	2.2455026033476e-07	8.0281138350392e-06	0.715018844931683	5	6	Up
PDE4A:chr19:10467408-10467978:1	UTR3	0.260695187165775	0.186104218362283	2.82773158287024e-07	9.58196128045026e-06	0.471916176556479	1	2	Up
EPHX4:chr1:92052543-92063538:1	UTR3	0.459893048128342	0.464019851116625	4.65288484874002e-07	1.48777631378198e-05	0.286370550389413	1	3	Up
WSB1:chr17:27312703-27313926:1	UTR3	0.346256684491979	0.493796526054591	5.21222620649376e-07	1.64348007573506e-05	0.524934528545518	1	3	Up
SLC44A1:chr9:105389931-105390506:1	UTR3	0.21524064171123	0.114143920595533	5.62687296605221e-07	1.76198735878345e-05	1.03262080113634	2	3	Up
RBM33:chr7:155776814-155777834:1	UTR3	0.167112299465241	0.1712158808933	5.76166052987325e-07	1.78572147685252e-05	0.848641476755129	2	4	Up
RBM33:chr7:155776597-155777173:1	UTR3	0.100267379679144	0.0893300248138958	0.000116648894670087	0.0016508558332281	0.961249247021226	1	4	Up
RBM33:chr7:155777247-155778051:1	UTR3	0.109625668449198	0.109181141439206	0.000411581867410469	0.00464295023348381	0.799496320088612	3	4	Up
MARCH6:chr5:10434906-10435441:1	UTR3	0.258021390374332	0.176178660049628	8.95045188664347e-07	2.59677487484375e-05	0.892976213241831	3	6	Up
GPC1:chr2:240465442-240466391:1	UTR3	0.161764705882353	0.106699751861042	9.02274837857788e-07	2.60941331292566e-05	0.855376840707799	1	3	Up
GPC1:chr2:240465980-240466409:1	UTR3	0.122994652406417	0.086848635235732	3.73603197472809e-05	0.000648698018403553	0.870675170503976	2	3	Up
KPNA5:chr6:116734236-116734785:1	UTR3	0.118983957219251	0.0744416873449131	1.12880697929806e-06	3.20334255593928e-05	0.896553896080128	2	2	Up
MAP2:chr2:209731373-209731810:1	UTR3	0.117647058823529	0.0570719602977667	1.2281217715253e-06	3.46353223826747e-05	1.48745705590608	3	6	Up
RASGRF2:chr5:81228008-81228746:1	UTR3	0.120320855614973	0.0645161290322581	1.23527272187662e-06	3.4729138041367e-05	1.18057103014225	2	3	Up
PNN:chr14:39180856-39182560:1	UTR3	0.283422459893048	0.312655086848635	1.4539643768923e-06	4.00104560804818e-05	0.719351967189197	1	2	Up
PNN:chr14:39181414-39182332:1	UTR3	0.171122994652406	0.188585607940447	9.55209201508112e-06	0.000211567189241346	0.908338324980944	2	2	Up
WNK1:chr12:908883-909517:1	UTR3	0.286096256684492	0.161290322580645	1.63295931168527e-06	4.42653836101909e-05	0.83138544388013	2	5	Up
WNK1:chr12:908841-909693:1	UTR3	0.287433155080214	0.173697270471464	5.7105149022036e-06	0.000136466278491871	0.766682746953797	1	5	Up
MAP1LC3B:chr16:87404196-87404779:1	UTR3	0.140374331550802	0.119106699751861	2.49015423869957e-06	6.55048737889958e-05	1.04319255860476	5	5	Up
HNRNPA3:chr2:177222691-177222995:1	UTR3	0.18716577540107	0.168734491315136	2.92979661324908e-06	7.55837586503263e-05	0.882607322086239	8	9	Up
HNRNPA3:chr2:177222562-177223157:1	UTR3	0.211229946524064	0.223325062034739	4.61810752538522e-05	0.000775176237301723	0.670538350474601	7	9	Up
PCMT1:chr6:149793570-149811086:1	UTR3	0.254010695187166	0.337468982630273	3.08170477952193e-06	7.90535624373974e-05	0.365977360129518	2	3	Up
PCMT1:chr6:149793312-149802652:1	UTR3	0.171122994652406	0.228287841191067	0.000378312048160469	0.00431047893267907	0.428131787231054	1	2	Up
SRRM3:chr7:76269073-76269584:1	UTR3	0.295454545454545	0.287841191066998	4.42140517254404e-06	0.000109402671313004	0.512590087302658	1	2	Up
SCG5:chr15:32643733-32696820:1	UTR3	0.446524064171123	0.575682382133995	5.46713751927579e-06	0.000131689856266694	0.35871165724503	1	6	Up
PAK3:chrX:111220471-111221049:1	UTR3	0.31283422459893	0.270471464019851	5.61848198631856e-06	0.00013478935314049	0.521914743529131	1	5	Up
KLHL24:chr3:183680506-183682598:1	UTR3	0.129679144385027	0.086848635235732	8.25998210805308e-06	0.000186126296583697	1.11044347324041	3	3	Up
ITM2B:chr13:48233209-48256359:1	UTR3	0.451871657754011	0.493796526054591	8.35587893736128e-06	0.000187357374395501	0.312171807160585	1	2	Up
SCN2A:chr2:165344573-165354491:1	UTR3	0.542780748663102	0.483870967741935	8.84343117052105e-06	0.000196831368773288	0.4067472475298	1	3	Up
SCN2A:chr2:165344817-165344955:1	UTR3	0.303475935828877	0.285359801488834	0.00314891946638416	0.023154119574279	0.480927735847415	2	2	Up
SLC4A10:chr2:161958477-161964273:1	UTR3	0.525401069518717	0.451612903225806	9.92197710163013e-06	0.000217111985686514	0.419351547236758	2	4	Up
NECAB1:chr8:90957726-90959393:1	UTR3	0.46524064171123	0.295285359801489	1.00077305905152e-05	0.000218457006005718	0.490003290836269	6	8	Up
NECAB1:chr8:90958780-90958954:1	UTR3	0.124331550802139	0.0496277915632754	0.000111054574414146	0.00158567073939443	1.25567686809058	7	8	Up
CIRBP:chr19:1271555-1272748:1	UTR3	0.164438502673797	0.320099255583127	1.06029591983044e-05	0.000227088378490099	0.86266560067493	3	7	Up
CIRBP:chr19:1272166-1272814:1	UTR3	0.148395721925134	0.285359801488834	1.29950733637289e-05	0.000267486907708478	0.876509090613071	4	7	Up
PSMD1:chr2:231146291-231165324:1	UTR3	0.302139037433155	0.297766749379653	1.1295881446597e-05	0.000237999766627719	0.517702061197454	1	4	Up
CSNK1G2:chr19:1979775-1980494:1	UTR3	0.102941176470588	0.0694789081885856	1.20814572379237e-05	0.000252791965846971	0.891585382589425	1	2	Up
ATP1B1:chr1:169132215-169132722:1	UTR3	0.411764705882353	0.511166253101737	2.24662875145372e-05	0.000427707247210718	0.491596815919146	6	6	Up
PCNP:chr3:101592949-101593754:1	UTR3	0.13903743315508	0.0794044665012407	2.25405367949113e-05	0.000428223043168597	1.09101293389278	2	3	Up
ETNK1:chr12:22685176-22685986:1	UTR3	0.113636363636364	0.0595533498759305	2.7309385813636e-05	0.000499993009221025	1.35857910487278	1	2	Up
MCF2L:chr13:113097113-113097738:1	UTR3	0.295454545454545	0.198511166253102	3.19746758604974e-05	0.000568223153599171	0.645914878008602	1	2	Up
TMEM178A:chr2:39717057-39717573:1	UTR3	0.225935828877005	0.275434243176179	3.35203254652268e-05	0.000589918751065357	0.495406043047479	1	3	Up
NDUFA13:chr19:19516292-19528230:1	UTR3	0.177807486631016	0.431761786600496	3.44265463947953e-05	0.000601206668867569	0.469312374006046	1	3	Up
ACTN4:chr19:38729632-38730193:1	UTR3	0.47192513368984	0.392059553349876	3.78129123593011e-05	0.000655303544150407	0.265857407657306	1	2	Up
STX16:chr20:58678139-58678695:1	UTR3	0.219251336898396	0.176178660049628	4.67020241629128e-05	0.000781033299122304	0.681694524144185	5	6	Up
ATL1:chr14:50591367-50628099:1	UTR3	0.614973262032086	0.578163771712159	5.08870076127001e-05	0.000835632759730434	0.290972230114222	2	3	Up
PGRMC1:chrX:119244019-119244466:1	UTR3	0.17379679144385	0.210918114143921	5.92459104836165e-05	0.000945539741830793	0.716740372779934	3	3	Up
ZNF37A:chr10:38120693-38121292:1	UTR3	0.143048128342246	0.0669975186104218	6.26824723589865e-05	0.00099178746585236	1.03527727316031	3	4	Up
PCBP2:chr12:53471160-53480277:1	UTR3	0.266042780748663	0.471464019851117	6.42033080330752e-05	0.00100696069127523	0.396754149885221	1	4	Up
NOP56:chr20:2656335-2657985:1	UTR3	0.28475935828877	0.357320099255583	6.53801564464426e-05	0.00101838284852512	0.481236295999843	1	4	Up
SRSF5:chr14:69771201-69771683:1	UTR3	0.287433155080214	0.312655086848635	6.7177259454452e-05	0.00104279776599296	0.568034361958969	6	7	Up
MORF4L1:chr15:78897284-78897784:1	UTR3	0.25668449197861	0.424317617866005	7.20544074127148e-05	0.00110847548379323	0.298762660794387	3	3	Up
