genomic_feature(s)	population1_pct	population2_pct	pvalue	padj	Log2_fold_change	SiteLocation	NumSites	FC_direction
TF:chr3:133782098-133783028:1	UTR3	0.160481444332999	0.129330864850569	1.10735656581112e-231	8.94269523790039e-229	1.35303975856943	3	4	Up
TF:chr3:133782375-133782883:1	UTR3	0.118355065195587	0.0971965088600899	7.56252186592999e-145	2.37505200600568e-142	1.27504008439346	4	4	Up
ADD1:chr4:2929555-2930076:1	UTR3	0.374194010603238	0.311557788944724	1.44852594787387e-177	6.29885937179305e-175	0.701670972977231	3	3	Up
LUC7L3:chr17:50752184-50752755:1	UTR3	0.442112050437025	0.426871198095742	1.55290321195052e-154	5.16385991597427e-152	0.624230534682111	3	3	Up
HSPE1:chr2:197503129-197503207:1	UTR3	0.102808425275827	0.0144141761438773	1.79081198689291e-95	2.59575901587323e-93	1.69681623466347	2	2	Up
P2RX7:chr12:121185529-121186135:1	UTR3	0.299183264077948	0.216609362602486	3.0967825727767e-93	4.16812187712064e-91	0.635690915497086	3	7	Up
P2RX7:chr12:121187561-121188032:1	UTR3	0.301045995128242	0.238561227188574	4.23428234986011e-63	3.02992381313408e-61	0.490550144747932	7	7	Up
P2RX7:chr12:121184980-121185742:1	UTR3	0.202321249462674	0.16490346469188	6.52653749557083e-24	1.06940627427426e-22	0.393520226263611	2	7	Up
P2RX7:chr12:121184511-121185237:1	UTR3	0.318598653102164	0.25634752710923	6.13633533269994e-23	9.3249203321916e-22	0.420691920673967	1	7	Up
P2RX7:chr12:121186770-121187447:1	UTR3	0.108110044418971	0.0866834170854271	2.60107624729936e-11	1.72176627938914e-10	0.361113815654591	6	7	Up
MOG:chr6:29659603-29660577:1	UTR3	0.399412523284138	0.441483734461783	2.05830218340811e-81	2.2376119697704e-79	0.416281903266558	5	5	Up
MOG:chr6:29659429-29659836:1	UTR3	0.264364522137842	0.303292779687913	2.38798739797797e-38	7.41719382459861e-37	0.399555559476552	4	5	Up
NECAB1:chr8:90949711-90955955:1	UTR3	0.184195443473277	0.180772282464956	3.85466482050849e-64	2.9053893640446e-62	0.599452072206342	1	6	Up
DNM3:chr1:172411055-172411588:1	UTR3	0.309213354348761	0.278563871991537	2.06136537352811e-61	1.42108517762859e-59	0.495118016077079	2	3	Up
DNM3:chr1:172412234-172412792:1	UTR3	0.198739074365955	0.204046548532134	4.36724053966829e-09	2.3624890689708e-08	0.267455577590084	3	3	Up
ZNF483:chr9:111553060-111553912:1	UTR3	0.177819171801118	0.130454906109495	1.80444489432258e-59	1.20006199854183e-57	0.647476562652685	2	2	Up
TARDBP:chr1:11023568-11024150:1	UTR3	0.108539905430577	0.0994445913779423	1.35900232672737e-55	7.839224645908e-54	0.738754522020638	2	3	Up
TARDBP:chr1:11024960-11025649:1	UTR3	0.0803840091703683	0.100039672044433	8.17951282209429e-07	3.45323270973107e-06	0.263355731727146	3	3	Up
SLC5A11:chr16:24910287-24911628:1	UTR3	0.243802837082677	0.174887595874107	6.65243329580595e-51	3.38794643434153e-49	0.517161829516102	1	2	Up
SLC5A11:chr16:24911301-24911628:1	UTR3	0.20160481444333	0.145265802697699	9.31125871887203e-50	4.46072419811725e-48	0.526617504940969	2	2	Up
SRSF11:chr1:70251096-70251690:1	UTR3	0.293165209915461	0.321475800052896	9.52140402206889e-48	4.23814936509885e-46	0.382609744393614	2	3	Up
