genomic_feature(s)	population1_pct	population2_pct	pvalue	padj	Log2_fold_change	SiteLocation	NumSites	FC_direction
STXBP5L:chr3:121114993-121157657:1	UTR3	0.946824224519941	0.898263027295285	2.77065861041992e-51	4.99226503954163e-48	0.637364445872173	3	4	Up
STXBP1:chr9:127692164-127692814:1	UTR3	0.731166912850812	0.563275434243176	4.25022696453013e-48	6.56417195907645e-45	1.07399846841716	3	3	Up
CCDC144A:chr17:16761562-16764339:1	UTR3	0.564254062038405	0.714640198511166	8.34565232504453e-42	9.02248472860564e-39	0.898702469766091	4	6	Up
CCDC144A:chr17:16761131-16762001:1	UTR3	0.499261447562777	0.704714640198511	9.83331644197425e-10	2.29606877006876e-08	0.429883416450941	2	5	Up
CCDC144A:chr17:16761695-16761899:1	UTR3	0.181683899556869	0.225806451612903	1.18878418141507e-08	2.21203886149369e-07	1.07297866937125	5	5	Up
CCDC144A:chr17:16761331-16761661:1	UTR3	0.481536189069424	0.679900744416873	1.5063073177797e-08	2.7461531892945e-07	0.409081194938718	3	5	Up
ZNF483:chr9:111553060-111553912:1	UTR3	0.706056129985229	0.364764267990074	4.0251433731595e-35	2.07218214320131e-32	1.38769964871203	7	7	Up
GLS:chr2:190965065-190965552:1	UTR3	0.463810930576071	0.258064516129032	1.42371632530873e-32	6.4132488303803e-30	1.33326681602371	2	2	Up
NKTR:chr3:42600674-42627647:1	UTR3	0.737075332348597	0.739454094292804	1.10451804279943e-28	4.11756708989815e-26	0.720619567819536	1	6	Up
NKTR:chr3:42617573-42627432:1	UTR3	0.55096011816839	0.573200992555831	1.78268569202665e-13	7.49907199085609e-12	0.644090694392069	2	6	Up
NKTR:chr3:42618965-42620216:1	UTR3	0.255539143279173	0.218362282878412	1.90278321673686e-12	6.99693515515042e-11	1.14833146877694	3	4	Up
NKTR:chr3:42619510-42620164:1	UTR3	0.184638109305761	0.133995037220844	1.32251012694584e-11	4.03888615322357e-10	1.40127943006849	4	4	Up
CAMTA1:chr1:7766555-7768919:1	UTR3	0.500738552437223	0.409429280397022	2.24929208207638e-28	8.10569889977592e-26	1.12871545000669	2	6	Up
CAMTA1:chr1:7766852-7768622:1	UTR3	0.478581979320532	0.372208436724566	6.2656457727744e-27	1.93536846998469e-24	1.16879674665813	3	6	Up
CAMTA1:chr1:7767706-7768270:1	UTR3	0.296898079763663	0.198511166253102	1.91850788885133e-18	1.92046192466405e-16	1.37822058183766	5	6	Up
CAMTA1:chr1:7769231-7769706:1	UTR3	0.1698670605613	0.148883374689826	0.000145477927313476	0.000994789292970267	0.967375497119236	6	6	Up
CAMTA1:chr1:7767097-7767493:1	UTR3	0.107828655834564	0.121588089330025	0.00242930886478725	0.0110768697331147	0.746906079228524	4	6	Up
ANK2:chr4:113383217-113383803:1	UTR3	0.398818316100443	0.290322580645161	2.417210023332e-27	7.91892653401281e-25	1.21850877102139	2	2	Up
ANK2:chr4:113382523-113383292:1	UTR3	0.128508124076809	0.126550868486352	0.00301048250442098	0.013284214838896	0.708509112523119	1	2	Up
MTURN:chr7:30157974-30158588:1	UTR3	0.367799113737075	0.225806451612903	1.80416585283821e-26	5.00124026539331e-24	1.49490432164688	3	8	Up
MTURN:chr7:30162208-30162762:1	UTR3	0.274741506646972	0.295285359801489	0.00062797085790383	0.00351943646697683	0.500145690874092	8	8	Up
ATP2A2:chr12:110350582-110351093:1	UTR3	0.621861152141802	0.317617866004963	2.87646194170579e-26	7.40415001232889e-24	1.22096819041258	3	3	Up
ATP2A2:chr12:110346881-110347373:1	UTR3	0.330871491875923	0.19106699751861	2.61973367318457e-05	0.000219040531638039	0.727816793260956	2	3	Up
ADD1:chr4:2929555-2930076:1	UTR3	0.409158050221566	0.255583126550869	7.3726136284027e-26	1.73272447688395e-23	1.3024644877038	3	3	Up
SCN2A:chr2:165391355-165392310:1	UTR3	0.623338257016248	0.359801488833747	3.31856870527854e-24	6.40661540585112e-22	1.02003627154105	5	8	Up
SCN2A:chr2:165391600-165392212:1	UTR3	0.491875923190547	0.267990074441687	7.01017165253476e-17	5.25841677490522e-15	1.04482871055071	6	8	Up
SCN2A:chr2:165391000-165391948:1	UTR3	0.55834564254062	0.364764267990074	1.36966954403743e-15	7.83465473047018e-14	0.841395505128808	2	8	Up
SCN2A:chr2:165391109-165391775:1	UTR3	0.434268833087149	0.292803970223325	2.11528761156146e-09	4.58284055482785e-08	0.785949280674812	3	8	Up
SCN2A:chr2:165391254-165391702:1	UTR3	0.363367799113737	0.250620347394541	1.70217746679948e-07	2.45690795641778e-06	0.754161499533178	4	8	Up
SCN2A:chr2:165392109-165392283:1	UTR3	0.150664697193501	0.0620347394540943	2.00424449114288e-05	0.000173899576193786	1.14465757541371	7	8	Up
SCN2A:chr2:165392140-165392309:1	UTR3	0.110782865583456	0.0496277915632754	0.000853384771906385	0.00459230600750619	1.01063209375598	8	8	Up
RBM25:chr14:73096880-73099856:1	UTR3	0.466765140324963	0.41439205955335	2.56243304129418e-22	3.84756439019881e-20	1.05997941799526	5	8	Up
RBM25:chr14:73083532-73099910:1	UTR3	0.565731166912851	0.593052109181141	1.18712659249109e-15	6.82750101501575e-14	0.690301206396076	3	8	Up
RBM25:chr14:73096883-73097051:1	UTR3	0.293943870014771	0.292803970223325	5.14290430679413e-08	8.50151964231671e-07	0.779968452381164	6	7	Up
RBM25:chr14:73096932-73103247:1	UTR3	0.610044313146233	0.73697270471464	3.89202744691653e-06	4.03673341307909e-05	0.32564968865335	7	7	Up
RBM25:chr14:73071482-73097033:1	UTR3	0.518463810930576	0.645161290322581	0.00038069163906788	0.00230182176172419	0.290267091966422	2	7	Up
TTC3:chr21:37202619-37203112:1	UTR3	0.418020679468242	0.347394540942928	5.41012048584629e-22	7.90389359087624e-20	1.1370182548229	2	2	Up
PPP1CB:chr2:28800611-28801087:1	UTR3	0.302806499261448	0.136476426799007	1.67098802446547e-21	2.34611058863587e-19	1.65783049935909	2	2	Up
CALM1:chr14:90401290-90404837:1	UTR3	0.982274741506647	0.870967741935484	1.83735589787911e-20	2.30972728046175e-18	0.342810995051359	3	10	Up
CALM1:chr14:90400069-90404867:1	UTR3	0.983751846381093	0.88833746898263	2.80125827969562e-14	1.34001784344201e-12	0.26673348911369	2	10	Up
ITPR1:chr3:4846954-4847549:1	UTR3	0.521418020679468	0.300248138957816	2.72235472373918e-20	3.38291688716601e-18	1.51129397308647	2	2	Up
PRDM2:chr1:13823545-13824058:1	UTR3	0.440177252584934	0.225806451612903	3.56083968995078e-20	4.27735976533977e-18	1.35962516601089	1	2	Up
